Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
77.39,13.74,92.3,71.53,56.72,32.99,False,,,,,0
61.05,7.53,75.81,77.67,20.23,110.31,False,,,,,0
53.15,2.42,77.85,70.65,100.0,271.97,True,,,,,3
55.48,6.35,99.14,46.21,83.54,63.27,False,,,,,0
48.0,10.64,67.34,43.52,65.48,90.38,False,,,,,0
36.14,5.4,78.86,51.03,38.68,180.81,True,,,,,3
35.06,10.97,94.33,79.08,35.51,5.51,False,,,,,0
62.89,7.68,84.08,62.73,92.02,356.16,False,,,,,0
35.77,5.3,77.05,93.49,16.6,47.14,False,,,,,0
71.51,16.43,73.51,100.0,73.36,145.71,False,,,,,0
64.26,14.24,78.28,80.13,39.85,32.86,False,,,,,0
87.65,4.0,84.98,41.77,28.19,224.25,False,,,,,0
61.94,10.75,81.07,59.15,75.81,188.09,False,,,,,0
83.89,7.7,85.09,88.39,79.44,171.82,False,,,,,0
57.28,12.72,76.72,100.0,14.83,300.37,False,,,,,0
69.71,2.62,89.54,59.66,5.08,53.76,False,,,,,0
54.7,9.51,58.51,56.54,75.28,256.75,True,,,,,2
57.27,2.71,66.82,70.15,51.64,143.58,True,,,,,2
35.79,8.22,73.54,39.93,79.44,155.1,True,,,,,3
52.04,14.54,84.44,46.27,68.78,203.52,False,,,,,0
78.79,12.26,80.71,100.0,12.27,145.98,True,,,,,0
49.27,9.57,77.61,56.58,84.78,109.58,False,,,,,0
66.2,9.22,65.56,94.74,95.5,45.4,False,,,,,0
89.44,13.66,77.39,95.21,87.26,392.67,True,,,,,0
68.62,20.45,68.44,86.05,80.27,221.32,False,,,,,0
65.99,16.69,87.22,40.13,73.26,253.12,False,,,,,0
43.03,10.91,60.25,90.29,100.0,221.07,True,,,,,3
67.9,9.06,73.11,90.17,57.72,109.79,False,,,,,0
61.77,3.9,80.66,100.0,64.5,96.25,True,,,,,1
61.66,9.11,80.8,46.96,88.09,170.2,False,,,,,0
64.58,11.63,61.19,61.45,53.45,163.5,False,,,,,0
99.6,13.97,83.88,63.2,100.0,247.44,True,,,,,0
59.42,15.68,90.43,43.56,49.29,175.91,False,,,,,0
27.37,7.86,69.15,95.06,38.98,6.8,False,,,,,0
55.15,10.38,83.09,92.51,37.88,209.29,False,,,,,0
65.14,12.26,80.83,79.74,95.29,273.39,True,,,,,1
48.07,6.47,87.26,100.0,70.72,250.2,False,,,,,0
86.63,8.25,77.21,56.05,7.52,193.61,False,,,,,0
72.94,12.03,81.48,74.25,34.94,204.6,False,,,,,0
51.26,14.19,78.97,47.7,100.0,122.97,True,,,,,1
59.19,8.82,75.81,69.58,92.97,164.12,False,,,,,0
42.03,5.51,64.0,97.83,74.05,91.14,False,,,,,0
71.31,15.54,83.92,100.0,65.02,153.26,False,,,,,0
54.5,7.08,85.15,82.59,68.12,90.5,False,,,,,0
73.13,-0.71,62.14,73.85,58.06,224.2,False,,,,,0
82.79,7.97,90.8,39.45,70.7,166.16,False,,,,,0
64.79,10.52,60.03,56.74,93.48,183.11,False,,,,,0
53.61,8.28,73.98,100.0,54.95,207.98,False,,,,,0
64.51,12.3,81.99,99.85,100.0,239.86,False,,,,,0
54.85,15.56,81.86,86.19,48.73,141.19,True,,,,,5
65.64,13.4,81.05,64.5,32.74,227.47,False,,,,,0
72.5,15.92,77.45,100.0,67.68,133.86,False,,,,,0
45.71,10.15,75.49,70.79,28.56,98.69,False,,,,,0
70.16,3.71,56.29,91.97,51.63,108.98,False,,,,,0
45.33,2.1,79.73,100.0,100.0,122.06,False,,,,,0
53.87,6.57,75.29,51.6,79.75,107.44,False,,,,,0
68.04,13.75,85.22,64.44,100.0,129.58,False,,,,,0
35.01,5.05,84.44,81.68,56.81,173.43,False,,,,,0
19.84,6.16,54.01,98.61,56.14,163.6,False,,,,,0
63.27,16.9,69.73,81.1,33.5,160.89,True,,,,,3
90.25,14.34,85.01,71.58,74.61,105.55,False,,,,,0
57.36,19.62,92.4,68.22,60.71,233.7,False,,,,,0
64.37,18.0,88.83,47.35,50.5,101.17,False,,,,,0
66.69,9.4,85.91,58.53,76.78,114.3,False,,,,,0
81.38,13.26,73.3,82.93,56.51,261.42,False,,,,,0
41.81,7.35,75.81,100.0,84.33,111.0,True,,,,,0
71.76,9.58,75.17,69.11,50.39,212.83,False,,,,,0
47.08,11.07,63.06,66.81,82.91,142.94,False,,,,,0
72.88,1.12,91.98,41.95,38.79,275.72,False,,,,,0
95.31,16.88,87.32,100.0,86.43,135.28,False,,,,,0
59.37,6.05,69.45,98.33,67.18,78.88,True,,,,,0
72.91,10.63,66.22,48.95,84.78,86.41,False,,,,,0
38.48,11.22,62.82,81.67,68.45,194.87,False,,,,,0
40.55,7.87,55.82,92.98,26.97,87.49,False,,,,,0
67.35,4.36,78.24,49.6,66.04,116.04,False,,,,,0
65.48,8.89,77.39,45.46,51.13,304.41,False,,,,,0
65.11,4.14,97.86,70.46,66.02,52.03,True,,,,,0
41.08,16.29,57.05,12.12,89.99,153.23,False,,,,,0
54.15,14.59,71.34,100.0,75.28,40.41,False,,,,,0
66.93,5.66,70.87,39.74,34.82,63.18,True,,,,,1
43.57,-2.02,83.52,84.1,61.64,155.27,False,,,,,0
66.02,12.85,63.89,93.22,80.18,58.97,False,,,,,0
72.99,10.56,49.51,65.12,81.87,209.12,False,,,,,0
71.81,23.7,63.67,54.87,80.4,83.65,True,,,,,4
51.41,8.84,79.42,56.63,62.82,169.4,False,,,,,0
56.55,13.25,65.86,74.26,82.93,180.0,False,,,,,0
72.37,7.78,88.62,83.46,73.85,132.31,False,,,,,0
