Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
37.5,8.83,62.21,88.33,55.73,187.6,False,,,,,0
48.6,22.83,75.45,100.0,29.29,335.07,True,,,,,0
76.54,4.21,81.22,87.59,100.0,91.93,False,,,,,0
58.63,-2.12,62.37,79.06,55.75,270.02,False,,,,,0
52.2,13.0,85.53,76.84,59.8,169.88,False,,,,,0
32.49,14.42,75.08,73.69,76.57,86.31,False,,,,,0
40.1,5.45,71.28,76.64,45.84,168.39,False,,,,,0
70.77,11.13,85.31,77.06,62.1,140.53,False,,,,,0
33.04,6.08,69.59,42.39,72.85,208.82,False,,,,,0
59.9,8.31,79.26,64.93,51.82,148.66,True,,,,,0
28.1,11.7,79.03,59.42,75.47,135.31,False,,,,,0
59.0,10.39,84.61,100.0,93.57,93.94,False,,,,,0
64.84,0.28,79.19,92.98,43.13,101.58,False,,,,,0
48.69,15.46,73.03,61.13,89.65,216.54,False,,,,,0
60.41,14.86,68.09,56.13,29.85,206.48,True,,,,,2
72.59,4.72,78.41,85.62,63.45,211.81,True,,,,,0
69.2,12.45,78.51,60.42,71.76,212.06,False,,,,,0
31.87,7.85,89.42,79.29,92.29,73.19,False,,,,,0
81.68,16.79,98.6,86.42,19.92,141.83,False,,,,,0
39.79,7.99,85.7,81.18,42.18,176.35,True,,,,,2
41.77,2.48,76.85,66.96,52.93,179.09,False,,,,,0
58.79,15.09,79.8,61.3,88.55,76.38,False,,,,,0
67.79,12.9,89.44,68.26,44.33,258.22,False,,,,,0
57.12,9.28,81.27,75.83,63.36,124.99,False,,,,,0
65.27,11.3,65.5,45.03,46.08,65.6,True,,,,,2
65.97,8.38,55.56,79.72,70.53,298.17,True,,,,,1
37.6,8.48,85.45,76.16,69.35,125.89,True,,,,,1
51.34,14.9,67.36,98.13,66.32,156.89,True,,,,,3
35.62,11.16,86.7,45.68,100.0,13.02,False,,,,,0
70.84,16.0,79.59,100.0,100.0,-55.51,False,,,,,0
75.67,18.06,71.32,98.96,50.99,89.32,False,,,,,0
55.98,6.51,62.29,42.27,57.49,270.23,False,,,,,0
34.62,2.39,76.53,80.59,83.03,195.28,False,,,,,0
102.78,5.7,58.98,67.24,74.8,58.09,False,,,,,0
102.93,-1.19,66.36,87.45,66.14,219.51,True,,,,,2
40.52,10.86,66.23,55.84,100.0,152.43,False,,,,,0
30.99,14.99,52.92,42.93,81.3,128.51,False,,,,,0
28.1,7.96,86.88,97.87,100.0,195.96,False,,,,,0
64.75,8.24,69.87,66.97,58.8,120.69,False,,,,,0
45.22,11.78,75.87,100.0,64.11,163.34,False,,,,,0
62.29,1.39,64.13,92.84,50.65,59.75,False,,,,,0
26.68,15.79,81.77,93.43,61.01,3.89,False,,,,,0
37.39,3.37,84.59,67.91,60.58,170.3,False,,,,,0
55.16,0.59,65.89,63.27,100.0,159.77,False,,,,,0
51.54,3.83,74.71,66.02,79.94,317.08,False,,,,,0
45.66,10.41,64.74,48.06,82.26,228.29,False,,,,,0
47.78,10.97,75.27,67.11,58.19,343.53,False,,,,,0
55.93,17.82,89.87,61.81,70.38,187.85,False,,,,,0
73.17,9.36,88.49,100.0,71.66,66.63,False,,,,,0
48.54,6.99,113.23,57.8,61.48,140.79,False,,,,,0
62.9,4.68,70.73,63.91,19.93,54.25,False,,,,,0
44.65,14.85,80.28,72.1,77.55,1.33,False,,,,,0
63.67,9.11,79.35,52.25,89.17,140.12,True,,,,,2
74.24,10.53,72.2,46.7,48.5,148.71,False,,,,,0
54.51,12.79,68.16,60.39,63.47,-28.58,True,,,,,2
67.98,7.77,69.69,66.56,80.45,147.43,False,,,,,0
63.99,10.42,82.75,71.99,87.88,177.11,True,,,,,7
69.38,11.89,56.35,100.0,52.31,123.65,False,,,,,0
48.25,13.45,70.79,69.71,89.26,188.92,False,,,,,0
69.54,16.33,74.42,58.64,22.63,128.51,False,,,,,0
61.88,11.9,67.96,87.9,47.88,248.09,True,,,,,3
52.93,16.82,60.23,87.56,44.16,258.01,False,,,,,0
75.98,-0.16,71.87,61.01,74.72,180.02,True,,,,,2
52.05,13.96,70.48,57.74,97.75,129.45,True,,,,,2
77.26,14.3,77.65,64.42,0.0,232.12,True,,,,,2
82.02,9.92,67.01,96.88,79.33,160.72,False,,,,,0
52.45,1.93,71.97,82.5,47.2,109.26,False,,,,,0
58.84,8.77,93.96,74.79,100.0,73.51,False,,,,,0
70.41,2.19,81.08,60.18,95.54,182.44,True,,,,,0
68.92,17.2,86.52,100.0,79.31,154.93,False,,,,,0
62.0,16.21,86.25,56.12,58.66,87.79,True,,,,,1
71.08,10.21,77.91,62.99,96.07,212.04,False,,,,,0
56.9,6.17,77.42,56.83,64.65,68.85,False,,,,,0
79.28,15.86,73.47,96.2,9.98,152.95,False,,,,,0
50.16,7.23,73.9,28.79,97.13,250.21,False,,,,,0
77.94,12.74,73.67,67.32,34.46,148.74,False,,,,,0
64.78,11.49,71.74,69.46,100.0,120.1,False,,,,,0
39.45,4.8,62.01,73.81,91.58,156.7,False,,,,,0
72.21,9.12,87.17,67.22,36.07,124.54,False,,,,,0
65.37,4.29,92.55,87.72,69.56,203.56,False,,,,,0
87.57,14.16,71.65,67.22,56.55,95.17,False,,,,,0
