Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
41.96,7.13,60.77,75.94,73.87,216.91,False,,,,574.06,0
76.27,-3.09,82.11,81.5,64.49,184.97,True,,,,472.61,1
64.7,16.66,71.86,55.53,90.52,87.65,False,,,,437.91,0
79.02,1.18,83.98,63.24,75.77,178.58,True,,,,471.31,4
55.58,-0.72,61.54,74.49,66.34,218.74,False,,,,512.55,0
55.02,18.04,71.24,87.16,75.46,239.85,True,,,,460.7,1
34.95,11.68,85.03,12.7,65.5,102.56,True,,,,521.18,0
67.94,15.39,69.1,88.08,100.0,63.52,False,,,,503.09,0
64.11,8.1,77.33,100.0,50.57,155.11,False,,,,458.56,0
55.82,14.65,73.27,94.21,29.08,182.48,False,,,,563.8,0
70.47,15.74,75.71,61.41,71.56,242.53,False,,,,502.49,0
9.27,17.62,82.12,85.77,54.82,69.42,False,,,,563.83,0
79.52,8.72,79.53,63.5,94.09,329.86,False,,,,575.59,0
62.32,11.76,70.37,79.11,100.0,41.72,True,,,,445.74,2
71.73,17.59,69.36,100.0,7.23,178.32,True,,,,483.37,2
50.76,8.53,88.16,61.01,39.15,319.22,False,,,,439.54,0
56.33,9.59,77.39,42.94,100.0,221.22,False,,,,512.35,0
71.69,10.61,67.98,74.98,53.67,189.42,True,,,,534.71,2
66.89,10.81,83.81,33.0,36.32,104.43,False,,,,543.36,0
58.83,13.94,79.21,71.49,70.91,191.93,True,,,,496.73,1
62.79,18.24,60.07,76.36,81.39,252.81,False,,,,532.63,0
46.74,4.04,75.44,47.53,87.86,26.96,True,,,,446.1,2
59.82,14.01,73.01,100.0,95.07,212.9,False,,,,450.96,0
55.82,18.83,72.46,76.79,10.64,99.02,False,,,,505.73,0
62.41,16.05,64.79,56.09,70.9,-12.24,True,,,,530.13,2
83.27,12.06,77.11,83.2,69.47,117.14,False,,,,453.34,0
46.08,3.48,66.0,92.88,75.75,146.06,False,,,,525.77,0
57.39,4.95,63.49,60.1,100.0,54.96,False,,,,521.4,0
48.55,16.27,77.47,48.69,86.51,175.16,False,,,,493.08,0
67.8,12.63,72.26,96.06,51.76,168.98,True,,,,380.23,2
71.74,2.83,67.73,84.56,61.21,89.66,False,,,,517.95,0
49.69,13.96,81.49,86.35,55.95,-2.34,False,,,,465.06,0
63.18,1.03,72.81,72.65,25.92,135.8,True,,,,530.73,5
68.56,10.14,76.33,48.4,72.83,240.21,False,,,,480.97,0
63.06,10.8,77.79,69.79,30.53,95.5,False,,,,473.37,0
68.97,14.66,65.99,58.95,70.05,186.31,True,,,,487.19,4
39.11,17.9,77.69,98.47,70.78,166.12,False,,,,465.46,0
82.87,12.51,75.48,62.75,65.89,58.02,False,,,,587.54,0
77.85,14.35,64.5,54.07,71.01,265.16,True,,,,476.06,2
45.68,1.96,81.99,64.5,65.45,154.86,False,,,,484.83,0
57.66,1.62,83.36,100.0,0.0,94.65,True,,,,442.25,6
39.28,9.99,77.41,100.0,28.12,-28.83,False,,,,426.03,0
50.13,12.93,80.92,56.48,47.15,284.93,True,,,,493.74,2
57.45,12.54,70.64,41.91,57.63,253.2,False,,,,489.44,0
73.23,14.12,72.81,89.88,100.0,280.0,False,,,,475.77,0
65.62,2.74,87.51,92.85,53.46,152.41,True,,,,397.48,1
56.19,12.16,90.12,81.78,82.9,55.06,True,,,,570.59,0
71.52,15.29,73.85,55.25,67.1,34.19,False,,,,436.11,0
48.48,13.48,76.17,59.8,70.64,-25.47,False,,,,508.52,0
64.65,6.27,71.93,55.46,47.69,142.63,True,,,,481.38,5
60.25,3.15,75.29,41.31,100.0,84.91,False,,,,500.74,0
71.11,16.12,88.41,38.24,80.42,332.66,False,,,,481.62,0
79.05,12.43,84.74,55.56,13.97,11.15,True,,,,464.52,3
51.23,6.51,77.61,48.9,100.0,183.29,False,,,,452.1,0
59.79,15.83,89.21,84.92,41.44,93.69,False,,,,433.31,0
57.86,10.41,67.19,67.75,100.0,117.92,False,,,,506.34,0
75.93,10.09,74.0,66.9,49.88,193.57,False,,,,530.25,0
42.3,4.02,79.46,82.88,22.11,90.65,False,,,,548.47,0
58.71,6.29,79.97,85.18,33.23,168.1,False,,,,540.06,0
