Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
61.94,13.94,79.59,66.79,26.64,-2.52,False,,,,,0
67.85,16.67,66.13,100.0,51.04,150.24,False,,,,,0
68.42,19.18,80.36,52.94,100.0,54.89,False,,,,,0
65.69,10.13,76.9,67.14,70.4,224.51,True,,,,,1
46.03,15.5,69.49,70.58,59.62,178.5,False,,,,,0
69.11,7.35,80.54,32.36,84.47,183.21,False,,,,,0
82.23,13.07,92.91,98.65,81.43,147.67,False,,,,,0
98.43,12.82,49.89,87.03,100.0,109.55,False,,,,,0
52.67,19.96,72.34,73.14,78.26,193.68,False,,,,,0
53.5,5.37,72.55,62.1,68.06,91.91,False,,,,,0
71.18,1.53,63.88,71.92,47.81,197.15,True,,,,,0
66.0,5.57,70.57,56.72,39.92,231.59,False,,,,,0
68.34,12.11,71.08,89.18,95.07,300.09,True,,,,,2
67.03,7.35,82.24,76.03,53.51,11.66,False,,,,,0
56.91,10.93,60.8,31.18,0.0,83.85,False,,,,,0
27.37,11.68,65.72,22.86,60.1,76.94,False,,,,,0
67.5,11.62,87.75,56.05,91.32,141.34,True,,,,,3
37.27,11.12,56.38,90.78,27.46,87.81,False,,,,,0
69.21,21.12,72.94,47.21,88.04,145.61,False,,,,,0
52.53,1.02,74.9,69.89,72.41,233.9,False,,,,,0
49.85,4.96,70.46,76.79,55.02,276.42,True,,,,,3
72.13,18.64,66.78,59.38,99.69,363.21,True,,,,,5
70.68,7.87,92.26,59.94,100.0,132.95,False,,,,,0
56.0,5.93,82.21,100.0,6.61,70.4,True,,,,,1
62.06,16.84,71.03,73.62,99.02,75.39,False,,,,,0
53.01,3.72,83.36,94.7,60.71,-14.44,False,,,,,0
39.87,9.76,88.53,62.59,66.7,203.68,True,,,,,3
72.66,7.02,79.36,72.44,49.51,178.99,True,,,,,4
84.32,5.69,86.53,87.07,63.69,207.96,False,,,,,0
64.15,7.86,91.79,95.41,98.12,211.08,False,,,,,0
64.01,25.08,66.18,95.34,61.17,171.85,False,,,,,0
66.55,21.03,69.57,83.64,85.44,56.77,False,,,,,0
59.09,13.76,69.83,100.0,59.22,155.19,True,,,,,2
