Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
44.55,3.88,85.06,78.13,76.59,165.29,False,,,39.16,,0
69.86,8.2,70.11,36.23,91.96,60.51,True,,,33.33,,2
70.25,5.92,81.01,69.25,46.21,182.82,True,,,44.12,,1
68.01,13.44,67.52,62.64,74.9,275.82,True,,,40.52,,1
67.87,10.55,76.05,55.79,35.21,153.58,False,,,45.77,,0
56.31,6.95,86.19,92.41,66.59,224.23,True,,,38.71,,3
53.54,7.45,80.84,92.93,99.31,152.54,False,,,41.21,,0
76.1,10.2,82.97,19.09,71.32,150.4,True,,,40.88,,2
36.12,3.37,75.52,52.52,67.8,132.04,False,,,36.91,,0
47.86,19.99,69.57,79.43,22.32,78.6,False,,,53.96,,0
74.01,15.16,63.38,78.34,66.52,123.87,True,,,35.18,,2
71.73,5.28,79.06,73.82,51.88,182.26,False,,,39.84,,0
74.75,14.4,75.02,56.83,91.79,190.94,False,,,46.98,,0
78.23,10.83,76.53,45.33,56.16,41.15,False,,,60.08,,0
60.89,6.16,77.62,100.0,5.36,15.1,True,,,30.33,,4
62.08,17.74,80.96,82.95,94.43,140.84,True,,,44.91,,2
55.36,8.17,75.91,40.44,76.71,205.23,True,,,32.37,,2
34.97,6.91,69.44,92.28,40.41,34.97,False,,,45.89,,0
68.55,24.57,70.69,78.57,31.7,97.35,False,,,40.13,,0
63.89,12.06,61.4,89.91,74.41,116.48,False,,,46.64,,0
48.06,7.72,81.0,64.23,60.83,142.37,False,,,44.93,,0
68.72,11.43,76.43,95.88,42.38,135.94,False,,,51.87,,0
59.22,15.93,61.1,58.6,52.93,60.34,False,,,51.43,,0
71.18,7.99,72.44,81.34,34.64,200.42,True,,,39.88,,0
65.65,7.07,74.32,51.99,99.94,119.04,False,,,20.5,,0
61.8,10.8,70.59,54.41,46.86,236.93,False,,,58.07,,0
48.08,7.07,62.51,68.22,71.18,270.95,False,,,45.21,,0
40.08,14.49,70.54,67.38,69.82,111.24,False,,,32.86,,0
59.4,23.25,69.03,75.32,66.31,319.32,False,,,33.86,,0
56.41,10.96,68.39,88.75,60.51,196.08,False,,,38.01,,0
55.28,8.77,77.65,83.13,61.52,49.24,True,,,44.03,,2
64.52,5.47,79.94,92.53,66.59,155.17,False,,,31.18,,0
68.87,7.05,79.28,87.67,56.27,183.91,False,,,52.29,,0
62.91,12.06,73.13,83.3,76.41,215.34,True,,,56.31,,2
54.96,5.17,85.25,74.94,73.99,-39.84,False,,,36.89,,0
47.73,6.87,51.32,93.19,71.49,110.53,True,,,15.34,,0
68.96,17.0,76.49,61.24,41.93,116.35,False,,,47.5,,0
50.38,11.14,72.28,99.97,44.7,127.68,False,,,31.71,,0
50.6,11.07,70.44,82.05,37.06,86.5,False,,,38.34,,0
77.69,15.63,66.85,64.78,93.85,226.14,False,,,43.04,,0
62.53,1.13,94.33,70.44,100.0,135.92,False,,,47.31,,0
61.2,11.41,79.28,70.63,82.27,200.27,True,,,19.2,,2
86.89,9.33,77.25,74.16,53.92,141.24,False,,,58.1,,0
70.68,5.99,76.38,62.68,100.0,153.98,False,,,34.86,,0
23.75,9.5,86.2,72.9,100.0,27.99,False,,,54.96,,0
38.06,5.34,72.35,48.89,75.57,183.33,False,,,40.6,,0
54.24,6.08,82.12,70.36,69.92,93.12,False,,,37.84,,0
62.71,18.0,68.06,84.42,80.15,123.29,True,,,29.94,,0
44.31,3.83,79.23,71.33,100.0,180.11,True,,,53.83,,3
65.34,5.4,74.93,91.89,32.83,155.21,True,,,37.15,,3
64.72,9.62,63.23,100.0,36.12,314.95,False,,,38.19,,0
36.89,12.04,75.41,48.75,61.33,102.98,True,,,45.51,,0
61.31,8.43,77.67,22.98,45.39,250.73,False,,,37.83,,0
63.01,8.31,75.27,63.56,66.53,154.11,False,,,50.25,,0
63.65,3.56,89.26,71.98,53.81,0.14,False,,,36.09,,0
55.76,14.5,50.43,67.18,80.51,173.84,True,,,23.55,,0
59.31,20.79,86.56,76.86,47.43,119.98,False,,,37.07,,0
83.59,9.47,69.37,32.6,66.34,159.52,False,,,32.44,,0
43.74,13.41,80.21,68.17,67.37,58.64,True,,,32.08,,1
59.64,8.46,77.17,100.0,6.72,203.81,False,,,33.63,,0
42.04,9.11,68.64,90.43,24.3,67.94,True,,,37.03,,3
63.61,6.87,88.25,67.27,64.44,117.27,False,,,51.31,,0
80.65,5.65,72.33,51.46,0.0,197.86,False,,,50.49,,0
60.06,17.81,69.29,94.82,56.67,150.41,True,,,42.08,,1
73.06,9.73,73.15,70.21,53.16,83.31,True,,,34.84,,2
51.73,5.36,79.81,86.42,67.18,114.39,False,,,23.1,,0
41.08,12.08,57.89,45.68,74.3,111.99,False,,,48.87,,0
44.75,13.24,77.16,56.09,79.35,199.75,False,,,50.83,,0
48.99,9.86,81.2,75.06,48.55,54.09,True,,,32.68,,3
72.06,7.44,74.18,56.43,56.47,203.85,True,,,41.85,,4
86.12,3.71,87.46,80.76,74.51,113.94,False,,,28.25,,0
48.08,13.55,57.85,100.0,67.29,102.34,False,,,60.17,,0
48.03,7.18,63.01,82.32,77.69,182.97,False,,,40.46,,0
