Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
65.0,5.36,65.52,54.13,0.0,91.12,False,,,47.26,,0
81.82,4.07,68.65,26.3,80.02,186.18,True,,,42.93,,4
72.36,5.85,79.91,88.58,65.17,208.4,False,,,39.39,,0
45.98,11.53,65.42,100.0,18.06,204.5,False,,,38.08,,0
45.99,4.81,69.59,89.91,100.0,45.12,True,,,34.32,,3
34.79,12.61,68.05,59.62,56.64,118.78,True,,,36.87,,2
96.68,15.51,68.13,75.0,68.76,217.34,False,,,37.68,,0
71.86,16.73,91.1,93.1,78.63,88.13,False,,,54.18,,0
47.84,15.24,74.34,58.98,46.03,248.2,True,,,18.27,,2
53.02,18.76,76.63,100.0,79.41,111.49,True,,,21.6,,1
24.81,6.51,68.57,55.36,45.77,296.92,False,,,41.4,,0
74.17,10.37,65.85,75.94,52.38,132.19,True,,,35.97,,1
63.42,11.2,56.45,69.04,17.14,75.17,True,,,31.16,,2
45.34,3.22,74.25,89.04,60.09,157.4,False,,,28.84,,0
89.92,8.46,72.02,73.05,95.21,64.64,False,,,44.38,,0
77.95,15.46,64.67,53.28,87.03,253.94,False,,,22.53,,0
64.99,8.09,54.43,78.75,24.21,105.64,True,,,35.05,,0
67.04,7.79,74.88,55.35,24.53,117.33,True,,,22.13,,1
63.09,-0.37,65.18,70.61,47.28,205.64,False,,,54.62,,0
64.56,11.28,79.44,55.45,100.0,168.0,False,,,47.46,,0
76.62,11.47,89.66,92.67,91.16,146.27,False,,,27.26,,0
77.02,3.12,75.71,73.91,64.86,155.27,False,,,35.53,,0
58.8,16.32,56.49,72.76,26.98,183.81,True,,,43.48,,1
56.89,8.55,77.62,47.75,52.74,207.26,False,,,44.81,,0
48.33,15.46,64.66,66.46,48.14,122.29,False,,,31.7,,0
59.75,3.48,62.15,61.64,9.42,187.77,True,,,32.15,,4
51.92,7.61,71.5,78.32,25.79,166.23,False,,,27.55,,0
53.25,11.77,83.47,61.1,54.7,137.52,True,,,25.78,,1
49.23,12.07,61.8,84.89,97.03,92.75,False,,,42.47,,0
43.06,13.88,63.95,23.25,73.99,350.64,False,,,28.25,,0
66.53,20.65,90.27,86.59,100.0,119.96,False,,,49.74,,0
53.31,8.73,62.52,56.07,61.6,90.25,False,,,41.55,,0
73.14,6.74,70.58,68.24,45.23,129.88,False,,,30.95,,0
54.94,12.05,73.22,84.62,44.08,64.31,False,,,19.13,,0
52.37,12.77,70.79,39.35,92.08,154.25,False,,,31.33,,0
55.38,14.19,79.83,100.0,63.73,-41.75,False,,,19.18,,0
59.79,-8.93,65.6,66.36,87.86,276.37,False,,,52.16,,0
64.33,11.81,81.74,85.67,57.11,143.63,False,,,19.11,,0
57.99,16.24,67.99,61.49,84.9,159.63,False,,,46.57,,0
66.25,9.97,80.2,100.0,90.42,158.37,False,,,26.61,,0
39.19,10.7,87.63,74.22,60.03,-8.93,False,,,66.38,,0
50.2,9.6,84.4,38.3,14.51,297.68,False,,,28.34,,0
26.55,15.36,90.8,58.52,100.0,133.33,False,,,36.73,,0
52.13,9.08,62.7,58.09,60.13,123.01,False,,,34.54,,0
79.41,11.39,80.64,92.4,69.76,189.34,False,,,28.52,,0
57.73,19.53,79.42,81.2,32.29,276.08,False,,,28.1,,0
95.03,10.73,76.61,81.57,95.36,156.56,False,,,43.7,,0
64.21,8.99,74.37,32.59,44.77,140.3,False,,,34.25,,0
70.27,15.76,81.96,100.0,58.05,236.48,True,,,41.14,,1
74.99,7.96,90.53,58.46,89.37,107.17,False,,,50.34,,0
86.91,9.68,62.46,65.55,75.69,92.48,True,,,29.35,,2
