Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
63.04,12.97,84.09,57.1,86.37,90.68,True,,,,,2
66.89,17.62,98.14,47.3,31.82,103.92,False,,,,,0
32.23,1.82,77.95,73.23,43.04,297.57,False,,,,,0
49.25,14.02,79.2,46.87,43.8,117.63,False,,,,,0
63.8,5.96,79.39,70.74,78.57,189.08,False,,,,,0
64.21,7.42,64.68,99.36,100.0,232.06,False,,,,,0
87.38,4.59,63.18,64.94,65.7,185.51,False,,,,,0
55.48,13.84,78.07,67.3,65.85,53.7,False,,,,,0
39.44,5.53,49.25,100.0,47.23,110.12,False,,,,,0
72.9,9.33,80.22,69.79,43.54,214.66,False,,,,,0
82.09,8.68,64.44,66.65,100.0,43.0,False,,,,,0
49.95,4.54,60.51,52.59,91.33,139.02,False,,,,,0
45.45,11.54,75.64,74.43,83.18,148.96,True,,,,,3
66.25,11.96,75.05,50.52,37.47,54.2,True,,,,,4
56.14,10.41,82.7,61.5,59.7,122.91,False,,,,,0
63.82,5.72,74.45,60.7,73.56,73.83,False,,,,,0
60.99,11.09,80.05,57.66,48.67,163.44,False,,,,,0
65.15,10.26,72.42,100.0,26.45,130.64,False,,,,,0
48.01,4.99,90.21,74.46,68.6,214.0,False,,,,,0
43.37,13.07,70.23,90.22,40.25,303.62,False,,,,,0
75.11,11.45,87.9,39.44,59.51,219.93,True,,,,,2
42.64,11.18,84.18,76.12,58.74,227.42,False,,,,,0
67.34,14.28,77.69,50.65,72.02,138.4,False,,,,,0
74.82,11.29,73.89,75.74,30.0,180.66,False,,,,,0
39.58,17.49,64.9,89.9,96.31,38.4,False,,,,,0
44.8,2.69,73.91,59.3,49.03,204.99,False,,,,,0
77.2,10.87,63.8,45.17,89.93,-43.04,False,,,,,0
68.38,12.53,80.34,76.43,77.6,227.14,True,,,,,4
87.29,5.76,84.38,88.99,33.11,120.55,False,,,,,0
55.42,13.63,70.01,99.88,100.0,161.27,False,,,,,0
69.04,15.42,71.32,49.13,66.9,279.14,False,,,,,0
47.16,3.73,65.27,27.43,50.33,130.84,True,,,,,3
47.99,10.69,67.4,75.64,55.7,210.96,True,,,,,0
63.11,10.82,58.45,70.19,100.0,265.89,False,,,,,0
58.89,17.32,72.23,78.29,59.6,93.49,False,,,,,0
63.42,8.06,91.29,91.59,57.98,112.73,True,,,,,3
56.25,5.67,70.09,63.84,72.39,0.98,False,,,,,0
53.44,7.43,85.91,34.82,35.75,-56.2,False,,,,,0
55.36,12.01,69.9,67.41,41.96,154.97,True,,,,,1
56.45,18.99,85.12,79.43,100.0,259.32,False,,,,,0
84.42,11.57,73.12,61.63,84.39,160.11,False,,,,,0
77.21,4.26,72.14,77.68,70.21,170.55,False,,,,,0
