Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
42.42,11.14,68.84,51.89,72.02,76.86,True,,,,,2
44.8,13.28,62.43,97.5,90.02,255.8,False,,,,,0
60.06,11.41,83.29,93.7,29.66,109.33,True,,,,,6
51.87,4.3,61.41,90.96,56.64,214.03,True,,,,,2
57.03,10.56,78.5,93.99,72.26,212.98,False,,,,,0
73.0,6.09,82.77,93.3,32.48,136.16,False,,,,,0
58.07,11.67,80.29,93.59,52.42,114.39,True,,,,,5
73.31,14.12,81.48,98.7,61.36,45.17,True,,,,,2
44.37,7.29,61.48,67.96,76.22,128.15,False,,,,,0
52.41,9.63,81.53,65.26,66.96,14.7,False,,,,,0
82.7,13.07,70.47,33.34,87.3,141.76,True,,,,,0
73.31,13.01,75.93,66.04,60.26,99.01,False,,,,,0
71.43,6.81,80.1,79.31,73.44,100.68,False,,,,,0
80.79,8.1,77.79,100.0,70.98,145.27,False,,,,,0
29.76,-1.61,70.92,61.14,100.0,213.53,False,,,,,0
51.54,3.57,80.95,96.53,81.19,87.3,False,,,,,0
45.09,9.32,87.09,71.39,49.5,29.01,True,,,,,3
66.22,11.07,61.31,81.27,54.14,20.41,False,,,,,0
77.71,13.04,84.31,100.0,36.94,155.94,False,,,,,0
75.08,9.89,78.8,69.15,41.92,166.07,False,,,,,0
41.53,4.29,73.15,93.43,86.09,264.76,False,,,,,0
49.18,10.28,91.94,97.89,29.33,109.12,True,,,,,0
50.57,14.83,69.49,55.38,75.99,95.79,False,,,,,0
56.47,2.53,81.07,72.04,61.33,61.81,False,,,,,0
54.39,0.72,72.16,100.0,76.14,167.17,True,,,,,2
63.24,14.19,66.56,100.0,87.09,222.7,False,,,,,0
54.74,20.46,76.96,56.51,66.12,120.26,True,,,,,3
56.06,14.39,58.29,52.52,90.15,51.19,False,,,,,0
62.62,14.83,76.95,54.86,74.17,119.51,False,,,,,0
58.83,9.98,62.51,55.8,63.84,126.34,False,,,,,0
43.63,10.66,89.38,60.38,53.96,67.13,False,,,,,0
80.35,19.94,74.98,97.16,89.93,-18.54,True,,,,,3
54.14,4.0,78.26,70.85,60.83,136.69,True,,,,,1
56.6,16.98,77.81,80.47,51.96,239.36,False,,,,,0
69.96,12.88,73.9,43.98,52.44,184.36,False,,,,,0
54.77,10.8,89.43,30.65,100.0,140.37,False,,,,,0
35.36,6.55,70.79,16.51,59.94,88.33,False,,,,,0
61.96,18.23,76.02,59.14,87.05,225.14,False,,,,,0
74.16,11.39,76.92,83.54,30.12,191.86,True,,,,,2
54.53,10.1,77.45,79.0,100.0,-73.99,False,,,,,0
41.56,3.04,72.56,50.99,24.62,142.22,True,,,,,1
24.14,8.11,67.16,70.74,52.08,161.85,False,,,,,0
40.96,3.35,81.01,90.03,94.52,140.68,False,,,,,0
46.04,14.92,79.38,63.84,59.51,270.03,True,,,,,2
47.63,12.17,77.57,100.0,58.98,174.97,True,,,,,3
43.79,11.52,75.35,58.45,64.63,-16.26,False,,,,,0
33.93,16.35,91.22,100.0,65.15,181.19,False,,,,,0
73.92,14.06,79.95,49.57,64.14,208.52,True,,,,,0
70.27,16.86,82.71,54.87,90.48,-0.55,False,,,,,0
67.63,20.35,78.02,86.34,86.82,65.28,False,,,,,0
37.14,19.0,61.37,90.72,67.25,316.74,False,,,,,0
49.85,7.1,66.16,94.07,59.96,132.0,True,,,,,4
75.86,7.01,60.06,77.79,31.81,238.37,False,,,,,0
65.11,12.21,95.35,87.57,80.96,33.62,False,,,,,0
71.63,19.8,92.52,27.94,100.0,161.71,False,,,,,0
71.04,8.62,59.89,71.31,46.4,154.47,False,,,,,0
55.96,13.76,79.92,48.37,88.92,84.14,True,,,,,3
29.3,2.6,84.46,61.11,100.0,135.78,True,,,,,2
85.77,18.0,65.87,54.85,64.2,197.57,False,,,,,0
55.49,4.05,84.65,65.0,95.09,228.92,False,,,,,0
72.67,8.57,74.52,63.35,15.64,97.63,False,,,,,0
96.54,3.47,73.18,47.92,89.17,107.78,False,,,,,0
91.58,15.64,69.3,63.92,93.25,164.93,False,,,,,0
42.17,8.13,73.34,59.83,50.42,183.12,False,,,,,0
69.75,5.3,75.06,65.82,81.98,99.1,True,,,,,4
43.68,5.31,72.41,50.37,25.53,135.13,True,,,,,0
62.63,3.23,78.79,100.0,35.48,125.71,False,,,,,0
72.64,2.94,73.66,61.55,87.16,94.86,False,,,,,0
