Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
73.39,5.1,68.17,51.64,100.0,165.76,False,,,,,0
51.98,8.77,72.42,77.51,45.68,239.61,False,,,,,0
80.52,3.38,82.49,56.79,46.58,167.08,True,,,,,3
56.27,13.83,87.28,69.93,29.73,285.31,False,,,,,0
54.04,1.38,62.04,55.5,53.83,18.91,False,,,,,0
56.23,17.2,80.69,42.19,68.06,39.75,False,,,,,0
66.56,0.26,82.61,86.64,69.64,168.55,False,,,,,0
70.79,7.38,70.54,86.74,35.24,180.61,False,,,,,0
70.24,11.75,85.3,85.56,51.3,147.89,False,,,,,0
56.93,8.07,63.02,86.66,18.27,40.23,True,,,,,3
60.21,5.69,83.21,89.1,52.07,273.9,True,,,,,3
38.54,16.58,76.51,90.13,100.0,144.02,False,,,,,0
53.79,8.9,68.82,96.44,72.48,80.64,True,,,,,1
56.07,13.06,83.84,65.75,49.21,227.04,True,,,,,1
43.72,14.67,72.39,79.35,75.44,5.28,False,,,,,0
43.9,9.69,77.2,57.81,38.82,223.37,False,,,,,0
67.08,13.13,78.36,69.89,79.19,202.45,False,,,,,0
58.27,9.68,63.77,28.1,58.59,87.99,False,,,,,0
56.28,14.56,74.58,72.26,54.7,91.05,True,,,,,3
52.65,6.54,72.65,98.04,65.64,139.83,False,,,,,0
53.98,14.49,66.94,74.6,100.0,10.23,True,,,,,0
48.14,15.31,86.69,83.8,67.23,96.25,True,,,,,1
45.02,10.04,75.76,51.52,100.0,125.37,False,,,,,0
84.66,4.36,68.41,67.19,28.82,176.16,False,,,,,0
65.79,5.8,74.5,82.32,48.93,225.09,True,,,,,0
59.71,5.75,87.8,100.0,69.75,180.15,False,,,,,0
66.75,9.8,65.59,85.14,72.93,223.25,True,,,,,0
57.61,8.47,76.85,61.42,74.03,-31.99,False,,,,,0
62.39,10.01,64.77,68.66,55.74,135.12,False,,,,,0
35.96,2.86,90.84,48.23,98.4,74.82,False,,,,,0
33.53,2.41,68.68,53.27,35.47,114.3,False,,,,,0
42.52,8.69,65.82,79.82,68.07,-1.77,False,,,,,0
63.58,10.42,75.03,43.3,95.57,134.4,False,,,,,0
53.29,11.37,66.18,40.45,86.47,307.4,False,,,,,0
73.19,8.36,70.09,86.88,77.23,143.78,False,,,,,0
63.67,3.21,64.61,74.01,69.95,313.29,False,,,,,0
52.91,9.11,74.92,89.59,69.77,157.98,False,,,,,0
66.38,9.52,80.03,58.93,69.73,85.61,False,,,,,0
