Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
31.97,9.52,80.43,61.93,49.13,278.77,False,,,,,0
73.22,15.79,71.86,84.82,78.65,21.78,False,,,,,0
63.28,2.47,72.15,100.0,37.31,164.45,True,,,,,2
83.6,1.65,64.83,75.39,61.37,141.54,False,,,,,0
77.53,5.51,78.98,87.94,82.93,126.06,False,,,,,0
58.48,10.55,77.55,77.33,89.67,255.08,False,,,,,0
66.68,4.59,96.97,69.6,88.46,274.33,False,,,,,0
81.82,12.56,69.55,100.0,34.67,172.64,False,,,,,0
66.84,13.14,69.09,56.69,50.78,152.64,True,,,,,0
94.34,1.65,84.83,62.69,86.2,245.29,True,,,,,5
80.19,7.97,66.12,17.46,18.0,178.89,True,,,,,0
81.89,7.68,72.44,62.48,64.52,60.58,False,,,,,0
57.62,9.65,64.89,18.21,43.28,127.66,False,,,,,0
50.69,2.98,88.66,45.35,56.25,100.2,False,,,,,0
65.93,10.07,79.08,70.08,27.87,40.17,False,,,,,0
69.08,5.83,66.99,29.56,30.29,162.31,False,,,,,0
41.47,10.74,75.46,89.23,74.25,171.72,False,,,,,0
62.3,15.79,63.92,51.13,86.2,278.35,False,,,,,0
43.39,15.71,75.32,100.0,83.27,64.18,True,,,,,2
68.41,6.62,64.12,51.73,55.64,160.56,False,,,,,0
31.76,2.67,73.14,84.59,67.87,227.35,False,,,,,0
76.41,5.34,73.61,46.59,53.56,96.47,True,,,,,1
20.21,14.15,71.96,88.45,49.26,183.81,False,,,,,0
56.66,10.6,66.04,89.76,32.17,197.37,True,,,,,1
95.11,13.42,74.7,83.07,66.01,175.94,False,,,,,0
67.87,6.65,81.08,44.18,82.34,169.75,True,,,,,3
61.16,20.68,69.89,69.41,100.0,131.09,False,,,,,0
76.97,15.89,59.73,62.51,83.17,96.35,False,,,,,0
51.14,15.27,82.56,55.04,66.7,193.62,False,,,,,0
73.24,15.78,89.76,90.36,65.43,115.02,True,,,,,1
75.45,5.41,68.74,71.84,66.98,-18.99,False,,,,,0
52.26,11.74,76.1,56.55,80.42,145.62,False,,,,,0
50.99,17.99,92.74,84.94,43.59,96.75,False,,,,,0
54.52,19.41,58.96,74.14,76.21,147.33,False,,,,,0
64.92,5.02,62.96,29.28,62.97,300.34,False,,,,,0
91.84,14.17,83.88,72.31,66.88,24.87,False,,,,,0
41.98,10.83,71.47,65.37,54.13,93.7,False,,,,,0
42.16,8.73,81.13,67.76,23.61,185.53,False,,,,,0
78.26,6.04,70.53,73.2,17.71,180.81,False,,,,,0
51.88,4.61,76.64,77.08,52.41,132.53,True,,,,,1
47.67,12.34,86.18,58.65,78.11,172.58,False,,,,,0
66.92,19.01,80.47,100.0,100.0,230.25,False,,,,,0
82.04,13.27,76.05,99.14,57.73,264.93,False,,,,,0
64.27,17.37,80.39,24.05,71.78,21.38,False,,,,,0
45.02,15.96,67.44,95.7,75.84,46.92,False,,,,,0
79.65,17.66,69.13,63.81,67.32,194.28,False,,,,,0
71.76,-1.12,74.23,52.23,100.0,219.02,True,,,,,0
57.49,3.77,87.23,75.28,100.0,244.08,True,,,,,2
62.62,11.33,67.55,76.32,47.04,152.36,True,,,,,3
34.54,3.86,75.61,74.44,57.45,220.38,False,,,,,0
57.62,5.19,80.12,90.07,84.79,243.62,False,,,,,0
59.87,7.15,76.17,27.13,96.57,8.02,False,,,,,0
81.31,8.66,93.65,88.93,31.46,213.83,False,,,,,0
66.41,11.64,91.33,96.5,77.44,129.25,True,,,,,1
74.21,12.85,69.49,69.1,96.23,326.45,False,,,,,0
45.31,15.09,58.55,71.37,83.37,47.5,True,,,,,1
70.67,12.96,58.2,48.76,81.6,113.08,True,,,,,1
69.95,8.47,80.65,100.0,78.21,245.94,True,,,,,2
36.49,6.47,75.65,47.39,75.86,260.52,False,,,,,0
62.64,9.19,83.96,99.31,26.9,194.51,False,,,,,0
51.63,11.0,79.31,48.81,79.35,244.46,False,,,,,0
62.47,14.67,72.87,69.73,76.51,237.95,False,,,,,0
50.87,14.32,57.06,99.84,68.31,126.02,True,,,,,1
27.95,7.23,67.36,100.0,91.59,120.47,False,,,,,0
54.85,9.1,89.27,35.27,48.13,243.89,False,,,,,0
49.43,11.45,80.22,78.01,48.64,174.08,False,,,,,0
42.39,8.37,85.18,23.06,72.27,79.04,False,,,,,0
66.58,2.47,94.55,100.0,73.71,197.9,True,,,,,4
54.08,11.05,73.32,86.97,39.94,135.93,False,,,,,0
42.03,19.9,81.07,55.98,27.13,-5.5,False,,,,,0
65.84,4.76,92.44,36.55,88.93,232.31,False,,,,,0
79.09,5.35,67.82,40.03,96.65,37.31,False,,,,,0
69.67,10.46,80.34,67.17,43.17,219.29,False,,,,,0
63.77,24.94,62.62,60.79,97.71,-22.08,False,,,,,0
69.4,2.58,71.22,70.14,64.63,167.14,False,,,,,0
87.99,4.47,86.65,79.94,80.4,182.17,False,,,,,0
53.37,5.88,78.31,35.09,71.6,120.05,False,,,,,0
38.96,5.67,61.66,59.93,86.54,254.62,True,,,,,2
79.04,7.54,81.24,71.7,74.91,44.58,False,,,,,0
64.51,12.63,59.54,71.7,19.31,177.16,False,,,,,0
55.47,20.56,53.77,96.23,68.53,77.8,False,,,,,0
76.08,11.9,80.96,87.49,82.53,121.22,False,,,,,0
66.63,19.57,83.64,100.0,33.93,173.18,True,,,,,4
71.36,8.39,51.47,76.58,44.01,194.8,False,,,,,0
63.92,15.84,82.33,71.39,65.91,334.84,False,,,,,0
39.28,12.81,67.38,81.51,97.8,243.19,False,,,,,0
62.4,10.11,57.21,70.07,30.96,103.21,False,,,,,0
91.6,16.62,63.74,86.68,25.75,232.24,False,,,,,0
67.01,7.4,86.14,67.5,55.38,62.96,False,,,,,0
56.6,4.25,72.11,58.59,52.26,253.65,False,,,,,0
73.56,10.94,83.06,88.31,62.58,160.61,False,,,,,0
43.71,1.97,68.83,91.03,63.32,16.21,False,,,,,0
75.71,14.98,64.26,90.63,25.27,170.02,False,,,,,0
28.79,9.19,87.7,92.26,74.96,103.2,False,,,,,0
55.41,3.37,76.98,100.0,71.23,71.1,True,,,,,3
70.49,0.66,83.08,60.67,89.55,61.61,False,,,,,0
57.9,18.77,62.42,48.59,36.84,86.71,False,,,,,0
33.49,14.79,81.6,100.0,60.07,64.6,False,,,,,0
47.43,13.35,68.7,59.39,100.0,219.83,True,,,,,5
48.93,20.21,65.43,89.37,71.89,-51.68,True,,,,,1
72.21,8.35,81.87,58.54,42.66,55.7,False,,,,,0
60.54,15.44,53.36,84.53,68.16,68.42,True,,,,,2
33.43,12.99,74.84,76.34,86.74,50.65,False,,,,,0
85.25,11.45,70.52,50.7,52.13,62.99,True,,,,,2
75.34,2.54,66.82,73.09,100.0,285.13,False,,,,,0
50.58,8.06,82.41,70.45,61.07,162.91,False,,,,,0
49.2,12.27,58.52,42.35,80.43,97.15,False,,,,,0
65.04,8.4,69.4,53.37,51.18,30.04,False,,,,,0
80.11,3.23,94.05,90.36,44.84,180.99,True,,,,,3
40.26,9.65,80.3,92.38,32.34,205.06,True,,,,,1
66.35,5.49,77.01,68.41,64.51,177.4,False,,,,,0
73.27,8.2,72.73,67.21,76.32,199.13,False,,,,,0
36.35,10.16,90.35,90.91,99.28,123.64,True,,,,,0
29.4,15.89,59.85,79.68,38.38,231.15,False,,,,,0
39.22,3.73,81.54,55.84,92.04,255.73,False,,,,,0
59.08,6.44,98.95,88.04,92.68,152.34,False,,,,,0
80.55,13.47,88.37,73.64,89.92,99.41,False,,,,,0
61.3,13.28,75.99,81.76,83.42,273.87,True,,,,,1
58.45,12.6,85.6,18.35,53.72,111.78,False,,,,,0
52.98,3.0,85.48,38.33,49.04,132.4,False,,,,,0
64.31,5.02,75.12,70.12,57.26,92.33,False,,,,,0
83.85,12.36,77.99,41.71,65.63,2.18,False,,,,,0
43.35,6.2,76.32,100.0,57.47,196.95,False,,,,,0
71.57,8.84,85.59,64.49,49.24,256.92,False,,,,,0
73.79,3.62,64.77,85.9,77.7,133.34,False,,,,,0
24.61,13.0,77.72,44.04,65.6,200.88,False,,,,,0
70.18,13.79,79.17,61.24,57.27,128.4,True,,,,,0
90.81,9.35,80.01,66.66,18.56,200.65,True,,,,,2
43.8,7.58,70.3,74.63,45.36,45.76,False,,,,,0
42.67,11.52,67.92,80.43,70.95,231.61,False,,,,,0
30.3,10.53,98.85,68.69,38.95,221.74,False,,,,,0
53.11,12.0,87.52,40.15,64.68,343.74,False,,,,,0
53.74,14.8,76.34,100.0,92.3,20.44,True,,,,,1
61.71,11.3,77.74,72.06,82.71,155.41,False,,,,,0
61.17,5.91,77.79,67.97,66.32,384.5,False,,,,,0
43.04,6.72,76.92,82.83,68.05,165.48,False,,,,,0
51.64,8.4,75.08,94.95,65.95,125.14,False,,,,,0
53.89,-3.84,78.81,55.13,56.65,120.72,False,,,,,0
51.88,14.02,74.67,39.06,59.45,137.38,True,,,,,1
53.74,16.97,74.58,56.21,48.15,127.1,False,,,,,0
61.66,7.65,60.35,49.13,100.0,114.03,False,,,,,0
62.15,20.54,78.33,60.66,42.06,41.88,True,,,,,2
61.5,22.36,59.16,54.53,59.56,237.31,False,,,,,0
57.99,4.69,68.36,82.57,76.29,163.5,False,,,,,0
55.11,8.16,68.2,69.76,58.51,172.56,False,,,,,0
55.56,6.8,85.22,79.85,100.0,-4.45,False,,,,,0
48.25,7.56,84.09,68.34,96.99,161.44,False,,,,,0
58.61,7.57,69.29,89.3,100.0,115.14,False,,,,,0
56.71,10.52,71.91,59.96,56.26,172.06,False,,,,,0
41.94,5.68,71.13,61.77,51.06,200.43,False,,,,,0
82.73,9.04,60.81,55.86,49.52,131.35,False,,,,,0
61.04,12.3,76.43,72.25,26.14,92.15,False,,,,,0
51.2,15.25,86.82,58.98,47.74,245.47,False,,,,,0
63.36,11.29,87.78,38.36,31.88,183.14,True,,,,,2
57.95,4.97,70.77,63.37,37.83,22.89,False,,,,,0
40.03,9.61,77.09,74.1,71.65,209.68,False,,,,,0
93.81,8.94,89.39,83.98,84.65,268.98,False,,,,,0
67.72,17.46,73.64,46.13,38.68,210.94,False,,,,,0
42.65,9.42,77.71,84.07,57.91,197.59,False,,,,,0
75.12,9.71,79.71,100.0,30.65,170.81,False,,,,,0
72.36,14.65,75.78,96.5,100.0,199.69,False,,,,,0
83.8,4.23,85.34,55.74,95.44,182.05,False,,,,,0
63.37,0.22,62.71,39.91,82.48,20.49,False,,,,,0
54.91,5.63,66.97,69.96,79.38,-63.66,True,,,,,2
75.66,5.05,85.05,99.95,84.62,230.11,False,,,,,0
45.63,8.26,65.86,48.62,43.03,143.48,False,,,,,0
68.94,11.39,77.63,96.95,87.99,181.92,False,,,,,0
63.79,10.87,51.57,90.62,91.44,163.44,False,,,,,0
69.14,15.77,68.75,49.78,58.56,100.05,False,,,,,0
62.91,18.83,76.04,98.17,37.55,128.04,False,,,,,0
68.16,18.25,76.97,63.13,78.0,22.61,False,,,,,0
62.24,7.64,68.6,50.43,55.57,100.83,True,,,,,1
66.38,15.37,86.56,86.58,50.69,172.36,False,,,,,0
57.0,16.36,84.34,40.77,100.0,222.45,False,,,,,0
97.03,6.41,68.89,66.69,100.0,-9.33,False,,,,,0
73.5,7.87,88.1,79.68,75.72,88.17,False,,,,,0
62.53,14.42,86.86,66.76,75.34,26.54,False,,,,,0
69.61,6.0,71.89,100.0,63.22,229.86,True,,,,,2
35.02,6.43,84.7,69.7,78.04,79.34,False,,,,,0
43.9,11.73,65.52,90.16,42.55,170.01,False,,,,,0
61.25,4.86,68.97,57.57,22.65,256.12,False,,,,,0
46.04,11.53,57.52,90.02,79.1,135.51,False,,,,,0
55.19,5.44,56.86,46.97,100.0,121.34,False,,,,,0
53.56,-0.46,110.59,74.7,90.4,224.87,True,,,,,0
78.12,12.17,68.0,100.0,52.81,154.53,True,,,,,2
72.12,0.25,93.95,67.66,49.51,179.84,False,,,,,0
51.2,0.27,74.1,39.56,97.57,160.71,False,,,,,0
47.43,18.22,67.54,65.23,66.02,264.79,False,,,,,0
72.99,3.67,70.85,70.56,78.4,180.11,False,,,,,0
57.84,4.19,78.17,42.34,53.06,205.58,False,,,,,0
97.37,5.05,71.45,84.8,29.93,136.03,True,,,,,4
89.83,19.45,86.99,59.29,90.71,86.9,False,,,,,0
45.02,8.03,69.26,54.44,49.2,93.92,True,,,,,2
62.73,4.25,65.05,100.0,81.04,240.33,True,,,,,1
76.56,11.42,73.61,86.33,48.43,157.83,False,,,,,0
69.08,10.42,65.82,85.48,0.0,143.77,True,,,,,1
57.19,9.92,63.62,68.24,55.89,157.63,False,,,,,0
63.65,11.94,59.85,74.63,51.83,187.87,True,,,,,1
58.86,11.11,76.96,33.65,100.0,40.72,True,,,,,0
95.46,6.18,73.78,100.0,64.32,205.03,False,,,,,0
47.45,3.0,85.78,28.83,65.53,256.66,False,,,,,0
40.61,7.98,64.92,100.0,52.74,56.54,False,,,,,0
80.09,12.62,95.96,82.08,57.32,328.74,False,,,,,0
54.32,2.19,75.37,71.49,61.5,254.46,True,,,,,1
46.02,10.1,66.02,94.49,17.16,61.53,False,,,,,0
83.78,6.95,74.6,100.0,82.22,189.19,False,,,,,0
59.01,8.39,73.03,80.15,47.53,106.74,False,,,,,0
55.55,5.07,62.49,42.42,65.55,245.09,True,,,,,2
47.2,19.21,61.41,45.66,16.67,158.51,False,,,,,0
58.06,10.84,84.36,56.26,22.26,227.71,False,,,,,0
70.16,6.01,86.29,81.6,100.0,78.36,False,,,,,0
81.73,10.87,92.29,61.19,15.06,197.94,False,,,,,0
51.21,13.75,60.68,46.44,51.35,223.79,True,,,,,1
67.92,9.43,78.76,80.48,60.26,229.72,False,,,,,0
76.97,12.03,69.97,99.65,73.6,142.82,False,,,,,0
54.35,-2.11,68.07,39.81,60.78,249.21,False,,,,,0
37.58,15.99,72.62,56.47,27.87,131.4,False,,,,,0
83.02,16.62,74.03,67.15,61.98,39.73,True,,,,,0
48.49,7.6,91.12,79.97,61.05,142.28,False,,,,,0
54.71,4.36,65.32,73.34,98.69,115.33,True,,,,,0
56.65,10.29,54.61,78.61,74.37,163.69,False,,,,,0
56.16,7.41,62.05,49.43,70.25,212.76,True,,,,,0
55.65,8.96,81.53,78.2,70.12,223.49,False,,,,,0
42.79,8.72,53.99,71.51,61.84,155.05,True,,,,,2
74.5,12.01,85.67,68.1,5.35,191.31,False,,,,,0
64.86,13.14,79.29,23.7,39.3,206.51,True,,,,,1
50.61,13.54,78.63,51.37,93.53,-60.2,False,,,,,0
54.36,18.43,86.99,67.28,13.56,137.05,False,,,,,0
78.88,4.41,71.95,79.58,27.49,19.98,False,,,,,0
77.03,17.01,65.62,52.25,78.87,57.38,False,,,,,0
61.0,9.6,67.03,94.41,100.0,41.75,False,,,,,0
31.38,18.69,73.98,63.69,58.02,117.86,False,,,,,0
51.73,16.18,75.21,33.82,29.8,258.2,True,,,,,2
38.55,4.5,85.27,72.21,100.0,138.29,False,,,,,0
56.52,6.64,76.92,83.48,76.83,181.13,False,,,,,0
66.69,3.54,67.81,68.92,51.92,97.71,False,,,,,0
65.96,16.3,80.42,78.21,67.24,145.75,False,,,,,0
56.82,6.8,81.45,100.0,87.82,64.9,True,,,,,3
36.84,6.79,65.73,93.36,50.67,109.78,True,,,,,0
75.17,8.57,63.27,86.02,48.93,336.19,True,,,,,3
73.88,7.21,63.4,63.73,100.0,184.81,False,,,,,0
43.0,12.79,77.96,52.85,47.52,-15.46,False,,,,,0
76.45,11.21,84.97,91.38,47.18,173.79,False,,,,,0
70.83,12.11,70.46,53.02,67.92,159.5,True,,,,,1
90.55,16.22,63.9,93.0,61.64,117.96,True,,,,,2
44.53,3.92,69.83,61.63,36.53,126.12,False,,,,,0
65.52,15.89,71.04,98.96,31.71,218.78,True,,,,,2
63.45,12.87,82.03,71.04,38.04,236.35,True,,,,,2
63.84,8.48,56.37,46.18,44.59,91.78,False,,,,,0
38.4,3.08,79.3,34.89,66.96,210.94,False,,,,,0
34.03,8.54,80.71,89.19,100.0,160.19,False,,,,,0
53.87,10.89,86.46,67.93,46.05,264.79,False,,,,,0
61.44,13.77,78.46,54.25,44.14,27.74,True,,,,,2
63.04,9.7,73.9,61.12,47.82,250.69,False,,,,,0
59.87,19.9,67.81,68.02,85.76,20.64,False,,,,,0
56.46,15.25,79.65,56.54,43.94,243.0,True,,,,,1
37.73,6.0,67.29,80.27,70.81,196.76,False,,,,,0
37.83,2.01,81.44,77.22,46.57,202.18,False,,,,,0
67.23,1.73,56.66,8.99,57.08,104.59,False,,,,,0
67.34,12.73,91.12,78.26,100.0,108.85,False,,,,,0
21.68,10.25,73.12,80.99,63.5,216.95,False,,,,,0
58.5,12.43,73.47,57.97,80.61,291.11,False,,,,,0
96.57,23.02,88.27,48.45,59.2,116.35,False,,,,,0
52.11,14.79,88.64,64.0,56.59,9.51,True,,,,,3
56.99,13.39,80.56,70.63,26.17,116.34,True,,,,,2
54.92,13.88,61.78,78.26,72.59,137.22,True,,,,,2
61.92,4.65,79.62,70.98,61.67,173.84,True,,,,,4
52.69,11.44,72.23,65.52,48.66,75.58,False,,,,,0
58.51,14.61,67.07,87.75,78.89,140.12,False,,,,,0
44.01,6.4,57.77,100.0,59.99,132.32,False,,,,,0
70.41,18.1,76.15,70.45,19.1,205.84,False,,,,,0
13.18,18.78,83.24,75.29,38.74,299.31,False,,,,,0
72.7,14.34,84.91,100.0,12.92,85.42,False,,,,,0
64.99,10.47,63.51,91.17,93.99,245.44,False,,,,,0
77.24,2.9,81.98,68.72,87.13,204.41,False,,,,,0
79.04,12.76,77.58,65.24,72.0,281.97,True,,,,,1
59.61,13.16,82.72,88.09,58.94,106.26,False,,,,,0
52.09,11.65,59.47,48.23,59.8,198.34,True,,,,,1
78.91,14.22,78.49,69.95,64.62,164.56,False,,,,,0
59.13,5.73,65.25,43.65,46.1,242.04,True,,,,,1
57.31,10.31,60.79,80.15,60.01,202.43,True,,,,,2
81.66,8.27,77.68,80.3,39.08,121.35,True,,,,,0
71.49,4.88,68.78,82.16,80.89,223.84,False,,,,,0
66.28,6.73,79.02,65.41,57.93,79.56,False,,,,,0
53.42,23.35,69.97,87.2,72.66,141.32,False,,,,,0
79.29,9.9,63.52,77.94,70.04,202.4,False,,,,,0
69.56,8.94,61.68,30.88,88.43,165.72,False,,,,,0
63.55,15.61,73.37,54.22,47.16,204.86,True,,,,,2
53.21,12.11,67.67,65.28,70.6,202.86,False,,,,,0
66.19,10.63,72.64,70.2,68.24,254.05,False,,,,,0
34.55,7.03,79.42,61.59,74.67,43.71,False,,,,,0
62.19,15.14,51.48,93.79,53.24,214.23,False,,,,,0
67.1,16.79,54.88,84.61,61.06,179.07,False,,,,,0
77.37,6.01,63.04,88.85,79.89,139.72,False,,,,,0
64.05,11.09,76.59,61.04,90.53,123.77,False,,,,,0
55.43,10.15,75.84,75.02,100.0,92.08,True,,,,,1
59.53,11.91,91.39,49.75,58.07,-108.81,False,,,,,0
67.63,10.4,67.76,67.65,58.17,124.07,False,,,,,0
68.82,24.29,78.87,81.04,69.75,53.14,False,,,,,0
57.62,13.26,87.25,69.03,19.99,170.42,False,,,,,0
47.65,6.19,83.54,75.43,51.4,190.66,False,,,,,0
57.61,12.95,70.71,68.65,55.14,193.4,False,,,,,0
53.31,11.87,59.08,49.51,84.08,148.41,False,,,,,0
70.46,10.84,69.16,83.61,48.7,133.0,False,,,,,0
71.58,5.56,82.18,17.12,54.29,95.25,False,,,,,0
43.15,12.02,64.69,70.94,41.07,145.44,True,,,,,2
71.48,10.67,72.85,52.25,64.17,180.11,True,,,,,0
55.21,12.6,92.16,54.53,29.83,90.15,True,,,,,0
66.32,3.2,81.05,80.65,77.0,91.48,False,,,,,0
78.81,4.13,75.25,62.74,53.51,155.91,True,,,,,1
85.85,13.14,60.26,100.0,52.51,58.14,False,,,,,0
41.08,11.91,65.03,82.73,87.84,131.36,False,,,,,0
65.58,7.35,66.92,66.19,7.84,122.48,False,,,,,0
63.74,5.24,68.19,46.78,59.62,67.14,False,,,,,0
45.04,12.06,88.16,88.7,47.75,217.91,True,,,,,4
52.96,17.63,84.13,82.83,100.0,105.28,True,,,,,1
77.1,11.74,79.83,74.73,46.75,-6.77,False,,,,,0
58.87,13.38,93.3,79.63,85.51,147.4,True,,,,,3
61.81,5.2,81.49,77.51,100.0,81.83,False,,,,,0
63.68,6.28,88.98,78.08,44.5,88.59,False,,,,,0
68.93,9.3,75.65,63.52,87.91,246.89,True,,,,,2
73.4,3.62,74.6,69.29,62.8,128.73,False,,,,,0
44.76,7.75,74.92,85.16,39.25,56.81,True,,,,,3
72.57,13.76,71.9,98.88,11.07,75.26,False,,,,,0
64.56,11.39,84.02,100.0,87.65,172.65,True,,,,,4
75.33,10.82,75.71,59.98,0.0,152.6,False,,,,,0
72.86,16.56,97.36,54.62,74.01,223.19,False,,,,,0
59.02,15.79,90.0,53.16,33.9,129.29,True,,,,,1
36.03,5.67,78.87,68.03,69.85,193.37,False,,,,,0
59.25,12.59,66.61,39.49,71.39,-40.87,False,,,,,0
54.66,15.91,58.94,79.81,56.59,171.78,False,,,,,0
70.4,9.45,75.02,90.19,64.24,49.2,False,,,,,0
40.06,19.62,95.24,100.0,62.97,186.56,True,,,,,2
59.87,4.2,71.94,64.54,44.1,196.73,False,,,,,0
60.31,10.59,70.63,56.17,90.73,195.28,False,,,,,0
62.06,5.05,70.42,95.25,74.7,208.45,True,,,,,5
71.6,7.88,68.63,52.06,68.32,124.63,False,,,,,0
42.77,9.03,77.3,74.18,0.0,67.83,False,,,,,0
47.46,4.34,72.31,100.0,51.23,197.77,False,,,,,0
66.99,5.81,66.68,91.11,30.57,89.28,False,,,,,0
86.85,4.28,47.95,100.0,100.0,128.57,False,,,,,0
49.57,9.26,92.34,73.44,41.6,143.0,False,,,,,0
82.39,4.45,73.88,45.44,100.0,230.88,False,,,,,0
33.4,15.07,76.64,89.96,54.56,171.8,False,,,,,0
49.73,17.07,52.13,43.75,49.35,195.35,False,,,,,0
52.29,3.84,67.43,68.63,35.74,178.29,False,,,,,0
45.7,6.66,78.06,33.66,80.43,145.26,False,,,,,0
72.83,10.86,85.68,79.87,76.42,175.88,True,,,,,0
49.12,7.91,75.95,91.24,36.77,227.68,False,,,,,0
46.5,14.72,73.94,89.79,27.7,61.75,False,,,,,0
59.39,13.28,75.31,68.98,82.41,179.39,True,,,,,1
65.29,9.09,65.62,84.18,43.25,44.19,False,,,,,0
82.49,6.7,73.92,81.58,83.56,85.46,False,,,,,0
69.51,14.6,82.95,70.54,100.0,41.36,False,,,,,0
74.86,5.11,73.7,46.59,72.79,50.58,False,,,,,0
47.0,15.42,86.01,84.94,49.18,234.79,False,,,,,0
71.63,17.69,65.91,78.43,40.24,152.7,False,,,,,0
80.47,10.05,57.83,72.6,65.06,55.68,True,,,,,6
80.87,14.76,75.27,100.0,100.0,190.69,False,,,,,0
41.56,10.82,76.72,85.77,67.58,113.33,False,,,,,0
56.73,16.4,82.12,56.29,40.28,129.44,False,,,,,0
33.45,18.66,70.87,73.53,35.32,266.64,True,,,,,2
45.9,5.12,79.54,50.8,49.59,136.52,False,,,,,0
72.69,8.56,66.24,82.92,89.89,7.52,True,,,,,0
58.41,7.24,82.81,56.48,32.76,116.97,False,,,,,0
90.07,10.88,78.9,100.0,76.35,160.45,True,,,,,2
54.63,13.81,78.81,75.68,17.05,136.89,False,,,,,0
63.89,15.65,69.07,66.44,55.93,123.21,False,,,,,0
54.85,9.82,78.55,87.94,68.39,177.32,False,,,,,0
69.63,5.34,68.26,75.59,40.83,186.92,True,,,,,3
66.03,11.47,74.1,74.67,90.56,151.74,True,,,,,0
40.66,9.87,67.08,78.19,91.94,79.59,True,,,,,3
61.25,6.85,92.79,80.33,83.61,210.22,False,,,,,0
74.83,10.37,73.76,92.84,50.4,68.94,True,,,,,3
69.34,8.3,66.54,80.68,92.58,166.45,False,,,,,0
49.36,5.54,82.67,77.02,18.08,213.6,False,,,,,0
38.56,10.51,92.89,82.25,38.65,243.06,False,,,,,0
70.67,7.94,75.31,78.19,75.19,163.43,False,,,,,0
66.57,14.95,60.41,93.05,32.66,136.78,True,,,,,1
40.33,5.39,68.79,87.94,42.08,62.71,True,,,,,3
63.87,13.61,77.86,61.4,59.75,34.9,False,,,,,0
85.45,17.71,66.85,78.44,47.44,149.42,False,,,,,0
76.45,16.91,77.83,89.24,75.93,143.44,False,,,,,0
73.17,10.85,66.13,66.69,57.02,114.92,False,,,,,0
47.97,13.3,61.69,88.28,39.63,20.59,False,,,,,0
54.6,5.54,75.95,51.55,69.14,111.68,False,,,,,0
66.6,15.03,61.84,55.55,87.06,187.36,False,,,,,0
81.53,17.59,80.76,60.93,86.49,137.1,True,,,,,0
27.09,9.56,68.03,89.48,68.75,203.62,True,,,,,4
51.9,8.01,71.86,100.0,90.32,204.11,True,,,,,1
61.52,6.93,73.2,72.41,100.0,89.85,True,,,,,0
40.06,14.21,65.97,53.36,76.74,342.73,True,,,,,3
26.36,5.28,76.08,100.0,64.02,118.37,True,,,,,1
76.74,7.31,77.34,87.95,59.9,152.42,False,,,,,0
56.42,4.93,70.31,100.0,78.11,162.42,True,,,,,4
75.1,10.6,76.63,78.19,71.84,154.69,False,,,,,0
73.03,6.25,69.24,80.9,87.91,184.29,False,,,,,0
69.52,8.97,73.59,100.0,86.82,106.86,False,,,,,0
41.25,8.65,63.43,76.1,67.64,123.82,False,,,,,0
35.84,10.83,86.32,41.88,84.45,27.81,False,,,,,0
31.28,6.34,76.99,63.29,49.73,-62.42,False,,,,,0
66.82,10.36,77.79,66.65,33.85,126.23,False,,,,,0
61.5,6.27,54.83,64.45,89.73,134.79,False,,,,,0
54.47,6.48,45.03,44.73,41.91,248.42,False,,,,,0
56.54,16.65,94.48,26.96,100.0,128.96,False,,,,,0
71.54,8.69,69.01,57.0,46.54,227.16,False,,,,,0
73.32,10.95,68.94,59.21,35.33,123.92,True,,,,,5
17.36,18.37,75.1,75.57,62.2,152.93,False,,,,,0
73.7,7.52,63.69,88.3,81.23,165.2,False,,,,,0
42.7,-4.93,76.53,75.62,16.46,154.04,False,,,,,0
58.12,10.98,78.06,65.43,73.62,74.41,False,,,,,0
70.34,7.78,55.88,29.75,46.21,210.58,False,,,,,0
64.7,12.54,80.24,100.0,76.49,139.53,False,,,,,0
