Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
58.53,21.14,71.56,57.71,89.92,122.51,False,,,,,0
59.93,7.24,68.64,71.31,71.9,39.98,True,,,,,1
31.05,11.97,79.0,85.1,73.9,-35.37,False,,,,,0
68.1,5.9,82.06,71.85,97.41,128.5,False,,,,,0
57.86,8.94,79.47,88.95,63.97,143.74,False,,,,,0
48.26,8.67,65.36,40.58,54.69,199.99,True,,,,,1
53.96,7.48,61.53,86.24,53.48,138.38,False,,,,,0
38.23,13.52,83.41,100.0,66.42,100.38,True,,,,,0
69.36,12.07,68.02,68.54,11.14,83.3,False,,,,,0
49.99,16.81,79.46,64.26,92.17,126.08,False,,,,,0
86.85,12.78,80.78,73.43,92.64,359.64,True,,,,,3
57.23,13.57,78.9,48.27,90.64,93.73,True,,,,,3
60.08,4.63,83.55,65.22,66.8,140.04,True,,,,,1
56.19,4.78,79.81,76.56,31.5,152.83,False,,,,,0
49.65,8.03,78.31,62.28,5.85,92.35,True,,,,,3
50.11,12.14,79.54,96.33,76.62,125.95,True,,,,,1
49.36,13.08,67.96,95.99,20.82,158.31,False,,,,,0
89.68,6.14,77.78,41.34,77.76,278.04,False,,,,,0
58.77,13.62,60.75,74.66,77.32,76.2,False,,,,,0
53.33,6.52,68.59,100.0,45.04,24.57,False,,,,,0
55.57,14.89,65.2,81.69,45.67,228.29,False,,,,,0
67.61,9.46,62.85,64.14,35.67,158.08,True,,,,,0
51.3,8.43,87.15,63.64,5.49,256.97,True,,,,,5
72.94,0.01,64.34,82.68,64.16,53.78,False,,,,,0
27.51,6.08,87.01,56.78,78.34,58.6,False,,,,,0
101.61,15.24,85.8,61.51,80.25,183.98,False,,,,,0
63.66,17.9,81.68,94.83,90.88,216.65,False,,,,,0
71.29,14.13,86.27,57.01,89.7,174.38,False,,,,,0
80.4,9.9,68.41,83.92,88.57,123.27,False,,,,,0
67.07,9.92,68.17,63.46,67.47,196.33,False,,,,,0
41.94,6.77,68.67,52.93,85.19,54.92,False,,,,,0
70.36,12.05,98.35,37.95,90.15,242.26,True,,,,,4
48.78,5.42,68.62,83.95,87.38,183.73,False,,,,,0
63.28,8.97,73.79,84.14,81.82,81.48,True,,,,,2
76.67,7.47,76.53,52.42,38.53,182.81,True,,,,,1
71.38,13.73,80.16,66.3,60.91,230.1,False,,,,,0
57.79,18.12,62.93,36.06,52.34,77.18,True,,,,,1
41.62,2.63,65.94,95.73,100.0,186.97,False,,,,,0
66.36,10.73,78.27,63.07,31.84,239.82,False,,,,,0
70.49,19.18,90.52,57.55,84.49,162.05,False,,,,,0
60.61,3.87,57.09,59.84,52.45,267.44,True,,,,,0
57.47,9.36,63.41,64.59,76.24,153.28,False,,,,,0
56.78,6.58,55.76,83.48,77.5,203.53,False,,,,,0
82.04,17.68,87.44,43.86,71.88,271.57,False,,,,,0
89.83,5.5,80.05,83.38,83.68,241.94,False,,,,,0
51.6,16.9,98.8,79.45,100.0,125.73,True,,,,,1
61.91,14.17,66.96,59.16,90.36,229.57,True,,,,,0
53.07,2.65,66.46,62.36,59.64,120.64,True,,,,,2
66.73,18.89,75.78,53.99,70.17,169.54,False,,,,,0
55.39,8.79,72.53,64.16,75.79,180.45,False,,,,,0
52.25,5.53,79.31,32.9,86.81,72.57,False,,,,,0
64.81,21.46,71.87,71.97,51.34,182.22,False,,,,,0
84.19,6.84,68.96,68.67,42.42,214.31,False,,,,,0
42.54,10.08,69.33,66.15,47.61,-8.1,True,,,,,1
54.22,2.36,71.16,49.54,37.03,113.64,False,,,,,0
54.47,15.83,91.12,80.61,62.98,-54.97,False,,,,,0
31.89,5.83,75.43,98.3,100.0,136.94,False,,,,,0
79.0,4.03,81.78,55.11,100.0,221.11,False,,,,,0
58.96,3.6,90.08,61.45,73.57,105.88,False,,,,,0
49.1,9.37,65.25,63.08,28.48,92.79,True,,,,,4
90.08,14.68,75.88,85.14,40.34,316.75,False,,,,,0
72.92,4.99,58.85,91.62,91.1,115.02,False,,,,,0
66.41,9.1,68.81,75.79,100.0,326.33,True,,,,,0
65.44,14.5,72.76,100.0,59.99,173.37,False,,,,,0
66.09,6.48,86.0,65.65,62.29,184.69,True,,,,,3
60.06,12.69,65.49,64.84,28.69,249.9,False,,,,,0
48.27,13.17,77.01,80.39,39.97,208.98,True,,,,,2
61.45,12.09,82.99,70.87,100.0,193.44,False,,,,,0
34.86,14.39,67.8,64.89,36.9,212.87,False,,,,,0
45.44,12.2,87.04,88.0,86.27,185.94,True,,,,,2
75.53,11.06,72.36,48.94,44.02,183.49,False,,,,,0
60.69,16.09,91.33,76.09,44.06,87.22,False,,,,,0
78.18,6.1,80.3,65.17,100.0,248.91,False,,,,,0
44.93,8.99,80.23,84.1,59.48,238.74,True,,,,,0
62.1,6.95,62.16,51.49,93.97,220.73,False,,,,,0
97.18,13.4,64.99,73.98,62.09,272.16,False,,,,,0
54.88,13.53,77.07,64.33,41.54,152.87,False,,,,,0
92.07,17.89,75.43,73.76,48.92,100.92,True,,,,,2
68.85,2.2,46.97,100.0,68.03,194.25,False,,,,,0
57.03,11.85,78.23,73.67,48.02,84.96,False,,,,,0
64.98,8.56,83.94,31.06,100.0,238.03,False,,,,,0
84.59,8.38,80.61,100.0,38.78,175.76,True,,,,,1
44.88,6.34,70.54,100.0,30.72,-14.99,True,,,,,3
55.58,5.04,77.41,86.39,69.85,53.26,False,,,,,0
39.41,12.62,72.62,34.87,70.21,208.9,True,,,,,2
52.12,1.67,83.72,82.32,100.0,170.59,False,,,,,0
63.86,10.67,73.24,65.79,97.67,166.78,False,,,,,0
84.9,6.46,88.86,66.6,71.85,305.41,True,,,,,1
63.25,5.1,81.86,44.03,84.89,252.22,False,,,,,0
40.65,5.94,78.43,51.74,100.0,37.21,True,,,,,5
67.97,11.68,67.13,100.0,58.81,69.33,False,,,,,0
74.27,2.31,79.17,75.89,74.25,101.62,False,,,,,0
26.9,16.08,57.7,74.32,80.63,208.63,True,,,,,3
58.73,9.41,76.37,100.0,68.29,115.79,False,,,,,0
60.58,6.77,73.77,88.62,71.32,99.72,False,,,,,0
52.62,12.71,66.46,77.57,100.0,35.04,True,,,,,3
79.66,12.63,64.8,46.11,62.74,58.61,False,,,,,0
50.07,-1.41,82.39,62.36,84.96,162.4,False,,,,,0
64.96,10.72,74.14,39.9,100.0,242.06,True,,,,,4
67.65,11.5,48.59,61.02,33.56,12.96,False,,,,,0
88.12,8.76,86.55,94.03,80.44,57.51,True,,,,,2
43.71,2.6,64.53,47.94,100.0,313.84,True,,,,,6
38.6,10.19,66.64,58.38,77.7,159.83,False,,,,,0
73.6,10.41,90.7,100.0,20.43,203.62,False,,,,,0
49.68,5.4,91.34,66.24,31.48,157.73,False,,,,,0
36.92,7.13,69.19,43.49,20.12,228.21,False,,,,,0
59.53,0.18,76.93,77.2,53.78,180.23,True,,,,,0
55.7,12.77,73.81,70.18,77.02,149.34,False,,,,,0
55.34,16.23,62.49,29.9,43.52,200.25,True,,,,,4
40.88,9.31,78.25,64.52,42.74,273.74,False,,,,,0
85.15,7.71,83.89,60.66,100.0,172.24,False,,,,,0
43.36,8.0,62.84,72.23,57.43,146.95,False,,,,,0
73.55,12.45,68.53,58.27,40.25,236.67,False,,,,,0
52.88,12.94,73.22,73.65,75.38,180.12,True,,,,,2
64.86,10.84,65.3,40.62,24.66,112.13,True,,,,,1
42.75,15.57,62.85,63.2,62.57,183.78,False,,,,,0
78.28,11.29,89.03,59.69,35.69,201.28,True,,,,,1
70.64,9.03,83.01,52.06,61.37,311.96,False,,,,,0
64.25,11.98,72.5,61.13,82.49,156.25,False,,,,,0
72.61,17.74,66.43,89.51,0.0,88.85,True,,,,,1
68.43,13.94,86.04,69.78,78.66,165.81,True,,,,,4
74.73,13.47,74.95,69.82,44.41,209.19,True,,,,,0
69.75,13.28,65.76,46.86,52.14,106.54,False,,,,,0
