Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
49.58,5.36,90.36,81.83,96.0,117.46,True,,,,455.35,1
74.66,8.73,84.05,65.67,82.62,107.26,False,,,,476.5,0
79.82,11.52,64.78,80.81,87.47,180.11,True,,,,398.31,0
52.36,11.62,91.68,71.23,64.47,61.94,True,,,,428.42,3
56.32,3.92,59.13,55.97,71.62,182.32,False,,,,517.97,0
56.91,3.84,70.47,100.0,91.72,210.71,True,,,,531.6,1
58.95,12.26,50.33,91.4,85.67,160.7,True,,,,451.32,1
62.67,11.26,83.67,77.33,31.62,94.64,False,,,,662.83,0
73.38,-1.14,90.67,71.99,98.25,230.13,False,,,,487.83,0
62.26,7.48,56.39,77.06,47.01,173.64,False,,,,390.07,0
69.65,-8.07,95.67,42.1,31.23,89.76,True,,,,451.77,2
51.94,6.32,45.72,60.02,18.53,308.99,False,,,,549.26,0
64.09,22.38,65.17,68.6,0.0,199.02,True,,,,494.73,1
60.35,3.33,96.47,82.73,0.38,171.85,False,,,,456.55,0
83.44,8.29,60.08,47.45,32.39,147.77,False,,,,515.82,0
40.6,15.73,74.85,100.0,24.97,176.41,False,,,,513.06,0
51.64,10.28,82.38,69.28,76.95,123.22,False,,,,365.68,0
67.39,9.6,81.82,85.19,70.35,200.8,False,,,,413.41,0
55.57,15.52,51.63,64.55,73.68,211.18,False,,,,464.47,0
77.77,0.87,67.4,68.49,14.77,135.13,True,,,,480.68,1
76.37,3.14,65.0,90.32,61.51,68.12,False,,,,551.1,0
73.9,6.89,84.28,86.85,47.9,289.12,False,,,,510.68,0
49.95,6.64,62.35,37.44,37.26,191.3,False,,,,481.22,0
44.49,9.72,85.82,83.24,52.5,159.74,False,,,,526.36,0
64.52,11.47,74.93,61.55,76.53,275.59,True,,,,482.49,0
73.98,7.93,63.62,75.05,50.8,-23.25,False,,,,577.2,0
64.58,12.28,62.42,32.12,36.95,99.13,False,,,,417.02,0
43.72,14.12,63.25,72.64,39.28,272.07,True,,,,504.01,0
49.49,8.54,57.07,46.43,68.18,87.6,False,,,,494.86,0
48.41,10.0,69.03,83.96,82.99,178.25,True,,,,519.08,1
36.89,3.84,91.46,86.33,64.87,145.68,False,,,,590.11,0
80.94,9.61,73.95,48.65,100.0,73.82,False,,,,500.39,0
53.36,6.76,74.39,100.0,57.65,163.72,False,,,,482.99,0
39.11,13.3,82.03,71.49,58.08,107.12,False,,,,553.54,0
47.39,12.68,66.15,100.0,48.13,217.68,False,,,,448.29,0
50.93,17.2,80.21,66.07,97.44,147.65,False,,,,434.32,0
65.45,12.25,81.63,48.09,81.01,136.79,False,,,,553.07,0
60.26,15.08,85.73,64.87,71.58,126.32,False,,,,457.96,0
50.41,9.66,73.71,62.57,77.65,111.34,False,,,,577.0,0
56.99,12.15,63.79,80.81,82.3,108.39,False,,,,512.94,0
33.1,6.26,68.95,37.28,70.11,195.35,True,,,,500.9,3
72.65,8.78,64.57,77.07,93.09,141.61,False,,,,425.76,0
48.08,-1.45,55.97,57.05,41.09,168.52,False,,,,451.11,0
50.59,8.69,80.72,98.52,86.76,174.01,False,,,,543.91,0
61.25,7.78,84.82,85.23,74.35,118.6,False,,,,451.04,0
71.1,12.99,60.79,54.86,27.87,136.58,False,,,,469.86,0
92.28,18.49,69.61,69.27,67.66,226.64,False,,,,490.34,0
61.09,4.55,74.38,88.85,50.6,200.79,False,,,,428.29,0
67.55,9.66,73.93,67.36,98.5,90.92,True,,,,519.16,1
52.32,16.11,81.44,52.33,77.35,123.84,True,,,,500.08,3
49.79,14.21,59.95,60.17,62.7,194.67,False,,,,486.2,0
47.08,8.36,68.8,91.87,33.31,190.76,False,,,,501.24,0
90.42,7.59,61.66,49.88,86.3,156.09,False,,,,494.78,0
49.69,7.16,65.63,100.0,28.17,99.11,False,,,,518.74,0
59.27,7.76,76.68,70.82,22.7,175.29,False,,,,459.37,0
47.63,14.86,64.36,47.55,92.53,207.08,False,,,,475.61,0
24.18,10.18,77.94,48.78,53.15,249.26,False,,,,571.02,0
82.5,13.65,63.35,53.66,44.2,217.09,False,,,,426.23,0
49.08,15.28,85.24,35.29,63.82,147.13,True,,,,511.71,3
78.95,7.39,75.16,50.06,23.52,85.4,True,,,,514.66,4
61.04,7.42,67.54,66.74,77.22,236.74,False,,,,504.21,0
61.53,13.92,62.72,75.79,69.47,57.95,False,,,,424.76,0
35.19,18.51,69.29,93.76,76.74,99.69,False,,,,501.34,0
44.37,10.29,65.51,69.03,22.68,225.75,False,,,,447.8,0
50.49,14.1,86.6,53.98,98.76,182.1,False,,,,511.22,0
71.02,10.83,92.69,94.92,63.58,202.67,False,,,,456.21,0
60.3,11.01,75.58,29.56,60.43,-32.69,False,,,,539.38,0
40.07,16.65,72.3,36.88,34.29,195.81,True,,,,562.79,4
72.32,15.01,73.68,68.55,75.42,141.0,False,,,,409.64,0
52.27,11.71,74.95,51.34,56.56,99.95,False,,,,458.93,0
56.27,15.95,82.41,84.69,87.09,222.21,False,,,,444.77,0
53.06,15.6,76.34,51.58,76.85,142.12,False,,,,575.8,0
64.72,0.39,60.27,55.54,23.8,169.88,True,,,,567.99,4
86.49,5.45,65.01,45.48,78.77,19.1,True,,,,511.29,2
81.26,15.89,84.57,55.25,100.0,153.99,False,,,,457.93,0
70.75,5.78,72.4,53.29,93.4,48.36,True,,,,476.46,3
66.65,16.59,74.32,87.93,91.05,58.92,True,,,,494.29,3
62.85,6.0,69.59,83.76,29.49,50.56,False,,,,507.18,0
51.62,12.32,82.33,48.39,77.76,145.23,False,,,,543.77,0
55.49,8.79,76.71,65.42,23.41,231.44,False,,,,532.05,0
39.36,9.57,76.57,61.54,78.09,257.18,True,,,,444.28,3
44.85,3.45,88.7,35.35,52.46,29.54,False,,,,450.21,0
39.65,12.44,72.92,69.95,81.45,127.43,True,,,,465.23,2
74.94,9.01,63.66,72.59,100.0,246.89,False,,,,451.82,0
64.86,5.67,74.59,77.94,64.19,119.54,False,,,,475.57,0
46.93,7.82,79.75,63.49,94.96,184.61,False,,,,582.42,0
63.18,13.88,63.68,64.82,65.24,196.16,True,,,,447.28,1
44.55,9.26,84.96,64.01,82.79,147.42,True,,,,516.72,4
62.48,8.86,66.25,72.08,29.54,163.56,False,,,,481.21,0
73.44,5.69,76.58,46.87,51.35,129.85,False,,,,491.65,0
55.01,5.58,81.87,43.27,43.94,201.76,True,,,,443.7,2
52.86,8.2,77.27,49.29,19.84,128.34,False,,,,474.23,0
35.37,9.49,95.15,100.0,67.36,298.18,True,,,,443.43,1
55.98,3.0,79.0,100.0,68.33,204.61,False,,,,554.16,0
45.59,0.13,57.33,90.16,58.84,236.69,False,,,,549.09,0
62.55,9.16,76.31,62.93,85.35,244.47,False,,,,536.84,0
65.48,8.86,54.98,100.0,100.0,59.91,False,,,,504.91,0
76.2,12.3,81.93,41.96,49.41,101.82,False,,,,476.34,0
31.2,10.33,74.28,64.08,63.11,274.42,False,,,,452.92,0
81.11,10.83,80.51,45.46,100.0,153.28,False,,,,458.9,0
54.8,8.89,63.98,58.98,75.65,88.35,False,,,,574.9,0
62.0,17.36,70.78,78.03,12.05,201.76,False,,,,555.26,0
48.51,16.26,70.15,75.36,100.0,69.04,False,,,,484.59,0
56.33,14.13,71.29,49.72,68.54,100.92,False,,,,563.77,0
64.03,8.44,63.69,30.37,53.15,273.54,True,,,,629.0,1
42.54,4.64,75.5,94.61,59.13,204.89,False,,,,466.13,0
47.03,13.8,86.35,72.78,100.0,147.31,False,,,,515.2,0
