Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
56.66,10.8,73.45,55.47,57.42,187.6,True,,140.84,,,1
56.92,4.26,73.57,89.46,54.78,133.55,False,,112.11,,,0
59.16,8.04,82.83,55.53,36.41,233.23,False,,120.16,,,0
72.02,8.35,86.94,56.85,65.78,207.01,False,,113.15,,,0
70.25,10.54,75.97,55.29,72.39,177.27,True,,144.47,,,2
61.11,17.82,71.22,100.0,0.0,155.62,True,,130.05,,,2
26.13,11.14,74.89,98.27,61.47,228.95,True,,90.15,,,2
39.1,8.83,90.34,46.07,17.91,280.42,False,,122.77,,,0
37.08,6.51,96.41,51.15,51.05,167.57,False,,104.29,,,0
77.79,11.13,73.14,90.06,100.0,240.76,False,,136.5,,,0
75.79,5.25,74.79,72.05,69.81,-11.12,False,,99.68,,,0
57.25,14.43,71.67,68.57,52.88,149.8,False,,139.76,,,0
63.88,15.93,66.41,82.29,78.8,290.95,False,,139.56,,,0
56.17,6.19,88.86,72.25,78.59,272.4,False,,110.39,,,0
63.42,20.97,82.73,60.87,79.33,33.21,False,,166.4,,,0
39.85,13.01,81.94,60.52,100.0,127.35,True,,100.04,,,1
56.75,5.83,84.98,67.06,45.16,156.04,False,,96.63,,,0
67.33,12.12,60.31,61.33,100.0,182.65,True,,99.57,,,0
55.16,6.7,79.4,49.15,56.86,55.83,True,,117.17,,,2
66.2,8.83,91.74,61.81,40.99,137.83,False,,134.86,,,0
75.06,8.38,70.78,79.55,52.25,95.27,False,,118.79,,,0
58.75,2.87,71.15,63.34,99.54,27.6,True,,96.63,,,1
66.48,11.57,77.2,87.22,25.67,319.78,True,,123.83,,,1
64.02,8.16,56.37,67.57,80.0,175.43,False,,135.65,,,0
65.45,18.38,82.22,47.27,58.58,224.85,False,,97.83,,,0
65.56,16.0,79.12,89.74,33.8,173.6,False,,84.75,,,0
49.22,0.21,64.61,75.9,58.51,76.81,False,,113.81,,,0
64.25,11.06,82.74,45.08,22.24,166.06,False,,107.38,,,0
75.47,6.52,76.39,90.91,100.0,101.3,True,,153.74,,,5
59.48,7.37,60.18,19.99,60.12,166.93,True,,122.49,,,5
52.09,8.95,76.67,63.64,81.86,278.77,False,,111.84,,,0
98.3,20.81,78.87,93.81,65.28,240.93,False,,113.16,,,0
66.09,6.71,65.79,93.41,79.89,131.41,False,,136.55,,,0
58.45,10.24,71.85,100.0,11.47,78.68,False,,104.59,,,0
56.6,12.86,63.83,36.13,23.29,153.13,False,,113.92,,,0
60.24,7.75,81.25,61.22,64.0,208.56,True,,111.36,,,3
68.28,8.3,94.45,74.41,94.82,135.33,False,,116.39,,,0
48.01,8.35,52.62,91.73,87.99,252.07,False,,130.65,,,0
30.89,14.32,86.06,61.45,60.21,118.85,True,,126.36,,,2
41.04,6.33,63.66,36.45,100.0,85.02,False,,119.44,,,0
