Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
53.58,14.31,54.79,39.97,85.49,105.33,False,,,,,0
91.65,6.56,79.81,74.31,45.59,71.65,False,,,,,0
84.19,19.66,77.08,100.0,90.47,118.89,False,,,,,0
84.36,11.5,63.0,61.47,47.17,191.46,False,,,,,0
88.69,12.59,83.08,66.05,46.59,91.05,False,,,,,0
49.29,13.56,76.31,46.85,50.62,216.58,False,,,,,0
42.16,14.09,81.21,100.0,78.81,161.32,False,,,,,0
45.6,9.95,69.92,74.59,64.36,131.57,True,,,,,2
62.1,13.21,72.23,69.84,62.25,99.06,True,,,,,2
59.9,-3.1,75.88,28.11,44.84,72.06,False,,,,,0
35.27,7.78,62.78,89.93,65.03,138.98,True,,,,,0
60.33,15.13,86.35,57.57,55.5,198.27,False,,,,,0
69.32,3.56,84.77,70.28,69.29,262.5,True,,,,,1
51.06,15.28,95.3,73.28,75.87,192.28,False,,,,,0
53.63,14.36,80.78,56.94,32.83,303.87,False,,,,,0
80.09,7.17,83.73,92.63,69.92,249.84,False,,,,,0
67.53,15.37,86.06,66.46,36.23,68.88,False,,,,,0
48.0,15.68,92.07,79.25,64.67,120.78,False,,,,,0
49.3,12.23,63.67,64.9,63.87,134.15,False,,,,,0
58.29,9.95,87.14,46.82,73.0,103.8,True,,,,,2
37.31,16.47,68.99,83.69,53.9,234.85,False,,,,,0
50.97,9.62,84.68,52.81,35.56,258.19,False,,,,,0
25.19,3.74,103.73,81.73,15.69,-17.37,False,,,,,0
74.25,11.96,76.75,51.1,74.6,130.81,False,,,,,0
106.75,9.8,79.57,59.87,64.75,300.54,True,,,,,1
58.43,7.09,101.28,82.12,70.21,116.1,True,,,,,2
56.44,6.56,75.25,98.96,22.04,215.38,False,,,,,0
65.63,14.75,81.17,43.92,35.2,248.19,False,,,,,0
53.05,8.35,62.14,61.17,50.94,122.29,True,,,,,4
59.08,-1.04,65.09,64.37,47.18,226.34,False,,,,,0
63.34,18.55,72.76,65.35,23.7,225.8,True,,,,,2
55.55,12.03,75.85,61.35,68.65,204.75,True,,,,,1
75.85,13.22,63.69,70.66,6.45,35.54,True,,,,,4
63.97,4.63,69.03,61.19,17.51,125.85,False,,,,,0
94.19,15.3,76.2,77.56,56.11,167.02,False,,,,,0
51.77,5.13,76.92,63.84,65.65,109.75,False,,,,,0
77.91,11.94,71.19,92.26,21.7,211.6,True,,,,,1
54.7,9.44,73.28,92.09,97.53,119.82,True,,,,,3
81.4,5.74,84.01,100.0,63.87,87.45,True,,,,,2
46.37,6.4,66.09,82.53,45.56,173.71,False,,,,,0
66.57,19.53,73.97,77.07,62.61,84.67,False,,,,,0
29.16,3.68,86.55,82.81,86.94,258.47,True,,,,,2
62.2,7.05,76.08,89.34,57.02,125.41,True,,,,,4
83.87,10.38,76.29,59.71,89.93,226.68,False,,,,,0
55.62,7.26,61.82,99.31,26.4,69.89,False,,,,,0
58.59,20.73,69.75,61.89,30.88,160.88,False,,,,,0
71.17,2.47,76.59,58.93,17.04,87.01,False,,,,,0
82.87,11.7,65.09,70.87,19.32,165.95,False,,,,,0
40.73,10.2,102.93,40.59,49.77,205.72,True,,,,,0
63.87,5.85,55.48,70.15,53.11,55.83,False,,,,,0
59.32,0.32,78.78,72.28,67.81,162.06,False,,,,,0
51.79,12.77,71.78,93.53,76.01,241.84,False,,,,,0
76.68,12.49,64.79,73.73,81.63,137.36,True,,,,,2
74.4,6.36,60.73,76.39,64.01,311.9,True,,,,,4
