Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
73.43,12.78,83.72,36.76,68.74,84.95,True,,,,,2
45.51,8.27,77.87,61.88,37.33,192.68,True,,,,,2
56.26,6.17,74.28,82.15,47.15,160.34,True,,,,,2
40.44,14.45,74.14,52.79,48.84,249.37,False,,,,,0
72.89,15.21,86.33,60.0,63.51,-27.63,True,,,,,1
60.6,3.28,96.94,42.94,70.32,47.19,False,,,,,0
55.18,13.93,82.74,72.07,55.28,230.91,False,,,,,0
62.31,12.85,53.78,55.38,50.52,130.28,True,,,,,3
57.53,9.34,69.14,79.53,76.01,239.0,False,,,,,0
55.83,11.44,82.1,66.58,95.94,79.64,False,,,,,0
43.94,1.54,92.82,85.51,82.18,64.54,True,,,,,3
79.8,12.99,68.31,45.19,45.47,181.6,False,,,,,0
43.83,11.17,86.16,52.45,100.0,231.97,True,,,,,5
45.88,8.4,75.92,100.0,81.92,98.7,True,,,,,2
81.39,18.11,65.68,43.72,39.28,161.28,True,,,,,4
66.55,6.39,85.29,48.65,49.41,71.69,False,,,,,0
68.41,10.01,74.14,82.94,41.12,153.08,True,,,,,1
66.76,8.59,76.87,81.13,58.38,125.54,False,,,,,0
35.06,7.22,55.5,49.71,51.52,48.74,True,,,,,3
34.5,-4.52,80.9,92.27,59.55,195.09,False,,,,,0
61.23,14.14,81.55,59.7,57.25,114.8,False,,,,,0
47.46,17.23,72.18,34.84,36.91,187.41,False,,,,,0
44.19,7.65,89.77,84.98,57.44,315.28,True,,,,,1
72.84,11.36,74.44,92.78,53.25,125.99,False,,,,,0
44.26,10.58,59.7,65.64,83.62,150.99,False,,,,,0
77.32,15.87,80.5,62.52,100.0,203.02,False,,,,,0
66.58,8.95,78.74,43.27,43.6,55.95,False,,,,,0
44.81,5.08,79.44,60.83,40.74,280.65,False,,,,,0
51.12,6.49,92.02,45.41,67.99,235.82,False,,,,,0
77.48,9.96,82.24,85.69,91.92,109.33,False,,,,,0
67.35,15.67,65.91,99.68,50.64,190.03,False,,,,,0
79.61,17.27,80.12,77.59,95.95,79.69,False,,,,,0
67.74,13.8,46.1,65.52,26.13,158.1,True,,,,,4
72.32,2.22,81.41,67.23,76.51,110.92,True,,,,,1
