Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
71.48,3.42,79.75,63.57,80.95,159.88,False,,,,,0
53.02,9.64,77.24,100.0,100.0,154.81,False,,,,,0
61.48,10.83,57.56,76.57,46.53,122.23,True,,,,,0
70.21,8.44,65.95,90.3,54.21,221.82,False,,,,,0
69.71,13.11,65.76,44.08,63.04,251.0,False,,,,,0
29.29,10.86,86.49,85.16,58.48,312.88,False,,,,,0
75.01,3.27,76.33,82.11,100.0,243.25,False,,,,,0
53.9,8.25,85.58,79.88,98.05,228.2,False,,,,,0
63.9,2.16,73.02,70.53,49.55,176.85,False,,,,,0
65.56,15.44,93.48,95.83,74.9,51.6,True,,,,,2
83.18,-2.26,60.08,84.43,61.59,191.33,False,,,,,0
59.5,13.67,69.77,44.76,64.2,151.71,False,,,,,0
63.25,16.85,80.27,44.72,41.15,113.46,False,,,,,0
71.62,11.52,78.07,62.5,37.22,93.42,False,,,,,0
68.48,9.08,80.37,99.98,78.28,20.34,True,,,,,3
64.77,9.81,70.76,79.84,53.28,29.94,False,,,,,0
44.21,12.66,80.33,44.6,60.39,83.73,False,,,,,0
60.76,16.85,87.71,99.62,100.0,126.89,True,,,,,0
62.66,5.11,73.8,44.69,50.65,241.84,False,,,,,0
25.74,15.34,77.03,30.93,100.0,-1.78,False,,,,,0
54.95,11.43,74.99,73.06,61.59,191.32,True,,,,,2
68.2,14.44,70.64,44.13,78.94,189.18,True,,,,,3
58.37,4.85,65.91,78.96,74.37,175.63,False,,,,,0
40.43,5.52,96.75,72.53,29.5,52.7,False,,,,,0
50.49,6.34,76.87,72.14,53.66,140.98,False,,,,,0
48.09,9.28,73.29,95.68,81.03,183.72,False,,,,,0
95.83,11.6,53.18,61.7,69.91,123.2,True,,,,,2
62.82,12.02,75.09,23.19,18.73,308.44,False,,,,,0
72.61,3.82,59.98,80.39,80.39,93.01,True,,,,,10
49.2,14.26,52.42,31.73,70.04,202.5,False,,,,,0
53.91,5.87,64.74,93.66,82.35,227.75,False,,,,,0
53.61,10.14,80.24,68.91,100.0,115.37,False,,,,,0
59.25,11.43,73.34,46.31,64.4,175.36,False,,,,,0
68.55,14.79,67.78,81.42,82.98,351.71,False,,,,,0
51.5,16.02,69.15,79.97,33.85,162.0,True,,,,,2
42.2,16.35,75.95,80.18,44.87,196.45,False,,,,,0
73.82,15.1,65.73,57.3,83.99,31.63,False,,,,,0
74.71,16.38,76.88,86.78,45.22,270.04,False,,,,,0
79.98,19.39,75.34,56.53,20.65,197.45,False,,,,,0
80.61,3.81,64.76,40.37,34.03,83.23,False,,,,,0
69.99,12.15,67.35,63.06,52.13,143.15,False,,,,,0
56.82,1.88,81.76,79.31,82.06,182.78,False,,,,,0
52.47,8.44,56.41,35.02,77.86,138.08,False,,,,,0
45.91,21.9,86.26,71.91,57.73,263.37,True,,,,,3
69.65,8.49,90.33,100.0,50.98,-11.42,False,,,,,0
65.67,5.71,67.31,19.14,84.64,192.56,False,,,,,0
75.39,4.16,83.23,100.0,100.0,113.93,False,,,,,0
46.69,12.96,64.17,30.07,100.0,17.32,False,,,,,0
63.33,23.02,65.57,77.85,49.9,195.43,False,,,,,0
23.45,14.72,68.11,36.33,70.04,200.15,True,,,,,5
57.27,14.53,82.33,57.34,91.86,272.24,True,,,,,3
85.43,3.86,64.06,73.02,72.65,78.21,True,,,,,1
66.99,11.14,73.63,78.13,58.95,119.95,False,,,,,0
54.26,13.8,79.49,61.3,42.59,273.31,False,,,,,0
