Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
52.6,11.59,86.59,76.4,53.2,203.13,False,,,,,0
58.5,10.68,71.45,89.04,32.31,177.78,True,,,,,3
61.46,21.07,84.3,73.51,37.72,217.43,True,,,,,3
59.93,5.98,73.4,59.93,100.0,163.18,False,,,,,0
69.91,13.9,60.76,79.68,31.31,123.86,False,,,,,0
41.38,15.8,66.43,72.4,89.29,177.43,False,,,,,0
64.24,14.46,76.83,56.05,51.79,240.22,True,,,,,5
71.9,18.11,64.6,66.88,14.41,73.63,False,,,,,0
75.47,7.77,89.75,59.78,62.35,204.59,False,,,,,0
50.55,18.36,75.47,59.13,85.94,38.49,False,,,,,0
60.87,11.58,62.76,45.83,50.78,253.93,False,,,,,0
59.49,5.91,94.52,62.25,64.63,160.73,False,,,,,0
65.18,11.3,69.27,47.49,58.84,-36.77,False,,,,,0
48.71,25.54,83.2,82.9,100.0,348.16,False,,,,,0
34.98,15.37,94.33,100.0,52.3,126.49,False,,,,,0
40.68,4.08,62.84,87.64,83.6,228.28,False,,,,,0
74.34,8.57,55.34,61.22,35.52,61.5,True,,,,,3
62.81,8.35,79.35,57.15,63.12,122.06,False,,,,,0
63.52,4.04,70.51,62.09,38.46,129.56,False,,,,,0
58.29,10.7,65.26,61.74,100.0,106.12,False,,,,,0
53.58,10.86,73.93,34.99,42.84,153.78,False,,,,,0
26.74,12.77,72.69,74.24,60.52,224.52,False,,,,,0
80.87,3.83,65.83,84.33,44.86,220.19,True,,,,,4
65.41,10.4,85.84,39.31,29.46,20.73,True,,,,,3
70.82,13.22,66.57,59.76,76.42,196.98,False,,,,,0
72.98,14.06,80.89,75.32,60.11,194.7,True,,,,,2
51.53,12.5,70.92,100.0,76.91,78.86,False,,,,,0
57.26,15.08,64.28,100.0,26.97,134.04,False,,,,,0
103.46,14.4,85.35,73.27,54.05,75.56,False,,,,,0
65.97,14.36,78.13,54.93,96.48,121.92,False,,,,,0
63.74,7.15,77.67,100.0,47.18,136.68,False,,,,,0
68.67,13.06,71.73,100.0,52.49,189.92,False,,,,,0
50.66,9.08,84.74,76.28,59.53,155.5,False,,,,,0
57.54,19.43,59.96,19.49,14.77,151.32,False,,,,,0
59.35,3.33,75.46,44.38,22.29,238.67,False,,,,,0
43.13,10.36,83.73,91.08,67.18,171.28,True,,,,,2
64.87,9.43,87.18,89.1,100.0,163.98,True,,,,,1
55.92,14.09,72.4,44.59,46.75,127.67,False,,,,,0
57.34,4.32,85.41,70.39,65.05,148.74,True,,,,,1
92.79,1.28,72.56,31.63,67.09,7.95,True,,,,,4
65.27,4.38,67.03,61.68,100.0,27.76,True,,,,,2
45.54,7.04,100.63,64.64,80.63,324.56,False,,,,,0
68.23,2.67,62.78,100.0,69.09,221.41,False,,,,,0
70.91,17.53,70.64,28.0,53.67,233.79,False,,,,,0
61.02,16.81,79.6,100.0,37.79,117.78,False,,,,,0
49.06,4.61,70.47,63.05,91.42,59.51,False,,,,,0
72.77,6.77,80.29,69.62,99.94,135.25,True,,,,,1
83.22,8.05,91.84,53.52,38.67,262.58,True,,,,,3
50.38,14.98,66.33,73.24,80.23,144.02,False,,,,,0
47.58,28.16,95.83,93.55,76.95,182.66,False,,,,,0
81.58,10.29,75.9,54.82,78.09,-24.86,False,,,,,0
61.38,8.55,77.97,83.02,88.81,36.07,False,,,,,0
40.98,10.69,87.11,66.45,91.6,99.99,True,,,,,2
72.47,18.01,69.11,86.98,47.51,96.11,False,,,,,0
49.69,11.33,71.73,82.51,71.64,105.0,False,,,,,0
51.21,2.56,83.76,44.84,86.01,163.06,False,,,,,0
60.41,10.82,88.68,63.59,97.46,66.2,False,,,,,0
58.82,21.39,75.87,85.05,51.48,138.79,False,,,,,0
48.52,10.68,78.41,74.56,78.74,101.7,False,,,,,0
22.68,8.96,88.16,77.87,29.1,191.57,False,,,,,0
62.57,14.98,81.19,60.45,34.02,92.88,False,,,,,0
68.26,8.31,76.25,100.0,72.24,186.19,False,,,,,0
78.35,2.74,78.28,38.62,100.0,221.29,False,,,,,0
60.69,3.04,77.87,57.8,90.22,179.85,True,,,,,0
53.36,8.01,84.01,74.86,74.58,137.36,False,,,,,0
52.76,14.33,63.55,68.52,28.37,242.0,False,,,,,0
54.9,5.2,83.29,68.03,76.61,192.96,False,,,,,0
74.49,19.48,63.36,54.7,50.0,149.1,False,,,,,0
42.72,9.18,83.82,54.08,83.12,-18.07,False,,,,,0
75.84,10.89,63.97,71.16,52.88,191.0,False,,,,,0
30.05,18.1,51.64,85.08,64.87,84.78,False,,,,,0
51.21,15.86,86.28,59.66,41.31,329.56,True,,,,,2
72.82,7.81,76.26,64.9,76.39,51.14,False,,,,,0
61.12,-0.2,49.4,72.6,92.25,270.79,True,,,,,1
76.6,4.66,78.06,46.89,56.41,168.7,False,,,,,0
36.59,12.06,73.78,46.16,86.0,223.6,False,,,,,0
64.79,6.56,58.69,72.04,45.78,268.42,False,,,,,0
61.12,6.05,66.51,60.71,20.2,149.48,False,,,,,0
55.01,13.24,75.05,75.59,76.1,67.76,True,,,,,3
83.31,7.2,76.14,62.66,96.2,129.95,False,,,,,0
61.48,7.94,81.46,59.14,63.81,51.32,False,,,,,0
94.22,10.33,75.8,70.9,83.35,200.32,True,,,,,3
59.31,3.06,75.95,76.06,43.14,156.28,False,,,,,0
81.9,11.58,65.85,97.1,47.49,311.42,False,,,,,0
56.32,8.89,87.06,17.34,84.37,287.17,False,,,,,0
47.7,9.78,80.9,57.63,69.21,160.63,True,,,,,0
56.51,18.09,73.66,71.98,73.66,207.98,True,,,,,1
55.22,15.32,68.14,100.0,66.15,344.16,False,,,,,0
55.76,17.5,86.03,58.93,57.18,140.49,False,,,,,0
65.09,7.69,65.51,82.28,64.97,90.07,False,,,,,0
79.06,4.72,75.66,68.83,96.02,58.98,False,,,,,0
74.89,12.84,72.5,57.09,55.34,250.24,False,,,,,0
55.48,-3.41,68.04,55.81,69.98,204.1,False,,,,,0
70.03,14.97,68.98,74.0,33.88,140.78,False,,,,,0
52.65,16.01,72.82,72.91,80.86,82.02,True,,,,,3
47.98,2.39,69.97,80.75,66.14,195.95,False,,,,,0
47.12,7.56,86.95,49.96,77.29,160.59,False,,,,,0
54.52,5.87,55.13,57.97,61.93,259.38,False,,,,,0
38.91,11.23,87.32,64.89,53.88,144.31,True,,,,,1
49.79,16.07,63.77,67.55,50.24,197.54,True,,,,,4
45.59,12.24,83.66,47.76,32.9,228.21,True,,,,,4
43.94,1.52,65.06,61.44,77.14,55.25,False,,,,,0
52.89,13.39,81.91,94.91,63.61,214.98,True,,,,,1
68.09,13.66,83.36,43.85,48.69,87.08,False,,,,,0
66.69,16.82,82.76,79.29,83.56,-4.35,False,,,,,0
61.32,7.45,56.67,53.02,71.02,64.95,False,,,,,0
50.16,10.9,83.74,31.74,90.48,46.37,False,,,,,0
81.05,5.39,67.76,85.28,42.15,144.22,True,,,,,2
44.99,15.7,74.81,78.79,74.67,235.83,False,,,,,0
63.35,9.5,56.01,100.0,41.29,203.1,False,,,,,0
50.85,8.56,70.31,64.72,55.74,224.4,False,,,,,0
41.39,6.81,80.18,80.78,100.0,93.32,False,,,,,0
67.65,7.42,76.18,73.7,65.12,265.16,True,,,,,2
71.63,11.59,62.34,45.84,100.0,182.36,False,,,,,0
70.37,11.03,77.72,82.74,61.62,233.54,False,,,,,0
60.51,5.03,54.85,60.91,83.04,86.08,False,,,,,0
48.39,4.69,90.38,48.72,91.0,143.42,False,,,,,0
58.56,10.59,75.89,57.22,69.86,111.3,False,,,,,0
54.36,19.14,57.42,100.0,44.44,120.6,True,,,,,3
48.16,5.21,84.96,98.59,68.47,229.9,False,,,,,0
64.99,16.74,93.94,35.47,68.5,164.37,True,,,,,4
79.68,11.88,72.66,62.07,62.01,62.86,False,,,,,0
52.75,8.25,80.87,87.46,36.44,170.36,False,,,,,0
57.76,16.23,76.69,100.0,100.0,160.28,True,,,,,3
93.85,8.39,68.88,23.62,82.44,140.24,False,,,,,0
24.33,4.66,60.37,63.47,61.75,77.75,False,,,,,0
46.6,4.6,39.49,100.0,61.81,121.28,False,,,,,0
87.76,7.66,63.03,58.04,62.69,190.62,False,,,,,0
44.64,9.35,82.51,62.92,53.33,193.9,False,,,,,0
70.17,12.07,82.68,60.78,99.76,196.06,True,,,,,1
80.22,6.57,77.62,87.34,95.43,220.54,True,,,,,0
46.31,16.04,87.99,78.19,73.8,81.21,False,,,,,0
53.79,4.25,75.42,57.31,54.35,105.34,False,,,,,0
47.33,4.91,62.42,67.14,78.65,216.22,False,,,,,0
69.57,14.41,63.52,100.0,62.49,15.94,True,,,,,3
45.09,16.18,73.34,49.36,56.91,16.99,False,,,,,0
72.97,20.9,65.65,77.31,11.05,106.87,False,,,,,0
67.46,0.38,71.06,30.46,51.45,205.07,False,,,,,0
77.37,12.13,72.56,34.33,57.69,57.38,True,,,,,4
54.46,7.64,59.25,75.49,61.57,316.94,True,,,,,1
66.01,8.0,86.34,89.85,100.0,222.81,False,,,,,0
61.71,17.67,68.09,48.03,67.12,208.49,True,,,,,3
44.18,2.66,61.29,48.55,66.78,116.01,False,,,,,0
94.76,12.44,68.64,81.39,43.79,130.76,False,,,,,0
57.26,9.12,69.53,61.67,64.64,127.63,True,,,,,3
67.53,14.12,103.03,72.45,87.37,25.04,False,,,,,0
50.36,10.96,67.16,51.9,90.4,353.37,True,,,,,6
62.19,19.35,64.86,51.49,42.2,256.57,True,,,,,1
78.63,19.43,71.75,82.38,11.47,87.05,False,,,,,0
48.93,3.66,83.01,71.94,68.72,159.17,True,,,,,0
74.56,4.36,70.79,77.33,24.07,100.42,False,,,,,0
79.75,8.17,73.67,52.14,100.0,86.86,False,,,,,0
32.41,19.54,76.13,82.63,83.49,152.86,False,,,,,0
54.99,13.84,71.19,100.0,69.96,244.21,False,,,,,0
45.44,10.14,70.57,83.79,33.89,21.74,False,,,,,0
79.06,11.05,74.96,70.21,56.23,151.87,False,,,,,0
53.57,8.1,85.28,58.6,68.25,78.32,False,,,,,0
36.36,-0.29,86.6,53.31,51.24,208.76,False,,,,,0
40.59,12.2,84.86,100.0,49.01,230.43,True,,,,,2
31.75,8.78,53.41,86.76,19.26,154.54,True,,,,,0
63.35,15.38,59.94,82.86,83.47,219.1,True,,,,,2
73.72,18.43,71.66,77.96,72.42,171.94,False,,,,,0
57.05,10.57,84.24,56.61,47.1,204.79,True,,,,,2
39.48,10.63,99.6,77.84,88.94,106.52,False,,,,,0
70.75,13.35,57.99,73.13,58.28,114.29,True,,,,,3
69.03,12.86,79.26,81.88,20.78,191.26,False,,,,,0
54.98,11.63,54.79,64.07,6.57,18.71,False,,,,,0
11.74,11.88,64.64,43.27,59.42,124.07,False,,,,,0
31.22,14.72,74.82,57.91,81.73,139.11,False,,,,,0
54.81,4.84,62.57,71.84,71.22,121.86,False,,,,,0
63.11,10.3,84.55,15.1,55.59,406.33,False,,,,,0
67.16,8.23,81.01,81.54,39.52,-34.18,False,,,,,0
57.08,11.37,83.09,90.87,67.4,6.76,True,,,,,0
66.87,8.23,72.37,59.35,56.12,203.08,False,,,,,0
74.92,15.23,100.6,89.17,92.52,174.83,True,,,,,2
69.21,8.94,73.53,74.26,39.84,184.04,True,,,,,1
60.17,8.38,67.44,100.0,79.7,217.73,False,,,,,0
59.35,10.06,74.41,92.58,99.22,89.97,False,,,,,0
42.25,9.39,62.76,69.89,44.56,281.48,True,,,,,0
29.57,8.22,62.36,80.66,77.99,215.9,False,,,,,0
69.91,13.19,84.5,95.85,71.37,213.05,False,,,,,0
76.19,11.69,77.61,51.45,87.5,21.17,False,,,,,0
52.35,7.88,66.04,54.15,15.92,113.66,False,,,,,0
53.34,7.46,80.47,46.89,77.14,220.78,True,,,,,2
65.43,18.76,72.05,60.53,89.05,177.08,False,,,,,0
81.5,15.64,71.46,81.13,65.55,69.49,False,,,,,0
87.67,14.14,61.75,68.69,32.89,45.1,False,,,,,0
69.54,5.5,83.18,54.41,67.1,125.97,False,,,,,0
77.95,12.98,69.96,74.45,57.92,204.29,False,,,,,0
75.82,12.66,78.76,96.52,100.0,162.3,True,,,,,2
53.49,5.11,65.0,80.36,24.08,208.66,False,,,,,0
46.04,9.74,78.28,44.38,59.73,170.31,True,,,,,2
60.29,6.37,73.71,42.93,22.22,144.55,False,,,,,0
57.64,9.83,68.69,46.53,43.01,155.79,True,,,,,0
47.54,12.33,80.34,69.94,100.0,221.16,False,,,,,0
78.8,9.57,91.47,64.05,75.98,43.77,True,,,,,1
