Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
62.84,5.85,78.98,81.8,42.06,179.02,True,,,,,1
63.01,11.25,67.87,47.23,76.06,147.84,False,,,,,0
54.22,16.49,78.74,80.72,74.36,50.75,False,,,,,0
45.24,4.0,72.32,37.31,95.94,176.13,False,,,,,0
59.36,20.3,62.14,95.53,47.55,89.51,True,,,,,3
76.15,7.14,78.02,47.98,64.65,151.96,True,,,,,2
69.68,0.29,65.4,76.35,62.58,278.36,False,,,,,0
77.02,10.12,90.12,67.35,55.99,218.79,False,,,,,0
49.85,7.78,68.5,84.61,35.77,198.92,True,,,,,0
75.95,5.28,67.99,35.85,93.32,42.18,False,,,,,0
41.85,-0.34,54.17,30.58,100.0,81.62,False,,,,,0
49.75,9.16,69.1,84.66,93.59,181.02,False,,,,,0
56.64,4.51,62.52,64.14,68.61,165.27,False,,,,,0
73.84,13.97,79.23,77.49,32.96,136.11,False,,,,,0
76.58,15.9,96.76,93.81,47.7,306.23,False,,,,,0
44.28,11.99,87.95,81.51,49.42,109.26,False,,,,,0
55.54,13.95,55.12,55.87,67.58,253.76,False,,,,,0
27.35,18.28,74.1,55.69,100.0,273.42,False,,,,,0
79.48,12.04,89.11,93.24,40.15,89.19,False,,,,,0
64.92,10.63,58.57,70.17,62.86,232.67,False,,,,,0
56.58,14.62,65.44,89.17,73.31,146.54,False,,,,,0
64.73,8.06,71.28,73.11,57.02,139.24,False,,,,,0
50.36,11.51,74.21,97.27,2.25,41.24,False,,,,,0
52.9,17.12,96.4,68.21,6.56,206.44,True,,,,,0
42.19,-0.59,73.98,86.29,100.0,270.7,True,,,,,1
65.78,9.79,74.84,50.37,91.82,-0.09,False,,,,,0
58.57,3.04,71.17,58.77,77.91,113.21,True,,,,,1
52.89,9.73,90.63,97.96,27.55,88.27,True,,,,,1
58.52,15.9,75.77,43.58,63.99,80.48,False,,,,,0
39.89,13.6,76.84,61.39,92.66,78.47,False,,,,,0
62.69,11.9,69.27,87.13,58.5,67.24,True,,,,,2
41.52,10.51,66.47,70.65,97.54,140.67,False,,,,,0
63.78,11.8,82.75,77.3,80.06,133.76,True,,,,,2
80.47,18.84,72.96,86.12,82.58,213.04,False,,,,,0
44.37,6.24,80.1,61.98,82.35,261.75,True,,,,,1
43.48,14.26,74.62,100.0,56.17,249.21,False,,,,,0
94.33,12.57,88.75,74.59,92.39,233.53,False,,,,,0
79.23,11.8,72.42,73.25,54.16,137.6,False,,,,,0
59.22,3.07,92.17,64.75,65.65,-1.47,True,,,,,3
73.38,7.72,67.69,71.67,42.86,100.55,False,,,,,0
64.59,11.04,70.83,70.1,42.74,102.06,False,,,,,0
45.51,16.33,69.28,89.32,48.72,147.31,True,,,,,3
43.77,4.43,78.14,84.69,56.28,291.1,False,,,,,0
67.12,3.13,57.59,68.95,84.79,114.77,False,,,,,0
85.23,9.23,63.75,75.12,63.62,192.37,False,,,,,0
66.6,15.16,86.4,65.64,74.97,89.88,True,,,,,0
37.51,7.07,82.03,62.2,41.07,187.09,False,,,,,0
85.64,6.94,71.58,100.0,73.07,57.64,True,,,,,1
41.68,4.11,59.44,100.0,26.66,35.11,False,,,,,0
37.1,13.43,83.27,80.67,100.0,200.44,False,,,,,0
21.49,8.83,80.85,59.06,51.19,174.91,False,,,,,0
66.43,4.38,88.66,81.27,58.02,69.05,True,,,,,3
79.87,7.83,85.17,100.0,100.0,114.73,False,,,,,0
41.89,12.35,86.12,100.0,62.96,39.95,False,,,,,0
61.09,14.22,80.11,98.04,98.9,243.52,False,,,,,0
32.83,15.12,73.82,96.35,97.64,230.42,False,,,,,0
57.36,20.06,86.8,62.69,64.32,143.75,False,,,,,0
84.12,3.75,82.96,41.91,46.99,192.03,False,,,,,0
79.77,11.02,80.01,89.78,75.25,220.74,False,,,,,0
28.02,6.56,70.25,80.02,55.41,173.16,False,,,,,0
93.46,12.62,75.78,94.73,76.69,326.23,False,,,,,0
54.31,8.62,79.38,60.42,66.23,149.97,False,,,,,0
33.87,7.81,76.78,46.56,63.95,159.3,True,,,,,3
92.06,0.18,74.42,56.01,27.01,124.23,False,,,,,0
57.88,7.77,75.71,83.63,72.96,112.45,True,,,,,5
40.68,15.91,85.63,31.87,54.7,62.01,False,,,,,0
79.93,10.8,71.93,90.44,59.69,46.58,False,,,,,0
64.66,7.28,72.38,94.7,60.05,101.9,True,,,,,1
82.98,5.88,83.42,98.92,48.8,312.34,False,,,,,0
52.9,16.63,78.64,99.6,67.86,77.6,False,,,,,0
47.01,4.23,73.69,92.66,65.7,129.96,False,,,,,0
89.56,7.33,92.37,94.33,53.46,-61.8,True,,,,,3
77.68,8.37,61.01,63.89,48.41,186.93,False,,,,,0
58.31,14.11,71.05,97.52,29.01,109.82,False,,,,,0
56.5,20.15,80.26,79.05,67.25,203.66,False,,,,,0
62.64,16.13,69.2,55.24,100.0,50.62,False,,,,,0
73.86,7.91,85.18,81.68,42.98,16.06,False,,,,,0
71.62,4.23,65.95,66.9,68.93,272.58,False,,,,,0
29.44,4.29,70.92,45.97,79.43,111.28,True,,,,,2
41.58,14.59,67.18,69.15,75.91,277.15,False,,,,,0
50.0,13.93,72.99,100.0,41.55,217.89,False,,,,,0
52.37,8.02,71.65,72.04,10.3,244.09,False,,,,,0
55.93,-0.78,68.35,86.37,86.87,178.14,False,,,,,0
70.77,9.75,73.97,89.67,29.09,47.68,False,,,,,0
61.89,16.56,70.59,28.44,69.02,203.03,True,,,,,2
81.08,17.57,74.35,67.6,68.79,118.05,False,,,,,0
91.89,13.16,69.48,54.2,62.84,208.39,False,,,,,0
62.18,10.51,66.97,80.8,38.8,79.45,False,,,,,0
72.67,3.2,73.61,82.63,57.29,168.92,True,,,,,0
34.57,13.69,83.3,51.01,76.56,252.5,True,,,,,2
54.47,20.15,52.02,80.41,100.0,78.21,True,,,,,4
52.06,8.35,75.87,75.2,59.95,81.16,True,,,,,4
97.24,13.93,74.19,100.0,89.68,265.6,False,,,,,0
36.63,14.12,83.44,94.93,36.82,152.98,True,,,,,2
60.89,11.06,80.12,42.44,100.0,62.21,True,,,,,4
89.19,15.02,63.28,30.6,95.72,106.96,False,,,,,0
59.45,4.9,74.6,53.31,64.56,138.15,True,,,,,1
51.78,16.5,88.8,70.22,82.14,154.5,False,,,,,0
51.44,24.29,91.48,90.35,55.5,188.43,False,,,,,0
57.66,2.66,75.94,70.83,88.77,160.94,False,,,,,0
76.53,14.5,59.31,84.92,73.43,86.18,False,,,,,0
53.06,3.62,80.48,83.89,76.76,285.28,False,,,,,0
83.29,18.5,68.31,98.14,26.66,112.69,False,,,,,0
40.43,14.72,91.55,60.75,59.37,-3.49,False,,,,,0
70.37,6.9,68.08,24.62,45.94,140.74,False,,,,,0
62.12,16.86,73.58,39.29,100.0,191.07,True,,,,,1
74.84,15.9,83.12,54.75,61.63,125.81,False,,,,,0
65.28,9.39,88.02,90.55,42.7,240.04,False,,,,,0
46.74,18.99,90.7,73.88,73.7,184.58,False,,,,,0
35.59,3.75,85.56,56.92,71.17,18.65,False,,,,,0
41.7,10.11,82.41,84.1,78.59,231.4,False,,,,,0
44.61,14.11,73.57,71.15,64.07,178.96,False,,,,,0
49.97,11.22,93.15,100.0,27.94,131.65,False,,,,,0
81.93,14.19,68.19,23.34,100.0,175.48,True,,,,,4
56.25,-2.07,71.93,81.67,59.28,53.54,False,,,,,0
77.86,4.28,63.62,76.38,45.34,320.79,False,,,,,0
50.68,7.58,82.07,88.14,54.2,131.49,False,,,,,0
72.15,12.94,65.17,69.87,82.59,105.18,False,,,,,0
64.85,21.26,87.27,69.09,82.44,144.86,False,,,,,0
52.26,13.79,76.38,97.89,53.45,101.86,False,,,,,0
72.14,10.42,71.02,18.56,88.2,180.44,False,,,,,0
57.38,7.96,78.47,83.06,20.82,71.05,True,,,,,5
68.16,13.39,75.03,67.45,77.4,207.92,False,,,,,0
34.23,12.66,77.23,61.82,74.46,227.24,False,,,,,0
53.64,10.82,64.6,73.04,50.27,211.09,False,,,,,0
63.42,7.68,78.18,43.85,59.88,113.79,False,,,,,0
75.86,11.19,75.01,42.79,59.32,23.08,False,,,,,0
30.13,13.92,50.21,78.22,36.76,67.65,False,,,,,0
45.07,5.08,69.42,70.27,87.26,256.06,False,,,,,0
33.3,4.2,80.3,70.71,59.03,49.82,True,,,,,3
39.3,1.3,72.99,86.73,96.37,226.03,False,,,,,0
86.28,14.6,67.87,99.66,62.15,168.09,False,,,,,0
55.52,13.31,76.5,68.55,66.28,220.4,False,,,,,0
54.61,8.22,68.06,100.0,95.48,138.58,False,,,,,0
54.31,14.44,79.12,62.65,51.37,66.56,True,,,,,2
75.38,5.52,70.46,55.54,87.5,92.38,False,,,,,0
34.34,-2.81,82.66,71.11,63.37,171.85,False,,,,,0
55.54,9.56,71.91,11.84,45.74,115.22,False,,,,,0
88.6,5.26,57.87,37.71,41.44,-70.1,False,,,,,0
75.76,11.85,72.28,31.87,81.38,66.75,False,,,,,0
54.39,5.92,70.49,43.56,32.92,193.85,False,,,,,0
75.25,3.87,77.22,100.0,41.53,84.78,False,,,,,0
53.78,7.94,61.45,89.76,47.11,-16.81,False,,,,,0
65.39,7.66,67.64,45.68,15.19,167.44,False,,,,,0
48.1,13.41,66.76,80.87,60.29,163.02,True,,,,,3
73.0,7.88,75.6,56.46,51.76,3.38,True,,,,,2
41.14,20.18,65.7,55.36,88.93,139.78,False,,,,,0
65.12,0.73,81.7,100.0,50.88,207.5,False,,,,,0
83.89,4.1,56.18,74.09,33.12,198.23,True,,,,,2
73.28,6.09,59.2,72.0,63.28,127.71,False,,,,,0
67.19,4.48,86.36,60.61,76.08,96.46,False,,,,,0
72.53,5.0,91.43,55.78,45.58,198.3,True,,,,,1
70.48,16.05,89.01,56.46,33.28,94.16,False,,,,,0
83.22,7.69,65.62,96.37,80.68,198.5,False,,,,,0
67.2,7.07,68.2,62.02,89.43,293.84,True,,,,,4
55.99,12.84,94.72,42.57,69.82,242.34,False,,,,,0
26.76,20.47,75.18,63.75,86.24,198.18,False,,,,,0
55.92,9.23,71.33,85.75,22.5,30.31,False,,,,,0
62.36,12.23,69.26,54.21,39.13,326.03,False,,,,,0
