Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
69.31,9.69,82.15,62.04,41.63,145.71,True,,,,,0
69.18,13.1,84.82,38.36,73.15,178.91,False,,,,,0
78.99,-1.39,92.5,81.43,55.51,154.03,False,,,,,0
66.85,12.14,86.11,77.64,60.52,60.28,False,,,,,0
75.84,11.71,81.96,68.66,34.65,242.08,True,,,,,2
67.14,12.41,70.81,100.0,64.56,124.48,False,,,,,0
65.08,8.65,74.35,9.15,79.3,221.94,False,,,,,0
61.19,19.72,75.87,60.24,82.71,163.44,True,,,,,4
115.14,17.25,90.32,65.43,84.81,117.61,True,,,,,5
58.32,13.39,58.33,78.45,85.25,181.21,True,,,,,2
74.32,15.92,68.66,66.12,60.19,242.89,False,,,,,0
68.28,8.24,67.62,55.77,32.97,165.07,True,,,,,2
65.95,9.34,96.09,75.27,73.39,131.23,True,,,,,3
66.48,13.74,65.69,72.93,54.3,159.73,True,,,,,2
77.11,14.48,64.39,54.56,63.15,185.84,False,,,,,0
39.71,1.49,77.75,66.58,47.11,29.81,False,,,,,0
49.9,17.77,80.8,92.22,72.19,-23.09,True,,,,,2
79.6,5.17,67.06,87.39,48.09,126.34,False,,,,,0
58.51,9.72,73.16,65.53,99.98,212.54,False,,,,,0
67.07,8.19,69.38,85.72,90.58,51.14,False,,,,,0
51.28,9.6,78.55,69.17,64.04,232.84,False,,,,,0
52.24,17.5,78.61,88.57,100.0,20.1,False,,,,,0
58.38,5.95,79.09,67.84,36.48,33.0,False,,,,,0
80.1,0.7,80.44,29.81,100.0,137.65,False,,,,,0
94.94,14.11,85.06,93.02,66.66,58.67,False,,,,,0
48.3,14.59,89.46,59.12,73.29,198.22,False,,,,,0
54.77,23.16,75.27,95.39,56.64,120.96,False,,,,,0
61.86,6.1,71.0,65.72,92.47,156.59,True,,,,,1
39.26,19.53,79.39,100.0,58.38,309.47,False,,,,,0
77.96,14.39,61.05,94.83,47.11,202.54,False,,,,,0
37.34,11.06,68.85,100.0,100.0,231.9,True,,,,,1
70.87,4.0,79.82,55.16,89.22,213.18,False,,,,,0
61.77,6.64,83.21,72.61,41.34,219.71,False,,,,,0
41.97,10.49,98.17,55.0,91.54,219.57,True,,,,,1
67.86,13.43,75.05,55.12,74.15,61.12,False,,,,,0
63.36,6.9,91.67,70.53,83.25,227.73,False,,,,,0
54.96,11.94,78.51,29.46,63.34,224.55,True,,,,,0
71.12,5.05,67.63,72.92,36.8,243.88,False,,,,,0
65.76,9.15,85.09,95.28,68.17,202.24,True,,,,,3
44.21,15.46,70.85,61.15,48.41,213.8,False,,,,,0
56.89,10.68,75.85,47.22,81.22,170.0,True,,,,,2
63.98,13.29,75.92,78.91,86.91,12.6,False,,,,,0
58.18,16.3,86.94,72.02,75.59,-15.17,False,,,,,0
46.12,15.55,81.92,100.0,56.25,139.67,False,,,,,0
78.0,0.87,74.6,63.47,63.94,238.08,True,,,,,1
83.63,17.24,57.59,67.87,74.7,-22.53,False,,,,,0
61.93,7.64,74.19,89.4,72.05,111.78,False,,,,,0
47.04,14.82,75.7,82.01,41.18,155.9,False,,,,,0
83.88,13.17,66.73,100.0,48.05,223.33,False,,,,,0
51.24,-0.24,81.65,56.06,99.66,38.9,False,,,,,0
44.29,8.83,73.64,62.9,60.34,127.01,False,,,,,0
47.66,4.11,74.66,57.43,79.51,-29.52,False,,,,,0
79.58,22.04,94.01,86.09,100.0,170.62,True,,,,,3
55.68,4.8,73.89,62.3,50.87,228.07,False,,,,,0
