Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
63.73,12.38,85.58,94.9,48.94,75.61,False,,,,,0
72.37,16.06,91.93,56.57,84.42,134.12,False,,,,,0
79.18,7.64,70.47,61.97,50.6,181.48,False,,,,,0
57.16,10.85,75.92,60.57,0.0,138.0,False,,,,,0
57.97,5.14,69.33,62.2,79.39,127.74,False,,,,,0
59.83,13.33,92.36,96.04,68.5,171.31,False,,,,,0
60.6,12.46,62.67,84.3,78.06,217.23,True,,,,,0
48.28,13.55,64.05,99.48,52.65,74.32,True,,,,,2
65.0,8.52,77.33,57.03,47.68,207.37,False,,,,,0
55.62,6.15,78.25,71.89,25.56,242.76,False,,,,,0
74.03,0.03,93.12,58.71,70.12,183.76,True,,,,,2
63.49,4.8,77.17,88.22,83.3,112.33,False,,,,,0
37.84,3.62,71.9,53.82,51.87,275.68,True,,,,,1
60.09,4.81,67.66,83.56,84.14,231.43,False,,,,,0
47.75,6.97,75.42,85.75,46.58,269.92,False,,,,,0
72.46,9.24,80.21,46.52,60.73,76.33,False,,,,,0
101.61,4.81,81.24,60.63,72.19,71.5,False,,,,,0
70.05,-4.29,58.26,73.24,99.87,244.72,True,,,,,3
73.76,9.42,90.94,75.99,49.41,302.28,True,,,,,4
53.23,13.68,75.14,76.96,57.3,155.93,True,,,,,1
41.72,13.57,72.69,87.27,25.46,123.79,False,,,,,0
45.59,17.18,84.7,91.06,40.44,171.15,False,,,,,0
77.13,9.34,62.65,54.23,55.53,-26.97,True,,,,,6
59.73,11.97,79.95,72.57,53.39,160.05,False,,,,,0
32.18,10.11,70.33,84.88,61.78,97.72,False,,,,,0
61.08,10.36,80.31,80.31,39.66,70.82,False,,,,,0
65.35,12.42,85.04,48.33,67.16,157.38,True,,,,,1
78.85,7.09,65.02,50.29,22.2,145.34,False,,,,,0
54.55,7.64,68.64,79.34,13.02,88.36,False,,,,,0
60.64,5.94,80.7,93.16,56.47,296.85,False,,,,,0
57.54,8.61,71.19,37.16,70.3,232.53,False,,,,,0
43.25,6.82,65.25,99.27,68.59,96.44,True,,,,,2
63.95,4.98,80.32,45.39,64.05,140.59,True,,,,,1
69.37,11.12,69.71,99.17,54.55,92.85,False,,,,,0
64.74,9.06,83.89,67.07,29.78,105.31,False,,,,,0
50.27,8.36,82.76,100.0,93.31,119.54,False,,,,,0
50.23,9.2,60.29,60.39,75.99,61.77,True,,,,,4
44.88,8.41,76.88,75.7,90.71,147.51,False,,,,,0
31.11,4.29,81.61,98.12,52.46,139.91,True,,,,,1
64.37,10.84,80.66,54.78,78.65,152.23,True,,,,,1
33.73,2.29,65.44,54.17,65.14,165.41,False,,,,,0
49.79,16.96,61.1,74.37,55.3,148.85,True,,,,,0
66.01,14.84,60.65,78.47,85.54,197.41,False,,,,,0
32.83,13.41,55.48,54.09,88.11,51.74,False,,,,,0
81.98,10.22,68.86,50.59,37.54,196.92,False,,,,,0
69.95,6.25,65.1,75.64,87.43,71.94,False,,,,,0
45.34,12.04,64.74,41.68,100.0,124.51,False,,,,,0
46.37,5.69,63.53,75.9,83.23,77.79,True,,,,,3
56.63,10.27,74.02,82.15,92.21,57.87,True,,,,,0
66.71,-1.08,69.46,38.21,45.76,48.14,True,,,,,1
71.08,9.86,76.64,93.9,66.24,250.18,False,,,,,0
68.31,16.68,88.01,49.39,0.0,154.64,True,,,,,1
51.69,14.47,84.66,51.19,30.24,182.65,False,,,,,0
62.41,2.62,75.06,58.77,66.83,160.59,False,,,,,0
33.07,15.65,64.65,67.24,55.26,118.98,False,,,,,0
58.95,6.18,75.35,50.99,57.63,116.82,True,,,,,1
73.08,11.28,57.2,89.19,73.29,98.99,True,,,,,1
78.96,8.77,83.34,74.55,2.75,217.98,False,,,,,0
45.69,13.46,88.37,80.94,38.07,155.76,False,,,,,0
96.21,7.33,77.29,62.07,82.92,139.84,False,,,,,0
58.96,13.71,79.42,69.05,66.56,117.87,False,,,,,0
78.0,3.73,72.29,69.31,75.22,132.04,False,,,,,0
62.09,7.82,72.8,87.33,89.29,166.47,False,,,,,0
42.2,13.63,79.81,59.86,38.47,85.03,True,,,,,4
46.24,7.05,76.9,60.71,96.0,138.81,False,,,,,0
65.0,13.1,63.17,72.53,70.77,89.68,False,,,,,0
79.3,10.16,65.53,47.84,100.0,121.12,True,,,,,3
66.84,11.38,72.89,16.47,87.97,222.42,True,,,,,5
64.99,4.44,62.68,86.67,87.2,145.84,True,,,,,1
