Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
62.44,8.42,97.15,80.57,19.88,207.15,False,,,,,0
27.28,16.09,38.66,87.98,38.66,122.53,False,,,,,0
57.61,14.29,79.01,56.03,86.03,115.81,True,,,,,1
74.26,4.54,81.6,54.32,82.7,117.66,False,,,,,0
31.74,17.74,76.0,66.29,54.65,187.28,False,,,,,0
64.78,11.95,74.81,90.19,55.05,172.8,True,,,,,2
44.02,17.04,81.63,73.14,85.25,100.18,False,,,,,0
52.26,8.54,77.12,100.0,56.95,234.95,False,,,,,0
70.55,16.85,80.12,69.17,81.63,147.19,False,,,,,0
93.84,-1.11,59.66,49.75,72.04,164.77,True,,,,,3
38.73,15.68,66.65,72.92,22.66,28.81,False,,,,,0
56.69,3.44,73.73,84.85,57.75,50.55,False,,,,,0
42.45,12.31,68.99,73.42,59.07,57.62,False,,,,,0
56.23,17.03,83.35,70.58,0.0,128.09,False,,,,,0
60.21,15.04,76.52,89.94,68.79,185.8,False,,,,,0
80.0,7.99,69.52,62.8,93.32,115.52,False,,,,,0
62.75,7.59,65.64,62.0,65.76,44.07,False,,,,,0
62.56,2.35,72.59,100.0,86.16,143.31,False,,,,,0
55.17,12.66,80.96,46.79,58.09,291.97,False,,,,,0
65.13,19.12,57.09,54.83,49.25,134.85,False,,,,,0
43.89,11.98,68.2,81.02,62.01,44.26,True,,,,,2
48.79,8.9,63.6,44.65,50.1,231.39,False,,,,,0
65.87,13.08,58.34,42.65,34.38,168.61,True,,,,,2
77.64,13.28,76.46,97.06,49.23,85.79,False,,,,,0
52.63,15.72,68.43,75.08,69.9,58.52,False,,,,,0
27.1,9.79,68.88,67.43,52.84,71.08,False,,,,,0
77.0,13.45,74.65,41.85,99.93,168.67,True,,,,,2
72.08,14.73,75.23,77.84,65.62,202.47,False,,,,,0
31.35,15.08,67.11,52.67,66.24,200.79,False,,,,,0
48.62,14.39,87.49,75.72,79.56,233.33,True,,,,,5
61.06,21.43,75.0,69.03,45.82,153.17,False,,,,,0
64.14,12.94,65.99,41.04,68.96,163.57,True,,,,,3
41.16,15.37,78.46,85.59,100.0,201.19,False,,,,,0
20.62,3.67,73.7,37.01,32.38,115.96,False,,,,,0
83.04,10.93,77.47,82.66,88.11,176.94,True,,,,,1
81.24,20.1,80.77,79.66,62.78,310.36,False,,,,,0
