Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
54.11,9.27,83.7,74.28,79.63,93.94,False,,,,,0
56.24,13.86,68.41,53.24,100.0,143.68,False,,,,,0
35.73,4.39,80.68,72.27,100.0,29.56,False,,,,,0
61.98,10.84,109.06,73.65,66.89,174.49,True,,,,,2
87.56,6.26,73.32,30.35,86.97,85.12,False,,,,,0
82.87,16.87,73.41,54.19,100.0,218.11,True,,,,,4
73.25,9.81,70.81,78.71,74.75,160.03,False,,,,,0
64.91,7.34,76.87,61.64,55.56,128.36,True,,,,,2
53.71,5.54,71.4,100.0,55.59,106.69,False,,,,,0
98.96,10.41,63.92,62.36,26.18,93.3,False,,,,,0
61.96,19.07,67.65,57.66,57.49,28.57,False,,,,,0
66.0,3.26,67.51,54.85,39.85,163.08,False,,,,,0
53.55,11.07,78.04,68.45,56.46,166.57,False,,,,,0
62.23,2.99,70.82,71.64,69.77,249.57,False,,,,,0
50.97,3.64,57.57,100.0,32.65,209.21,False,,,,,0
35.38,8.33,79.12,61.07,49.77,155.36,True,,,,,0
62.5,5.67,92.08,48.51,51.03,83.44,True,,,,,1
85.72,16.22,73.54,100.0,16.01,24.91,False,,,,,0
72.66,7.27,79.51,89.13,87.85,62.1,False,,,,,0
70.13,1.81,92.23,59.05,94.91,189.75,True,,,,,2
64.58,8.99,69.65,100.0,65.07,170.5,False,,,,,0
42.85,3.16,61.01,49.92,83.58,158.35,True,,,,,0
46.27,5.36,78.09,59.84,61.19,166.29,False,,,,,0
47.2,11.91,76.04,78.73,54.61,138.91,False,,,,,0
60.92,20.25,69.55,28.35,63.11,239.65,False,,,,,0
39.97,-1.14,75.45,45.81,72.76,261.39,True,,,,,2
62.47,16.46,66.9,83.81,94.37,227.25,True,,,,,1
64.49,13.23,104.58,83.69,62.76,199.85,False,,,,,0
41.92,9.92,86.52,67.02,89.27,209.74,False,,,,,0
75.49,10.87,75.2,47.37,83.98,242.1,False,,,,,0
55.5,0.99,68.65,79.32,51.87,171.3,False,,,,,0
56.81,11.24,81.02,94.2,90.04,188.18,False,,,,,0
42.33,9.54,68.27,66.25,64.26,148.86,False,,,,,0
78.83,6.77,68.4,59.61,85.73,145.77,False,,,,,0
33.87,4.76,76.59,91.37,62.95,-30.67,True,,,,,2
68.62,6.25,82.34,41.33,79.82,48.66,False,,,,,0
20.76,15.99,77.81,55.22,74.62,108.04,False,,,,,0
47.92,12.49,57.42,100.0,100.0,276.57,False,,,,,0
63.17,11.78,78.01,40.19,63.74,226.75,True,,,,,1
70.53,7.23,98.09,55.97,90.38,90.59,True,,,,,1
53.08,10.02,75.81,76.19,40.73,186.43,True,,,,,4
68.34,8.77,53.61,29.73,59.6,69.87,False,,,,,0
33.59,7.27,59.75,51.52,100.0,57.23,False,,,,,0
48.54,2.66,77.57,81.64,87.86,230.13,False,,,,,0
83.69,9.23,67.71,85.49,61.17,149.92,False,,,,,0
47.98,8.93,56.72,88.15,75.71,202.98,True,,,,,0
79.58,23.71,67.36,39.75,96.63,179.96,False,,,,,0
52.36,7.86,61.6,43.7,67.3,129.35,False,,,,,0
63.46,7.18,85.5,49.31,74.24,-19.89,False,,,,,0
89.08,6.39,87.6,42.85,74.43,58.69,True,,,,,2
85.55,5.89,69.02,94.35,73.58,-6.19,False,,,,,0
53.33,12.49,64.77,100.0,51.93,257.87,True,,,,,3
55.61,18.42,71.4,46.64,59.67,248.96,False,,,,,0
49.4,14.28,85.93,78.59,56.42,208.28,False,,,,,0
