Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
99.75,7.25,74.2,54.16,68.32,172.7,False,,,,,0
51.64,3.63,83.98,62.8,65.27,219.59,True,,,,,1
74.34,7.9,73.9,98.46,26.19,319.49,True,,,,,0
70.78,21.22,72.39,76.88,89.99,95.71,False,,,,,0
59.19,1.1,86.98,35.57,26.81,153.86,True,,,,,1
45.18,9.9,62.87,68.89,71.51,278.05,False,,,,,0
52.0,5.08,87.05,56.1,39.24,108.45,True,,,,,1
61.03,7.66,74.02,78.33,56.04,198.96,True,,,,,2
62.59,13.15,84.62,72.99,26.12,246.05,False,,,,,0
47.43,3.68,87.92,55.43,83.54,124.34,False,,,,,0
73.97,14.51,77.1,55.56,80.51,221.59,False,,,,,0
68.06,15.66,65.99,80.54,58.75,192.91,False,,,,,0
65.39,5.98,89.42,89.53,100.0,224.64,True,,,,,2
67.67,13.54,81.9,68.87,16.71,121.57,False,,,,,0
37.72,10.85,89.71,76.39,100.0,87.58,False,,,,,0
76.34,3.37,72.62,51.57,73.44,182.45,False,,,,,0
64.36,17.51,91.29,62.65,54.53,70.04,True,,,,,2
65.34,24.28,77.51,41.81,27.04,357.16,False,,,,,0
87.43,2.41,79.08,71.43,45.99,221.57,False,,,,,0
68.82,11.14,85.62,63.35,65.27,87.74,False,,,,,0
68.72,8.55,81.2,83.04,100.0,172.57,True,,,,,2
24.2,16.6,67.51,39.2,32.93,220.74,False,,,,,0
53.33,7.59,93.35,78.05,89.66,125.67,False,,,,,0
86.24,9.69,83.28,90.33,55.54,108.44,True,,,,,2
48.62,14.73,78.86,57.31,100.0,219.19,True,,,,,2
76.17,4.93,94.35,78.27,100.0,168.52,True,,,,,1
62.62,9.68,85.08,81.68,92.65,100.3,False,,,,,0
63.41,11.89,83.79,78.5,77.45,175.74,True,,,,,1
