Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
53.1,3.76,79.14,79.12,45.76,60.37,True,,,,528.08,4
62.61,9.72,79.1,96.12,62.91,31.29,False,,,,484.69,0
68.79,10.28,79.59,41.53,61.11,110.33,True,,,,607.89,2
47.02,8.52,74.81,52.64,100.0,145.98,False,,,,486.03,0
30.1,13.09,76.23,57.28,89.38,161.13,False,,,,516.85,0
74.34,19.92,91.43,20.12,87.77,111.72,True,,,,443.62,1
73.16,12.79,82.97,80.05,75.64,73.17,True,,,,561.23,3
47.03,2.97,89.57,81.4,83.35,203.18,True,,,,490.34,1
79.74,8.43,68.32,67.49,100.0,149.93,False,,,,621.16,0
47.43,7.3,67.93,59.28,81.05,211.66,False,,,,449.63,0
99.68,7.54,102.79,73.43,50.89,173.08,True,,,,530.45,0
57.56,12.21,72.88,92.36,100.0,196.52,False,,,,495.12,0
75.01,11.29,82.42,65.0,71.11,277.6,True,,,,487.82,1
69.42,6.42,77.06,48.39,72.02,138.63,False,,,,509.48,0
72.89,5.98,83.66,76.13,74.83,176.94,True,,,,572.12,4
56.98,14.01,69.03,100.0,39.94,68.89,False,,,,466.56,0
54.67,12.34,58.92,100.0,49.14,220.07,True,,,,394.76,1
67.15,9.39,80.22,57.9,41.92,171.16,False,,,,578.16,0
52.12,12.2,75.23,54.51,83.66,137.84,False,,,,557.31,0
82.22,8.56,106.67,62.78,56.94,146.69,True,,,,513.4,1
54.79,0.87,71.93,68.37,35.45,31.88,True,,,,530.93,4
49.3,19.54,58.6,18.61,30.62,53.95,False,,,,545.47,0
57.86,6.85,86.1,28.39,34.57,141.36,False,,,,410.89,0
49.63,13.16,82.86,93.96,62.53,169.97,False,,,,468.8,0
77.16,5.4,79.35,42.27,73.39,116.12,True,,,,469.67,5
53.31,13.7,75.99,45.14,82.79,174.58,False,,,,477.7,0
80.66,4.17,89.48,79.04,18.39,141.59,False,,,,500.59,0
61.49,15.52,70.78,63.89,66.57,221.78,False,,,,491.11,0
38.93,10.1,64.32,37.39,55.29,25.18,False,,,,509.42,0
77.43,8.28,98.48,69.19,75.86,275.11,False,,,,511.59,0
52.93,12.67,77.37,82.81,50.58,136.04,False,,,,594.9,0
38.18,8.78,85.74,91.47,52.63,161.16,True,,,,490.51,0
66.48,13.34,80.95,70.91,72.5,182.85,False,,,,471.97,0
70.35,12.1,82.76,75.31,45.3,15.48,False,,,,464.54,0
64.49,10.43,79.94,69.71,52.0,186.8,False,,,,436.65,0
48.08,7.68,79.72,47.41,100.0,151.81,False,,,,439.69,0
67.63,9.64,68.28,59.71,26.1,195.5,True,,,,537.89,0
81.37,19.96,76.63,60.01,70.19,-20.37,False,,,,494.45,0
82.77,13.07,88.52,59.2,57.23,212.78,False,,,,436.73,0
63.38,10.03,79.7,82.63,97.79,-83.99,False,,,,445.49,0
65.28,1.42,83.88,74.86,46.27,243.87,False,,,,551.44,0
76.3,9.1,73.03,47.89,66.65,175.74,False,,,,608.96,0
73.7,14.3,87.22,58.61,51.05,259.04,False,,,,555.29,0
51.37,8.25,78.89,82.35,58.49,172.04,False,,,,545.21,0
45.46,7.97,65.3,43.15,78.07,160.45,True,,,,534.75,5
53.02,5.67,66.99,62.89,71.16,99.89,True,,,,482.88,1
81.07,12.63,73.54,41.67,80.73,186.56,False,,,,652.36,0
41.77,5.54,71.97,93.24,100.0,170.22,True,,,,447.73,0
33.8,14.0,69.88,75.28,73.23,279.6,True,,,,470.94,7
46.41,18.72,67.21,79.9,60.56,85.72,False,,,,517.57,0
43.83,6.05,55.05,55.56,100.0,120.97,False,,,,559.45,0
68.75,12.14,81.29,80.76,70.95,166.63,True,,,,504.84,2
49.96,9.08,77.66,74.68,36.09,75.64,False,,,,552.49,0
63.98,3.75,60.23,41.95,72.53,83.81,False,,,,456.61,0
69.01,7.61,83.62,85.52,32.88,92.88,False,,,,532.42,0
83.43,8.8,84.55,78.41,89.81,36.49,True,,,,530.23,1
56.78,18.95,70.7,58.65,77.16,230.05,True,,,,481.11,1
46.6,8.29,78.58,65.43,48.33,108.93,False,,,,495.65,0
49.35,1.8,81.96,94.75,26.89,134.48,False,,,,500.63,0
68.17,9.34,82.64,90.48,74.25,138.21,False,,,,385.47,0
69.93,16.31,61.79,95.89,34.32,266.03,False,,,,491.75,0
49.32,3.03,77.7,43.38,6.77,155.64,False,,,,471.86,0
42.08,2.35,82.84,39.22,38.56,111.16,True,,,,486.72,1
82.4,10.11,72.61,44.87,33.36,164.07,True,,,,486.36,3
80.86,13.12,100.7,51.34,97.62,215.86,False,,,,533.13,0
55.27,17.91,81.8,81.61,100.0,64.69,False,,,,459.6,0
68.36,16.97,67.92,30.46,100.0,103.93,False,,,,532.16,0
53.36,14.51,80.81,40.54,20.27,131.77,False,,,,502.03,0
79.14,19.94,57.67,58.39,60.99,117.51,False,,,,530.16,0
43.44,10.9,74.88,46.84,48.77,218.16,False,,,,540.81,0
44.16,5.41,71.45,57.38,68.72,256.31,False,,,,524.72,0
58.67,13.34,70.61,68.69,33.38,135.8,False,,,,601.19,0
58.91,16.59,75.99,65.5,74.04,306.83,False,,,,443.58,0
78.11,7.42,45.51,47.72,66.11,213.66,False,,,,450.98,0
72.89,15.0,83.29,67.8,98.57,73.19,False,,,,424.81,0
77.12,12.13,80.98,89.69,65.18,140.89,True,,,,426.36,2
61.88,12.76,88.97,66.95,29.58,179.73,False,,,,404.76,0
49.69,6.53,61.3,52.17,47.5,195.79,False,,,,517.48,0
38.22,-2.2,75.02,84.04,85.04,217.35,False,,,,469.87,0
49.4,10.14,64.43,79.54,45.96,138.64,False,,,,390.64,0
