Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
105.02,20.48,56.93,66.46,86.63,157.37,True,,134.77,,,2
67.48,7.7,67.74,77.59,55.3,65.32,False,,102.05,,,0
82.81,14.82,76.9,92.55,51.64,134.63,False,,134.53,,,0
78.15,10.14,61.94,52.84,32.74,95.44,False,,123.02,,,0
75.26,11.91,75.62,61.49,32.83,82.5,False,,116.9,,,0
49.17,17.95,73.67,90.99,78.39,94.89,False,,141.4,,,0
59.82,8.94,83.79,48.66,79.1,146.36,False,,116.14,,,0
51.71,11.28,69.2,78.94,69.05,132.22,False,,101.69,,,0
78.2,3.3,62.11,89.66,74.56,152.99,False,,129.23,,,0
35.93,4.02,81.68,74.96,70.11,132.3,True,,134.19,,,1
65.34,8.24,60.36,74.89,73.46,195.27,False,,100.23,,,0
57.91,16.03,82.67,99.75,64.17,195.02,False,,119.18,,,0
58.86,7.66,67.44,79.53,77.48,219.6,False,,120.66,,,0
55.29,16.98,75.25,64.65,54.25,234.18,True,,143.42,,,1
51.46,8.75,65.71,60.92,25.94,323.76,True,,101.45,,,6
56.15,-1.17,56.71,100.0,100.0,236.38,False,,129.96,,,0
84.09,11.47,65.14,54.38,100.0,-14.02,False,,153.65,,,0
76.43,14.36,71.1,24.83,87.61,15.95,False,,109.54,,,0
61.67,8.1,74.72,95.71,55.2,133.2,False,,125.09,,,0
71.51,7.49,78.68,59.26,74.71,219.01,False,,119.24,,,0
52.83,9.63,78.78,90.26,79.08,248.61,False,,118.36,,,0
79.65,10.31,67.72,100.0,50.08,141.34,False,,150.16,,,0
62.26,12.27,105.01,46.81,61.71,103.7,False,,138.81,,,0
72.68,1.91,86.61,65.23,63.68,121.75,False,,125.88,,,0
70.4,13.13,93.11,61.83,77.05,333.81,False,,125.31,,,0
62.08,-1.35,71.42,45.95,34.26,206.36,False,,116.06,,,0
57.19,9.42,79.29,82.57,44.41,201.82,False,,113.21,,,0
48.21,13.03,62.6,38.74,63.87,126.88,True,,134.98,,,1
