Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
58.32,14.99,77.04,100.0,62.13,154.61,True,,,40.92,,2
47.38,2.93,73.73,93.23,59.83,224.75,False,,,40.05,,0
64.79,15.83,76.29,68.79,100.0,327.08,True,,,48.0,,3
66.86,15.7,77.08,43.54,68.88,153.04,False,,,56.27,,0
48.85,10.93,70.85,62.02,40.64,-13.65,True,,,39.13,,0
52.7,11.52,65.78,85.28,59.07,216.21,True,,,44.67,,0
70.74,5.08,75.78,41.03,24.5,166.88,False,,,35.59,,0
74.72,10.27,81.14,68.45,75.09,33.93,False,,,46.68,,0
55.82,12.58,62.17,83.19,48.65,221.31,False,,,31.32,,0
50.28,6.68,80.18,67.57,100.0,219.83,True,,,55.74,,4
45.94,6.75,87.6,67.72,58.64,58.84,False,,,46.06,,0
20.88,11.67,78.69,74.38,94.98,157.88,False,,,51.42,,0
79.92,-4.95,80.36,83.01,82.79,-25.86,False,,,43.53,,0
81.72,6.56,70.88,77.03,83.62,97.97,True,,,50.27,,1
49.71,14.11,65.01,77.76,29.13,191.27,False,,,10.58,,0
80.73,8.67,75.3,50.82,58.26,227.65,False,,,24.29,,0
72.85,5.63,78.54,49.47,46.53,126.09,True,,,41.48,,1
56.36,9.21,78.91,100.0,76.47,139.14,True,,,42.79,,2
52.04,15.96,65.07,57.17,68.45,192.89,True,,,36.24,,2
54.34,9.22,76.49,87.89,73.83,101.03,False,,,38.23,,0
71.69,6.7,77.38,53.21,93.47,-24.15,False,,,40.76,,0
48.28,7.75,76.72,98.01,42.98,181.71,False,,,48.63,,0
49.11,4.47,66.02,70.56,53.96,170.34,False,,,37.89,,0
16.86,12.47,74.5,71.16,45.03,76.07,True,,,53.44,,2
49.9,9.79,64.16,98.29,32.4,30.92,True,,,35.83,,2
66.08,8.89,73.32,55.94,70.06,204.54,False,,,24.71,,0
28.31,12.21,76.96,65.36,82.44,208.68,False,,,32.96,,0
57.99,8.81,82.26,69.49,66.35,-35.38,False,,,44.71,,0
68.05,7.37,101.46,56.95,22.65,132.58,False,,,52.57,,0
52.76,9.84,78.08,55.0,24.67,77.33,True,,,42.71,,2
48.98,17.92,81.26,64.47,64.64,253.18,False,,,44.26,,0
47.92,9.08,70.68,68.79,60.03,39.47,True,,,41.13,,0
67.98,14.21,80.18,97.28,71.78,172.84,False,,,33.5,,0
36.46,9.68,71.43,93.41,89.51,81.16,False,,,48.39,,0
50.59,4.2,89.38,57.03,77.91,-38.98,False,,,36.97,,0
47.19,4.84,102.19,72.78,87.33,-10.51,False,,,43.98,,0
68.79,11.33,70.93,65.97,79.76,130.48,True,,,30.68,,1
61.74,8.97,69.45,81.46,65.69,100.39,True,,,55.71,,2
67.43,6.01,84.27,68.92,32.56,107.41,False,,,37.38,,0
28.7,16.49,54.53,48.64,77.6,188.56,False,,,45.14,,0
95.93,13.14,89.24,54.14,47.78,223.34,False,,,21.84,,0
76.52,10.33,82.66,72.9,56.24,29.45,False,,,40.96,,0
64.58,6.6,83.56,67.23,84.98,135.14,False,,,22.21,,0
66.12,13.53,72.66,66.23,100.0,299.22,False,,,28.47,,0
75.1,15.35,61.83,52.03,62.17,199.74,False,,,49.38,,0
76.99,20.68,63.32,88.87,24.42,238.05,False,,,35.74,,0
47.31,10.06,73.65,80.96,46.56,175.1,False,,,43.76,,0
50.71,3.47,69.19,60.7,43.73,133.77,True,,,35.59,,3
63.68,13.58,75.48,64.18,89.48,254.02,False,,,41.16,,0
38.59,-6.04,78.36,84.95,4.36,138.9,False,,,36.51,,0
68.71,12.54,94.84,60.54,70.41,136.26,True,,,34.47,,3
45.67,9.31,81.96,100.0,90.07,209.59,True,,,52.57,,0
60.03,16.62,64.96,64.11,48.54,188.9,True,,,28.63,,3
33.46,14.26,81.3,43.9,39.64,194.51,False,,,41.48,,0
71.37,5.46,73.65,48.64,93.09,-9.92,False,,,41.67,,0
