Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
32.98,12.23,86.55,74.77,83.13,17.82,False,71.55,,,,0
41.08,10.97,50.6,18.64,70.71,172.79,False,95.0,,,,0
53.44,19.9,76.37,77.23,74.73,200.81,True,79.08,,,,2
45.51,5.33,72.7,75.72,78.43,48.73,True,71.78,,,,1
46.15,19.44,67.95,83.34,38.67,101.3,False,82.02,,,,0
72.89,7.89,59.88,72.74,81.18,106.32,False,86.62,,,,0
45.27,13.91,74.82,84.67,40.65,138.89,False,66.83,,,,0
40.97,16.46,69.95,55.99,45.48,219.85,True,61.39,,,,1
49.53,11.99,80.83,56.54,73.57,48.79,False,77.24,,,,0
42.37,8.35,62.63,64.1,47.17,92.67,False,76.23,,,,0
57.53,9.95,76.68,73.59,16.86,140.76,False,69.09,,,,0
58.95,13.89,80.15,64.61,64.84,244.47,True,69.86,,,,1
76.07,8.59,57.84,41.12,25.69,128.79,False,55.69,,,,0
59.6,14.54,69.59,40.73,28.48,171.21,True,77.24,,,,1
45.65,3.71,75.35,68.86,6.61,139.86,False,91.67,,,,0
48.62,9.65,70.49,49.74,55.45,333.64,False,61.69,,,,0
62.52,8.16,83.41,90.05,100.0,165.74,False,68.62,,,,0
47.67,17.84,76.56,52.55,63.6,28.69,False,67.86,,,,0
71.43,15.54,72.0,60.53,43.51,59.02,False,92.03,,,,0
47.38,9.34,59.17,45.57,53.84,309.36,False,81.92,,,,0
52.34,11.18,74.14,70.89,45.41,159.1,False,84.62,,,,0
71.12,11.85,91.49,58.43,53.74,219.35,True,82.24,,,,1
54.05,11.58,70.2,31.54,83.15,125.17,False,71.21,,,,0
69.74,12.47,73.43,100.0,15.34,154.19,False,59.97,,,,0
53.28,10.66,73.52,51.46,93.63,122.38,False,85.38,,,,0
58.99,6.63,61.23,78.44,47.66,48.18,True,81.3,,,,2
84.36,11.25,75.62,66.09,22.99,209.85,False,65.21,,,,0
37.32,26.12,78.11,59.78,83.45,94.45,False,61.3,,,,0
64.32,12.4,63.1,83.89,50.96,260.24,False,71.86,,,,0
62.53,4.77,74.79,69.65,100.0,187.11,False,77.83,,,,0
51.71,6.87,66.07,55.66,57.85,81.31,False,80.42,,,,0
45.02,10.28,87.07,84.91,60.95,360.9,False,78.86,,,,0
84.64,12.12,61.16,74.98,46.34,247.11,False,68.17,,,,0
72.47,14.92,77.9,85.66,80.95,236.68,True,80.23,,,,3
60.8,15.24,72.53,63.48,19.4,118.93,False,85.33,,,,0
45.25,13.54,74.05,56.36,80.46,68.3,True,66.29,,,,1
70.29,18.82,88.09,73.97,37.56,190.6,True,82.3,,,,1
73.82,11.11,75.63,44.26,53.36,103.73,True,71.41,,,,3
79.78,11.8,77.44,72.87,46.36,167.93,False,76.17,,,,0
27.71,7.82,82.45,67.08,17.68,209.28,False,85.05,,,,0
75.6,7.36,90.42,85.61,70.61,131.23,True,61.87,,,,3
56.09,9.07,80.85,65.97,95.53,105.52,False,74.51,,,,0
48.65,12.47,89.48,81.36,72.82,22.47,False,89.53,,,,0
40.82,2.72,83.99,89.88,45.22,79.17,False,86.28,,,,0
80.76,4.7,63.35,100.0,53.15,-21.34,False,61.16,,,,0
66.37,8.05,73.34,73.33,37.86,163.63,False,89.21,,,,0
33.26,14.99,83.37,90.45,39.83,243.14,True,82.33,,,,3
71.92,13.2,65.76,71.85,53.88,87.09,False,79.0,,,,0
81.2,16.29,86.71,26.13,48.28,116.45,False,71.85,,,,0
78.17,-2.99,68.27,41.38,82.06,123.7,False,78.57,,,,0
63.02,16.48,75.42,61.87,37.99,76.08,True,65.43,,,,3
36.95,16.89,74.17,100.0,66.59,243.14,True,81.49,,,,2
56.44,16.85,79.56,64.12,58.35,101.03,True,85.84,,,,6
76.0,10.01,77.33,69.66,78.82,142.01,False,75.43,,,,0
56.83,20.82,73.35,100.0,100.0,205.39,False,74.89,,,,0
66.09,11.72,74.99,55.91,85.1,131.61,False,77.68,,,,0
91.01,14.43,77.91,65.36,22.28,218.73,False,74.55,,,,0
52.15,12.3,63.7,29.83,49.53,106.56,False,78.86,,,,0
57.37,6.76,75.76,79.48,74.54,121.55,False,77.85,,,,0
49.96,11.09,72.24,80.87,53.0,80.45,True,69.39,,,,4
50.35,14.34,87.85,61.81,59.09,-28.7,False,68.68,,,,0
66.48,7.99,62.85,76.41,79.78,119.94,False,83.26,,,,0
56.85,0.13,56.51,87.73,76.52,204.69,True,80.6,,,,2
40.91,13.72,87.66,100.0,53.54,99.34,True,105.85,,,,1
79.33,6.51,88.3,82.51,61.82,107.11,False,83.02,,,,0
58.29,11.41,65.06,79.02,52.48,66.46,False,85.85,,,,0
67.16,9.18,80.81,58.41,72.51,31.31,False,78.0,,,,0
59.07,4.89,69.4,88.87,77.95,166.23,True,84.45,,,,3
53.39,7.63,79.11,14.03,85.02,198.04,True,84.8,,,,2
49.83,12.19,72.89,37.97,77.51,89.38,False,56.08,,,,0
58.48,13.58,78.74,77.47,100.0,198.2,True,54.92,,,,3
36.32,12.43,64.96,70.13,70.33,126.95,False,72.67,,,,0
43.86,12.1,94.18,70.19,71.53,124.65,False,64.22,,,,0
53.65,5.55,100.26,62.96,98.86,206.94,False,73.97,,,,0
66.65,10.93,85.8,61.11,70.22,181.13,False,79.64,,,,0
26.87,13.99,67.05,55.03,81.57,63.97,True,68.39,,,,1
52.36,9.88,73.1,70.53,38.59,152.76,False,67.66,,,,0
79.06,1.56,79.47,76.39,85.18,215.89,False,92.32,,,,0
34.91,11.67,86.5,88.07,100.0,151.23,False,72.4,,,,0
40.73,11.03,75.51,63.82,75.16,246.18,False,69.46,,,,0
31.56,21.94,71.64,92.63,53.38,144.33,False,69.98,,,,0
79.78,7.07,70.12,40.39,68.49,215.27,False,79.26,,,,0
42.54,3.5,76.7,53.49,16.69,152.14,False,77.6,,,,0
56.41,10.1,90.41,73.75,62.18,104.08,True,73.33,,,,1
62.84,9.62,62.82,72.04,61.61,195.09,False,84.94,,,,0
