Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
49.63,23.78,69.08,42.96,35.96,51.9,True,,,,,2
73.13,14.18,86.25,45.09,68.49,99.47,False,,,,,0
63.9,1.19,97.07,35.63,53.48,73.99,False,,,,,0
57.5,4.14,73.59,50.61,22.44,141.44,False,,,,,0
81.52,13.81,64.9,66.8,34.9,338.51,False,,,,,0
50.29,9.46,86.33,40.0,62.75,230.44,True,,,,,5
53.13,11.88,71.17,76.66,54.26,169.98,False,,,,,0
19.37,6.37,78.0,50.97,15.97,211.8,False,,,,,0
91.69,10.96,76.47,68.42,51.11,224.6,True,,,,,0
57.64,14.72,74.06,47.0,79.5,182.16,False,,,,,0
37.27,16.06,77.73,64.02,96.94,107.44,False,,,,,0
48.59,20.87,76.05,13.39,84.72,51.94,False,,,,,0
59.99,8.97,72.01,65.61,84.7,127.22,True,,,,,1
48.01,1.62,72.54,50.91,33.56,117.37,False,,,,,0
75.03,14.01,57.98,78.55,60.72,178.92,False,,,,,0
59.81,10.18,71.56,93.1,25.0,139.57,False,,,,,0
67.96,18.08,65.21,31.99,60.66,133.5,False,,,,,0
75.48,-0.93,81.16,87.56,100.0,123.52,False,,,,,0
48.29,16.34,68.68,41.08,44.2,243.11,False,,,,,0
40.19,15.56,81.14,58.12,69.06,70.42,False,,,,,0
80.64,8.85,82.7,82.38,96.4,156.92,False,,,,,0
71.21,4.65,79.86,81.28,52.23,-12.02,True,,,,,1
73.34,6.55,70.05,54.12,69.14,53.47,False,,,,,0
41.66,10.19,70.31,49.23,100.0,77.26,False,,,,,0
91.12,7.74,88.21,70.33,100.0,262.31,True,,,,,0
51.53,4.59,79.08,62.8,97.14,99.08,False,,,,,0
60.42,14.13,58.5,79.33,55.85,84.91,True,,,,,3
71.76,9.93,74.42,75.83,47.02,149.98,False,,,,,0
30.41,16.45,78.34,65.93,83.8,153.49,False,,,,,0
53.56,9.36,74.56,76.3,88.26,101.48,False,,,,,0
51.26,6.52,88.17,65.11,90.68,181.37,False,,,,,0
69.86,14.95,73.59,56.61,51.99,95.28,False,,,,,0
55.48,14.33,88.13,45.64,71.12,177.03,False,,,,,0
99.49,14.31,74.16,83.53,30.7,183.15,False,,,,,0
62.25,16.6,86.86,57.17,84.57,204.06,False,,,,,0
51.12,8.65,69.34,76.42,94.21,162.29,False,,,,,0
88.94,12.52,62.36,73.12,58.9,57.7,False,,,,,0
57.58,17.55,72.01,98.97,53.69,291.7,True,,,,,1
77.07,15.45,74.87,51.0,72.58,244.59,True,,,,,3
46.01,11.5,86.48,65.97,89.95,48.65,False,,,,,0
76.48,9.59,62.61,65.9,85.46,5.29,False,,,,,0
41.18,10.24,80.0,52.41,75.32,219.3,True,,,,,2
76.23,17.29,81.2,41.49,25.01,256.88,False,,,,,0
38.38,12.22,64.89,56.39,67.33,260.06,False,,,,,0
81.62,9.14,69.37,41.13,56.98,31.76,False,,,,,0
35.64,10.28,70.85,40.4,42.0,37.45,False,,,,,0
71.27,13.23,61.52,79.2,45.29,193.79,True,,,,,5
78.03,7.38,62.5,36.31,85.18,189.64,False,,,,,0
68.91,12.59,77.51,45.92,55.08,221.93,False,,,,,0
70.07,8.5,54.46,61.16,100.0,168.15,False,,,,,0
58.77,14.13,59.14,31.88,23.85,139.22,True,,,,,1
41.11,15.18,63.53,84.25,61.67,118.64,False,,,,,0
52.59,4.15,79.13,48.79,61.08,242.13,False,,,,,0
50.28,4.96,66.95,84.58,32.69,244.46,False,,,,,0
47.55,6.09,82.29,69.01,47.05,178.97,False,,,,,0
36.49,5.45,78.62,57.34,48.83,49.15,False,,,,,0
55.36,10.17,89.43,79.91,50.85,-41.87,False,,,,,0
51.87,13.5,76.04,78.12,100.0,134.57,False,,,,,0
88.02,10.13,76.97,86.12,100.0,192.83,False,,,,,0
58.04,16.93,75.44,100.0,42.52,144.27,True,,,,,2
59.75,4.29,72.3,80.34,46.93,171.57,True,,,,,3
50.18,5.33,53.23,56.14,41.73,80.31,False,,,,,0
23.77,11.03,84.45,57.65,36.7,90.13,True,,,,,0
72.68,14.2,51.54,46.27,100.0,70.88,False,,,,,0
61.79,5.12,62.16,59.39,36.48,150.87,False,,,,,0
45.37,6.21,70.78,70.93,77.11,110.55,False,,,,,0
44.59,13.26,92.76,64.92,71.56,169.41,False,,,,,0
49.4,9.64,83.86,65.73,48.92,100.86,True,,,,,0
64.91,12.43,72.89,70.52,88.88,231.74,False,,,,,0
59.43,-0.68,75.54,81.16,37.67,93.48,True,,,,,1
52.36,10.01,74.72,53.46,78.43,68.91,False,,,,,0
33.04,8.42,59.09,57.52,72.55,107.98,False,,,,,0
41.46,6.41,76.7,64.63,84.3,101.18,False,,,,,0
57.29,8.4,81.42,62.03,76.99,45.06,True,,,,,3
72.88,7.7,59.08,75.45,73.78,159.06,False,,,,,0
100.28,14.67,76.71,79.02,60.8,137.25,False,,,,,0
91.09,1.08,91.72,43.5,90.63,151.09,False,,,,,0
41.46,15.24,80.14,37.93,66.3,48.58,False,,,,,0
69.13,20.82,72.47,69.41,55.73,98.95,True,,,,,2
72.44,10.48,82.38,70.46,60.74,155.28,False,,,,,0
37.11,8.49,85.78,84.62,84.44,287.38,True,,,,,1
56.66,6.18,70.84,26.25,85.83,204.03,False,,,,,0
73.71,8.16,66.7,44.0,49.26,284.89,False,,,,,0
54.41,5.08,53.17,86.49,82.36,200.13,False,,,,,0
75.8,7.1,69.47,75.34,75.81,94.08,True,,,,,2
44.27,14.68,80.79,35.28,47.92,248.32,False,,,,,0
83.64,13.83,94.67,100.0,0.0,115.49,True,,,,,2
65.19,6.93,93.8,35.9,28.89,89.48,False,,,,,0
69.97,9.01,85.86,98.55,27.14,225.85,False,,,,,0
62.76,9.28,62.52,82.17,39.77,16.27,False,,,,,0
55.21,-0.99,68.66,49.78,68.54,75.37,False,,,,,0
71.39,2.62,59.98,98.44,78.95,275.17,True,,,,,3
69.21,11.01,73.42,93.34,27.78,246.94,True,,,,,2
75.41,16.85,80.35,37.77,15.55,155.3,True,,,,,3
68.07,4.38,57.74,87.57,84.23,194.31,False,,,,,0
34.48,17.69,85.17,87.85,80.99,171.21,False,,,,,0
47.73,18.16,84.34,53.23,69.52,165.26,False,,,,,0
53.05,13.89,82.86,51.17,58.84,38.3,False,,,,,0
57.69,16.88,68.73,88.07,17.57,31.88,True,,,,,4
39.24,7.33,89.21,92.08,71.51,250.33,False,,,,,0
66.68,12.79,68.92,90.8,87.18,196.67,False,,,,,0
48.5,15.9,78.42,66.17,50.07,191.88,False,,,,,0
66.66,13.73,64.45,61.43,33.11,257.69,False,,,,,0
52.47,10.85,84.26,61.21,56.5,111.9,True,,,,,1
46.31,10.12,70.05,61.7,69.76,115.04,True,,,,,0
57.08,8.43,84.01,85.53,59.97,76.62,False,,,,,0
68.48,-1.61,71.0,40.55,79.64,73.84,True,,,,,2
52.85,4.42,66.13,57.39,81.65,149.17,False,,,,,0
72.38,10.81,67.49,76.35,96.19,129.15,False,,,,,0
45.33,6.2,76.23,100.0,58.61,179.16,True,,,,,3
54.78,9.04,59.9,55.96,100.0,112.54,False,,,,,0
77.36,7.96,89.24,67.34,82.47,9.37,False,,,,,0
40.44,19.64,78.86,58.76,55.86,187.29,True,,,,,0
54.35,3.6,53.38,59.67,100.0,84.3,False,,,,,0
87.74,10.2,59.77,46.08,73.31,231.41,False,,,,,0
75.37,6.49,63.99,50.23,64.57,97.81,False,,,,,0
65.16,2.84,75.68,33.66,70.88,170.48,False,,,,,0
50.44,-5.19,84.47,78.34,34.7,138.8,False,,,,,0
69.5,13.23,78.32,91.22,72.6,4.79,False,,,,,0
51.31,12.61,65.2,71.94,95.65,72.22,False,,,,,0
47.99,14.35,78.98,86.62,45.18,-18.31,True,,,,,3
58.39,3.89,92.08,95.95,100.0,103.27,False,,,,,0
61.28,4.77,77.54,93.7,68.75,267.39,False,,,,,0
47.87,9.5,60.81,45.61,25.85,327.28,False,,,,,0
62.55,4.71,76.38,91.69,74.88,61.48,False,,,,,0
79.73,17.29,72.33,99.0,100.0,-20.36,False,,,,,0
85.45,17.0,70.97,11.47,86.81,78.91,False,,,,,0
57.25,18.18,82.93,60.24,67.64,124.85,False,,,,,0
70.65,13.35,80.16,77.28,59.7,248.45,False,,,,,0
55.07,7.63,69.35,61.99,61.59,-14.72,False,,,,,0
66.24,10.85,71.58,51.19,100.0,191.19,False,,,,,0
44.98,2.22,78.59,39.91,50.17,44.7,False,,,,,0
54.98,6.9,75.53,69.91,40.27,118.4,False,,,,,0
71.06,22.35,65.93,72.62,49.34,89.54,False,,,,,0
92.31,13.69,73.01,72.79,100.0,126.32,True,,,,,1
61.87,2.84,63.71,71.22,82.57,-59.21,False,,,,,0
57.86,10.46,60.92,82.83,63.42,156.53,True,,,,,0
52.54,12.09,81.93,82.92,67.6,137.78,True,,,,,2
71.41,4.24,85.25,100.0,78.99,71.68,False,,,,,0
43.93,4.08,62.15,37.05,71.32,161.54,False,,,,,0
67.85,10.11,66.77,25.72,39.93,160.17,True,,,,,2
67.16,9.07,52.13,85.95,77.69,112.25,False,,,,,0
36.68,10.45,72.78,62.98,100.0,144.96,True,,,,,2
81.41,9.37,81.16,100.0,75.93,143.0,False,,,,,0
61.67,7.76,77.37,80.55,29.78,120.51,False,,,,,0
59.65,13.0,62.24,63.36,99.77,33.82,False,,,,,0
64.24,13.49,62.83,66.35,23.97,127.89,False,,,,,0
