Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
37.77,12.4,87.97,70.59,75.99,79.9,True,,,,,3
60.81,6.97,77.36,45.69,52.89,1.27,False,,,,,0
82.84,11.1,83.13,66.26,27.32,130.56,False,,,,,0
35.8,7.52,77.11,59.76,91.74,29.64,False,,,,,0
52.21,9.64,78.07,77.91,52.52,159.0,False,,,,,0
66.31,14.23,72.24,61.87,58.4,62.11,False,,,,,0
71.16,8.35,83.33,55.66,83.63,181.2,True,,,,,3
66.88,8.36,81.18,92.52,64.98,254.14,False,,,,,0
51.61,8.97,73.59,48.27,63.38,360.36,True,,,,,2
73.2,8.71,61.68,82.39,65.52,201.37,False,,,,,0
56.74,17.52,76.12,67.14,100.0,160.43,False,,,,,0
72.82,7.47,66.44,49.36,31.73,92.64,False,,,,,0
64.95,16.7,51.61,72.32,65.77,81.32,False,,,,,0
61.18,14.06,90.26,76.86,86.79,161.3,True,,,,,5
86.26,7.13,65.64,86.49,35.28,147.39,False,,,,,0
73.24,9.38,76.96,59.19,99.08,210.27,True,,,,,4
91.15,5.08,72.8,90.89,68.83,207.75,False,,,,,0
54.53,12.73,74.05,68.96,31.33,346.01,True,,,,,1
53.89,7.82,84.6,88.96,72.97,-18.61,False,,,,,0
69.45,5.98,84.42,44.98,49.08,273.53,False,,,,,0
64.08,7.27,73.84,58.42,100.0,255.66,False,,,,,0
50.12,6.91,62.68,90.88,39.76,177.69,False,,,,,0
50.4,8.28,71.18,67.34,83.89,4.48,False,,,,,0
68.47,13.45,73.71,96.54,60.64,122.96,True,,,,,3
80.31,9.15,68.83,37.2,30.15,179.73,False,,,,,0
62.95,17.86,82.72,49.57,72.03,235.74,False,,,,,0
63.77,10.45,65.79,76.38,86.05,127.42,False,,,,,0
65.13,13.13,62.24,81.61,38.77,105.74,False,,,,,0
63.41,16.21,76.1,100.0,69.79,151.08,False,,,,,0
61.9,10.3,79.03,82.88,52.75,105.08,False,,,,,0
50.91,15.72,79.0,83.43,83.53,299.98,False,,,,,0
38.04,9.36,63.39,65.12,96.85,209.54,True,,,,,1
52.91,9.61,83.72,76.38,59.38,46.41,False,,,,,0
46.49,15.54,82.07,73.61,100.0,29.13,False,,,,,0
68.09,7.7,78.93,100.0,67.81,7.93,True,,,,,1
60.57,17.27,75.36,60.83,69.82,206.88,False,,,,,0
32.2,3.62,57.53,57.02,92.99,67.28,True,,,,,2
51.04,11.62,85.95,78.75,50.42,128.81,True,,,,,4
69.25,5.66,69.08,40.9,37.51,223.74,False,,,,,0
76.14,15.76,95.27,56.09,64.72,326.85,True,,,,,2
78.3,13.28,55.05,66.01,35.26,175.06,False,,,,,0
65.2,9.77,69.34,63.37,67.96,174.57,True,,,,,2
69.38,12.07,72.75,88.57,68.09,198.6,True,,,,,2
43.48,16.25,67.25,60.4,23.13,226.56,True,,,,,1
59.76,17.21,71.54,71.51,82.13,194.03,False,,,,,0
45.28,12.4,68.41,66.17,87.39,98.04,False,,,,,0
55.84,12.34,55.42,66.05,64.46,146.83,False,,,,,0
58.82,13.08,81.58,51.8,74.82,70.67,False,,,,,0
62.02,6.72,99.05,100.0,2.17,303.28,True,,,,,3
57.28,6.14,77.55,49.71,36.68,107.96,False,,,,,0
34.27,11.68,72.97,83.08,57.66,238.53,True,,,,,1
97.88,9.63,89.16,35.69,73.29,134.43,False,,,,,0
50.2,15.35,80.08,88.61,76.8,117.79,True,,,,,2
68.74,9.0,61.71,100.0,78.54,102.23,True,,,,,0
51.14,19.93,72.71,84.62,84.69,164.44,False,,,,,0
53.59,6.53,85.66,93.94,63.34,9.99,True,,,,,2
40.88,8.39,76.1,32.76,28.33,198.44,False,,,,,0
41.91,17.09,77.5,55.0,37.55,107.53,False,,,,,0
41.9,12.2,70.21,95.15,87.93,167.03,False,,,,,0
67.35,4.61,68.29,60.35,67.3,146.35,True,,,,,1
83.42,17.58,70.65,68.4,71.71,36.5,False,,,,,0
60.42,12.4,75.78,66.55,57.14,212.57,True,,,,,0
82.73,2.72,67.91,85.47,38.31,193.91,False,,,,,0
70.09,12.19,88.06,70.3,56.49,135.01,False,,,,,0
74.22,6.94,85.98,57.88,84.57,53.58,False,,,,,0
52.41,14.52,70.25,52.22,67.83,247.31,False,,,,,0
75.49,1.77,89.48,75.84,39.77,111.63,False,,,,,0
79.99,13.85,71.94,71.89,69.88,141.08,True,,,,,2
69.11,8.07,81.7,66.01,59.75,210.71,False,,,,,0
47.33,11.6,69.29,71.37,85.69,138.61,False,,,,,0
56.1,5.17,76.84,70.44,92.4,169.23,False,,,,,0
57.73,6.98,74.64,84.28,77.78,63.37,False,,,,,0
48.87,13.98,81.87,61.74,59.81,139.19,False,,,,,0
76.79,3.18,75.71,69.0,57.26,185.28,False,,,,,0
65.45,12.11,88.5,81.72,38.02,222.3,False,,,,,0
52.93,10.67,79.47,88.37,80.32,77.11,True,,,,,0
60.66,14.98,68.85,89.28,40.86,20.58,False,,,,,0
55.69,5.4,93.03,96.0,100.0,256.47,True,,,,,2
58.05,14.39,71.7,100.0,55.62,199.08,False,,,,,0
84.2,7.62,89.73,97.62,53.73,246.87,False,,,,,0
54.24,5.01,97.45,68.99,84.08,44.4,False,,,,,0
56.22,8.22,81.11,50.83,100.0,166.84,True,,,,,2
62.33,10.32,68.05,83.87,73.31,135.65,False,,,,,0
78.29,0.78,71.28,83.05,75.97,11.91,False,,,,,0
59.19,10.87,90.96,85.18,79.17,145.3,False,,,,,0
38.59,4.58,69.05,81.62,80.94,107.57,False,,,,,0
77.15,15.9,76.86,88.26,90.38,248.86,True,,,,,1
61.09,5.29,70.68,72.72,74.9,142.28,False,,,,,0
39.86,17.45,70.59,67.92,74.2,153.7,False,,,,,0
93.36,13.21,71.4,66.33,51.43,48.92,False,,,,,0
63.18,8.26,69.28,56.53,59.35,134.67,False,,,,,0
34.49,15.1,74.46,64.23,63.96,119.01,False,,,,,0
78.61,9.26,84.06,70.55,32.68,79.63,False,,,,,0
66.18,15.08,80.88,64.95,39.42,124.37,False,,,,,0
63.1,6.71,88.95,100.0,63.81,125.3,False,,,,,0
52.34,9.59,70.66,70.23,60.55,86.72,False,,,,,0
84.33,12.84,60.07,91.88,100.0,150.41,False,,,,,0
51.55,7.87,62.57,38.93,81.36,72.27,True,,,,,0
78.48,17.18,54.28,68.62,44.33,93.3,False,,,,,0
67.04,3.69,73.17,86.94,63.2,5.65,False,,,,,0
65.86,8.86,79.36,87.22,48.16,247.08,False,,,,,0
53.21,15.36,79.46,27.32,9.13,161.23,True,,,,,3
67.37,12.38,78.01,62.23,100.0,203.56,True,,,,,1
64.0,11.24,58.8,78.11,75.68,36.36,True,,,,,3
45.76,7.89,82.18,61.12,95.3,22.15,True,,,,,1
42.13,14.37,80.84,49.7,87.8,100.71,False,,,,,0
64.69,0.62,67.52,90.74,84.31,125.63,False,,,,,0
75.06,11.92,73.06,69.49,45.49,143.56,False,,,,,0
49.58,8.85,74.23,69.56,63.02,234.56,False,,,,,0
63.2,12.58,58.06,56.93,67.52,82.12,False,,,,,0
51.82,9.17,91.11,95.87,100.0,-32.92,False,,,,,0
40.04,11.36,79.52,66.64,44.76,79.59,False,,,,,0
43.91,6.74,85.9,100.0,67.71,62.48,True,,,,,2
96.33,19.64,80.7,100.0,52.35,148.35,False,,,,,0
62.6,1.55,72.72,54.85,53.07,25.93,False,,,,,0
23.95,13.09,54.26,86.67,39.11,167.0,False,,,,,0
90.99,6.61,90.21,73.38,93.91,172.88,False,,,,,0
68.19,16.93,74.86,73.96,46.92,124.01,False,,,,,0
53.61,3.49,86.43,75.82,20.32,203.41,True,,,,,1
62.21,14.93,56.77,90.6,63.18,145.53,True,,,,,0
44.75,20.75,96.7,72.22,100.0,114.3,True,,,,,1
44.51,-0.1,52.49,91.97,100.0,136.46,False,,,,,0
51.51,14.36,78.16,75.83,55.41,174.55,True,,,,,4
72.17,7.73,61.61,100.0,75.99,118.01,False,,,,,0
62.83,10.65,74.33,85.0,87.45,175.88,False,,,,,0
81.39,11.85,55.79,83.43,80.17,186.22,True,,,,,2
50.18,12.04,99.38,73.91,32.47,96.5,False,,,,,0
73.32,18.05,73.69,29.67,54.89,244.83,False,,,,,0
54.69,4.53,74.03,60.78,84.91,170.32,True,,,,,3
59.45,9.14,83.86,80.91,22.74,61.4,False,,,,,0
58.7,0.88,87.41,90.48,90.79,86.82,True,,,,,3
44.11,9.99,74.61,73.37,59.34,163.1,True,,,,,3
55.02,19.66,85.02,89.35,52.44,157.96,False,,,,,0
70.35,9.41,56.45,44.59,73.63,-12.72,False,,,,,0
54.82,6.32,70.04,84.42,71.1,68.14,False,,,,,0
71.06,17.88,65.89,61.71,94.26,149.18,False,,,,,0
59.26,11.63,73.23,65.87,100.0,110.14,True,,,,,0
70.02,5.52,66.41,72.37,92.02,63.89,False,,,,,0
65.4,15.9,82.9,81.67,47.7,44.15,False,,,,,0
56.65,8.13,75.11,66.58,64.89,352.52,True,,,,,1
83.66,12.12,76.07,76.2,99.29,83.11,False,,,,,0
48.24,14.16,73.55,69.9,79.16,28.83,True,,,,,4
50.91,22.0,88.62,77.21,37.86,150.66,False,,,,,0
37.21,2.11,89.6,100.0,91.98,97.67,True,,,,,4
76.95,12.66,95.17,98.92,67.04,156.74,False,,,,,0
91.88,11.18,88.04,73.68,38.06,265.33,False,,,,,0
59.93,8.76,79.5,92.1,88.66,46.38,True,,,,,4
