Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
42.77,4.42,96.72,47.56,53.78,224.93,False,,,,,0
76.93,7.43,79.45,45.41,68.87,193.45,False,,,,,0
60.38,4.89,71.77,90.61,37.2,-21.17,False,,,,,0
62.01,6.56,62.21,74.28,50.55,173.42,False,,,,,0
87.82,10.38,58.03,52.65,100.0,281.76,False,,,,,0
59.44,5.65,63.09,84.1,93.12,194.27,False,,,,,0
72.42,7.48,68.64,35.44,82.85,273.46,False,,,,,0
52.58,4.17,67.78,74.67,22.62,152.1,False,,,,,0
55.75,7.91,77.2,100.0,81.36,-42.66,True,,,,,1
56.84,10.63,58.9,46.86,29.25,121.98,False,,,,,0
63.17,13.18,58.34,57.43,40.07,263.46,False,,,,,0
43.32,-2.13,74.88,60.57,98.64,112.58,False,,,,,0
47.77,15.6,73.67,100.0,78.66,228.2,False,,,,,0
60.22,12.16,81.33,100.0,69.85,110.15,True,,,,,3
64.7,8.13,82.65,38.86,95.6,279.91,False,,,,,0
52.07,8.26,68.63,85.96,45.36,74.9,False,,,,,0
66.87,16.53,81.61,69.82,75.63,154.63,True,,,,,1
60.63,10.01,48.75,26.59,59.56,8.65,False,,,,,0
44.27,3.62,75.85,39.79,70.06,182.88,False,,,,,0
27.44,9.32,48.63,82.43,53.68,132.06,False,,,,,0
63.63,13.33,64.86,76.69,54.46,279.19,False,,,,,0
55.01,9.92,85.73,80.1,62.42,236.76,False,,,,,0
46.02,9.81,80.81,67.35,40.53,119.24,True,,,,,0
74.71,19.6,65.82,52.83,40.9,169.6,True,,,,,2
89.09,2.76,84.56,68.5,65.12,169.79,True,,,,,0
50.75,2.8,52.16,71.31,47.74,92.61,False,,,,,0
84.54,8.84,70.57,67.31,49.6,200.84,False,,,,,0
