Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
75.7,8.27,78.53,85.55,46.94,203.63,True,,,,,2
50.39,8.87,79.12,58.74,31.47,209.02,False,,,,,0
40.53,2.4,94.15,92.55,48.81,261.66,False,,,,,0
73.77,11.58,82.02,53.61,32.9,206.83,False,,,,,0
59.14,12.3,83.4,61.53,65.53,146.11,False,,,,,0
66.15,8.97,91.9,69.53,59.96,87.05,True,,,,,0
78.29,11.64,68.18,59.74,97.67,165.13,True,,,,,0
32.66,8.64,76.08,68.11,77.9,179.61,False,,,,,0
71.82,13.07,69.55,93.01,15.67,114.77,True,,,,,1
58.6,5.34,82.21,97.49,42.0,249.14,False,,,,,0
73.54,10.7,91.08,95.43,11.89,153.79,False,,,,,0
41.84,9.37,74.11,32.65,80.1,61.29,False,,,,,0
88.82,11.48,63.6,74.95,65.73,-16.8,False,,,,,0
53.41,23.28,92.1,89.59,84.25,184.51,False,,,,,0
60.02,12.4,95.25,49.41,61.02,166.82,False,,,,,0
65.43,6.11,72.74,78.33,53.79,65.81,True,,,,,1
51.56,7.25,93.85,48.17,79.5,116.76,False,,,,,0
44.27,8.56,79.82,95.1,61.96,159.42,False,,,,,0
64.25,13.93,64.77,85.39,56.13,-51.52,False,,,,,0
56.71,5.84,89.19,81.81,55.59,167.55,False,,,,,0
62.81,11.9,76.59,86.15,64.14,183.03,False,,,,,0
81.97,10.77,107.67,99.63,47.68,111.83,False,,,,,0
61.07,17.75,67.04,67.67,11.48,203.08,True,,,,,1
55.31,10.71,65.87,55.38,43.19,161.47,False,,,,,0
57.67,10.05,64.12,92.99,46.54,242.6,False,,,,,0
80.07,9.77,64.35,100.0,21.55,24.7,False,,,,,0
61.44,15.59,64.32,65.84,60.59,240.65,False,,,,,0
67.52,15.61,80.17,94.05,77.55,156.81,False,,,,,0
71.18,12.83,72.27,78.02,55.58,124.09,False,,,,,0
63.72,8.13,82.85,55.7,59.28,139.05,False,,,,,0
80.45,6.55,63.46,50.62,81.1,173.34,False,,,,,0
54.37,11.49,85.72,26.94,84.55,64.62,False,,,,,0
56.01,7.43,82.36,45.3,79.69,9.34,True,,,,,4
61.15,14.9,86.0,78.02,73.06,245.08,False,,,,,0
51.18,13.61,90.13,75.94,67.82,113.39,False,,,,,0
