Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
61.1,9.74,75.78,82.27,65.16,94.16,False,,,,,0
81.68,14.96,71.85,43.88,94.08,118.18,False,,,,,0
43.2,18.14,86.95,100.0,90.43,-48.94,False,,,,,0
64.11,12.39,83.59,76.67,92.84,92.08,False,,,,,0
58.75,10.1,57.68,93.57,67.71,96.25,True,,,,,0
55.36,6.31,78.66,49.08,69.68,218.79,False,,,,,0
54.88,9.09,69.31,87.36,74.91,89.08,True,,,,,2
83.55,11.24,81.32,65.37,77.09,225.47,False,,,,,0
68.18,9.86,88.35,93.77,100.0,107.56,True,,,,,1
54.82,9.14,77.54,73.98,42.82,171.68,False,,,,,0
64.12,7.44,53.19,74.87,42.73,203.74,False,,,,,0
54.15,7.97,69.2,94.56,92.72,94.49,False,,,,,0
58.67,14.77,66.93,99.79,18.65,66.03,False,,,,,0
75.98,4.74,71.23,80.21,42.41,179.51,False,,,,,0
57.59,13.28,77.97,69.33,73.81,209.32,False,,,,,0
70.9,7.81,78.42,63.72,88.25,130.16,False,,,,,0
44.94,14.09,67.88,50.22,54.96,385.29,True,,,,,7
59.11,3.95,72.1,89.84,93.62,328.95,False,,,,,0
79.1,16.63,66.51,76.36,88.4,215.95,False,,,,,0
59.63,6.3,85.14,45.72,77.39,218.35,False,,,,,0
51.99,7.52,60.16,79.34,71.87,195.65,False,,,,,0
62.8,12.26,79.28,70.74,46.45,219.42,True,,,,,1
62.45,13.1,75.36,51.46,43.3,98.08,False,,,,,0
54.64,9.82,83.09,74.72,92.25,120.3,False,,,,,0
45.15,7.48,89.43,79.02,72.6,171.03,True,,,,,0
51.63,11.81,63.95,40.45,53.12,-6.57,False,,,,,0
45.89,4.51,67.25,85.71,85.45,135.07,True,,,,,2
51.25,8.0,72.31,67.51,56.31,23.94,False,,,,,0
40.36,12.72,79.95,65.46,36.56,153.85,True,,,,,2
74.94,13.37,61.46,77.06,60.03,7.77,True,,,,,3
73.94,13.36,79.51,69.77,94.36,256.79,False,,,,,0
45.71,0.39,82.55,49.73,60.46,18.87,False,,,,,0
63.61,14.31,61.42,100.0,85.98,146.58,False,,,,,0
63.17,9.42,77.37,68.14,94.1,202.93,True,,,,,1
45.18,10.84,82.72,63.24,26.51,202.38,False,,,,,0
61.58,17.86,76.41,78.13,97.39,59.5,False,,,,,0
64.15,6.87,68.3,97.0,53.66,172.11,True,,,,,4
66.75,4.7,65.12,69.88,85.22,214.58,False,,,,,0
87.24,7.88,59.89,67.39,81.97,229.28,False,,,,,0
57.75,9.69,74.55,82.93,74.36,252.26,True,,,,,3
36.51,10.61,70.68,88.06,40.33,187.52,True,,,,,4
48.52,6.57,83.73,41.49,39.41,133.97,True,,,,,0
