Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,AI_Supervision,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
94.61,8.55,86.0,49.49,99.53,107.54,True,,,,,1
71.33,5.8,80.64,34.38,61.58,140.53,True,,,,,0
66.17,1.84,82.57,54.72,78.62,41.77,False,,,,,0
69.02,15.91,86.26,61.43,64.77,317.67,True,,,,,1
72.49,7.98,68.44,64.25,85.37,74.19,False,,,,,0
65.97,11.98,73.08,100.0,36.8,207.72,False,,,,,0
44.27,4.58,74.06,79.94,70.78,285.84,False,,,,,0
73.31,19.12,63.1,60.97,51.47,194.9,False,,,,,0
25.69,5.39,74.66,95.94,47.13,73.78,True,,,,,1
74.85,4.1,78.7,35.11,45.44,62.93,False,,,,,0
85.5,18.58,68.53,64.18,40.37,204.34,False,,,,,0
96.85,19.26,74.38,50.5,86.04,121.61,True,,,,,2
55.11,7.89,68.44,97.89,50.11,109.96,True,,,,,3
63.72,7.68,74.28,86.08,100.0,232.59,False,,,,,0
67.43,18.41,65.96,36.8,90.44,86.66,False,,,,,0
49.48,15.25,75.85,60.68,81.05,237.04,False,,,,,0
41.65,7.07,76.15,97.84,52.54,161.0,False,,,,,0
72.36,6.61,84.74,76.8,100.0,145.27,False,,,,,0
29.19,4.88,75.09,72.24,54.24,104.95,False,,,,,0
50.08,0.81,81.6,74.17,61.17,226.55,True,,,,,0
82.04,1.03,69.27,44.6,99.56,160.79,True,,,,,1
62.81,16.01,77.89,71.79,65.77,139.45,False,,,,,0
39.92,-8.57,63.93,81.67,86.76,89.07,False,,,,,0
57.05,7.02,66.05,82.0,81.49,217.0,False,,,,,0
48.59,10.28,94.47,96.4,93.24,127.7,False,,,,,0
54.64,15.8,60.06,78.61,54.55,237.19,False,,,,,0
37.71,10.88,87.41,78.87,100.0,202.33,True,,,,,3
52.13,1.0,49.26,56.98,49.41,95.82,False,,,,,0
55.53,12.24,64.22,37.54,54.98,46.42,False,,,,,0
58.41,9.7,70.06,89.05,75.55,62.91,False,,,,,0
49.85,7.66,79.86,56.16,93.98,51.84,False,,,,,0
55.34,-0.75,53.24,42.29,100.0,11.56,True,,,,,0
45.48,4.54,70.42,61.16,66.33,64.46,False,,,,,0
62.62,10.33,69.73,72.21,49.08,171.65,False,,,,,0
57.55,6.02,81.88,73.92,62.15,119.23,False,,,,,0
40.37,13.44,64.05,59.58,84.58,151.97,False,,,,,0
55.22,17.18,68.45,52.83,48.18,126.71,False,,,,,0
82.47,4.78,69.37,85.31,75.56,69.71,True,,,,,2
64.9,20.49,79.58,78.44,55.98,256.55,False,,,,,0
58.27,2.24,74.44,53.01,42.98,121.48,False,,,,,0
