MachineName,Count
AGV,15409
Shuttle_System,15372
Crane,15362
Labeler,15347
CNC_Lathe,15290
Industrial_Chiller,15270
CMM,15265
Pump,15228
Vacuum_Packer,15219
Injection_Molder,15216
Automated_Screwdriver,15214
Mixer,15208
Valve_Controller,15195
Vision_System,15188
Laser_Cutter,15156
Compressor,15153
Heat_Exchanger,15137
Palletizer,15131
Hydraulic_Press,15124
Dryer,15120
Pick_and_Place,15117
Carton_Former,15112
Robot_Arm,15074
CNC_Mill,15064
Boiler,15050
Furnace,15027
Forklift_Electric,15020
XRay_Inspector,15020
Grinder,15011
Press_Brake,14991
Conveyor_Belt,14991
3D_Printer,14966
Shrink_Wrapper,14953
